"","state","name","nwmst","nwfst","nwtst","nwmost","nwfost","nwtost","fbwm","fbwf","fbwt","pbunkwm","pbunkwf","pbunkwt","fcmst","fcfst","fctst","fcmost","fcfost","fctost","fbfcm","fbfcf","fbfct","pbunkfcm","pbunkfcf","pbunkfct","pbal","pbar","pbca","pbdc","pbct","pbde","pbfl","pbga","pbil","pbin","pbia","pbky","pbla","pbme","pbmd","pbma","pbmi","pbms","pbmo","pbnh","pbnj","pbny","pbnc","pboh","pbpa","pbri","pbsc","pbtn","pbtx","pbvt","pbva","pbwi","pbterr","natpop","pbenglan","pbscot","pbwales","pbirelan","pbpruss","pbotgerm","pbaustri","pbhollan","pbnorway","pbdenmar","pbsweden","pbbelg","pbswitz","pbrussia","pbfrance","pbspain","pbportug","pbitaly","pbsardin","pbgreece","pbturkey","pbchina","pbasia","pbhawaii","pbafrica","pbbritam","pbmexico","pbcentam","pbsoamer","pbwesind","pbothfor","forpop","pbunkpop","area","families","famsize","slh1","slh24","slh59","slh1019","slh2049","slh5099","slh100","slh200","slh300","slh500","slh1000","slhtot","m15mfg","m15ag","m15labor","m15army","m15navig","m15prof","m15oeduc","m15govt","m15domes","m15other","m15empl","wagefhwb","waglabwb","waglabnb","wagcarpt","wagdomf","boardwk","banks","bankcap","bankloan","bankspec","money","bankdeps","wealth","mfgesta2","mfgcap2","mfglabm2","mfglabf2","mfglcos2","mfgrms2","mfgout2","mfgestab","mfgcap","mfgrms","mfglabm","mfglabf","mfglcost","mfgout","profit","farms","avacres","avfarval","avequval","avtfarmv","dailypa","dailycop","week3pa","week3cop","week2pa","week2cop","weeklypa","weeklyco","smonthpa","smonthco","monthpa","monthcop","quartpa","quartcop","newspa","newspcop","litmispa","litmicir","litmicop","neuindpa","neuincir","neuincop","politpap","politcir","politcop","religpap","religcir","religcop","scienpap","sciencir","sciencop","newspcir","stalib","stavols","soclib","socvols","stulib","stuvols","acprlib","acprvols","scienlib","scievols","library","libvols","fips","region1","region2","level"
"1",1,"CONNECTICUT",139232,145746,284978,20242,18875,39117,19968,18406,38374,442,188,630,2945,3132,6077,685,666,1351,127,40,167,63,35,98,74,0,0,50,292653,58,46,217,80,47,18,41,64,670,265,11366,89,23,28,795,1174,14416,95,400,1055,6890,116,13,20,1508,228,23,3,332525,5091,1916,111,26689,42,1671,20,19,1,16,13,2,55,5,321,12,74,16,0,1,2,5,16,45,72,970,4,0,35,192,57,37473,794,4750,73448,5.05000019073486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38653,31881,16813,0,4801,1614,2162,189,220,677,97010,12.7200002670288,0.759999990463257,0.980000019073486,1.29999995231628,1.36000001430511,1.95000004768372,43,9907503,15607315,640622,5253884,2395311,155707980,3737,25876648,34248,16483,12435984,23608971,47114585,3482,23890348,23589397,31287,16483,11695236,45110102,41.1300010681152,22445,106,3240,84,3324,7,1752800,4,374400,0,0,30,2117232,0,0,1,6000,2,8800,46,4267932,12,11200,489900,0,0,0,28,34916,3422432,4,5400,223200,1,1200,7200,53116,1,3000,3,14234,7,38666,3,6300,1,7000,19,98638,9,1,1,2
"2",2,"MAINE",260037,254618,514655,18816,16203,35019,17534,14161,31695,358,86,444,449,479,928,178,98,276,81,49,130,18,4,22,6,6,2,28,460,36,24,24,38,5,1,14,21,517117,113,16535,19,16,11,13509,134,973,27,68,201,410,31,6,9,1177,94,10,4,551129,1949,532,60,13871,27,290,3,12,12,47,55,2,11,2,143,18,58,20,0,0,4,3,5,1,5,14181,2,0,31,61,51,31456,584,35000,103333,5.6399998664856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38247,77082,26833,114,15649,2212,1727,419,232,196,162711,13.1199998855591,0.759999990463257,1,1.39999997615814,1.0900000333786,1.72000002861023,32,3248000,5830230,475589,2654208,1233671,122777571,3974,14699152,21853,6167,7485588,13553144,24661057,3977,14700452,13555806,21856,6222,7502916,24664135,24.5200004577637,46760,97,1173,49,1222,4,964040,5,302900,0,0,39,2906124,0,0,1,30000,0,0,49,4203064,15,20458,987216,0,0,0,29,29695,2501680,4,8434,438568,1,5300,275600,63887,1,9000,2,6370,6,13134,2,10800,1,300,31,56856,23,1,1,2
"3",3,"MASSACHUSETTS",333492,346133,679625,67511,71908,139419,81129,82469,163598,1961,847,2808,2719,2980,5699,1348,1339,2687,232,194,426,125,127,252,71,10,7,196,15602,90,32,237,165,60,12,75,179,29507,744,695236,122,34,58,39592,778,14483,196,593,1831,11414,224,25,10,17646,796,32,9,830066,16685,4469,214,115917,98,4319,10,138,69,181,253,36,72,38,805,178,290,196,1,23,14,2,31,89,27,15862,32,7,84,303,466,160909,3539,7800,192675,5.15999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146002,55699,57942,73,19598,4702,5371,1566,1375,2972,295300,13.5500001907349,0.839999973773956,1.0900000333786,1.45000004768372,1.48000001907349,2.11999988555908,126,36925050,63330024,2993178,17005826,11176827,573342286,8852,88940292,107784,69677,41954736,85856771,157743994,8259,83357642,85856771,96261,69677,39784116,151137145,30.5900001525879,34069,99,3202,94,3296,22,40498444,4,351000,11,2070016,126,20371104,3,61800,29,1357200,7,24000,209,64820564,80,283027,11794304,9,50700,13591000,82,171387,32996800,24,117650,4405200,14,94205,2033260,716969,1,7400,23,126269,15,28735,9,45450,10,44572,762,415658,25,1,1,2
"4",4,"NEW HAMPSHIRE",127150,130982,258132,20510,24415,44925,8211,6046,14257,89,53,142,165,174,339,84,83,167,8,0,8,3,3,6,13,8,1,14,1105,10,1,16,31,20,4,11,9,9635,34,18495,48,9,12,261591,49,1171,10,66,148,364,21,3,2,11266,48,10,2,304227,1469,467,11,8811,2,147,1,1,2,3,12,0,9,0,69,8,8,0,0,0,0,0,4,3,3,2501,5,0,11,17,7,13571,178,9280,62287,5.15000009536743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27905,47440,14953,38,778,1642,1425,305,47,31,94564,12.1199998855591,0.629999995231628,0.889999985694885,1.30999994277954,1.26999998092651,1.62999999523163,22,2375900,3821120,129399,1897111,566634,103652835,3211,18242114,14103,12989,6123876,12745466,23164503,3211,18242114,12745466,14103,12989,6123876,23164503,23.5499992370605,29229,116,1890,79,1969,0,0,0,0,0,0,35,3038152,1,15600,2,13800,0,0,38,3067552,10,11790,579480,0,0,0,22,32186,1673672,5,15500,778000,1,700,36400,60176,1,4700,9,13878,5,16200,7,10700,2,2800,50,57178,33,1,1,2
"5",5,"RHODE ISLAND",48558,50196,98754,10203,11018,21221,11531,12301,23832,48,20,68,1129,1377,2506,563,520,1083,42,28,70,4,7,11,13,0,0,64,3976,50,22,68,15,11,9,19,21,768,365,11888,22,8,13,716,193,2055,76,98,427,102641,57,4,4,459,191,6,40,124299,4490,988,12,15944,5,230,1,12,25,15,17,2,8,1,80,14,58,25,0,0,1,0,1,8,9,1024,7,21,4,57,52,23111,135,1306,28216,5.23000001907349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21004,8482,9296,0,2033,556,881,176,774,269,43471,13.5200004577637,0.720000028610229,0.949999988079071,1.23000001907349,1.41999995708466,2.05999994277954,63,11645492,15492547,297661,2553865,1488596,80508794,864,12935676,12923,8044,5047080,13186703,22117688,853,12923176,13183889,12837,8044,5008656,22093258,30.1800003051758,5385,103,3170,92,3262,5,1768450,0,0,2,25200,12,963300,0,0,0,0,0,0,19,2756950,6,5400,280800,1,2500,782500,12,18075,1693650,0,0,0,0,0,0,25975,0,0,5,25104,2,7600,0,0,2,3000,45,79341,44,1,1,2
"6",6,"VERMONT",114626,113863,228489,25656,25238,50894,19147,14541,33688,229,102,331,234,218,452,117,103,220,14,13,27,10,9,19,11,2,0,5,4551,1,6,18,34,15,5,7,12,835,23,15059,86,5,10,19609,171,7218,7,165,158,801,5,6,1,232086,21,32,1,280966,1546,1045,57,15377,6,218,0,2,8,1,0,0,2,1,40,3,5,7,0,0,0,0,7,4,0,14470,0,0,3,6,23,32831,323,10212,58573,5.3600001335144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17063,48327,22997,0,159,1827,1563,129,34,127,92226,13,0.720000028610229,0.970000028610229,1.44000005722046,1.19000005722046,1.95000004768372,27,2197240,4423719,127325,2856027,546703,92205049,1849,5001377,6894,1551,2202348,4172552,8570920,1849,5001377,4172552,6894,1551,2202348,8570920,43.9099998474121,29763,139,2129,92,2221,2,172150,0,0,1,228800,30,2142712,0,0,2,24000,0,0,35,2567662,5,5550,208600,0,0,0,27,33990,2025430,3,6416,333632,0,0,0,45956,1,3500,0,0,6,8667,0,0,0,0,23,34299,50,1,1,2
"7",11,"DELAWARE",27773,27818,55591,5195,5131,10326,2770,2473,5243,8,1,9,8467,8465,16932,559,570,1129,7,3,10,2,0,2,4,0,0,28,50,72351,4,14,5,19,0,16,4,24,4360,113,12,6,8,31,1186,218,18,54,5067,204,13,4,1,12,139,1,2,83968,952,155,17,3513,28,343,0,5,0,1,2,1,22,1,73,1,0,0,0,0,0,0,0,0,10,21,3,0,3,25,35,5211,63,2120,15439,5.78000020980835,320,352,117,20,0,0,0,0,0,0,0,809,5633,7884,6663,0,743,251,581,124,69,113,22061,8.78999996185303,0.509999990463257,0.779999971389771,1.23000001907349,0.839999973773956,1.83000004291534,9,1293185,2264313,159773,833960,502765,21062556,531,2978945,3237,651,936924,2864607,4649296,531,2978945,2864607,3237,651,936924,4649296,28.4599990844727,6063,158,3114,84,3198,0,0,0,0,3,62400,7,358800,0,0,0,0,0,0,10,421200,2,900,46800,0,0,0,8,6600,374400,0,0,0,0,0,0,7500,1,4000,1,4000,2,6200,0,0,0,0,5,16700,10,5,3,2
"8",12,"NEW JERSEY",179355,182336,361691,21905,21806,43711,32009,27795,59804,183,120,303,9978,10451,20429,1655,1454,3109,86,58,144,79,49,128,36,2,3,82,2105,1384,17,87,61,61,7,64,83,287,1400,1494,66,43,28,301,385429,20561,98,372,15014,264,141,21,6,280,628,15,1,430441,11377,2263,166,31092,57,10686,20,357,4,28,34,43,204,22,942,23,16,30,1,4,0,4,10,0,17,581,23,2,27,265,66,58364,514,8320,89080,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46544,32834,38383,0,4351,1731,2457,373,404,1663,128740,10.1800003051758,0.649999976158142,0.879999995231628,1.27999997138977,0.970000028610229,1.88999998569489,26,3754900,7158977,622885,3046658,2411861,2e+08,4207,22293258,29068,8762,9364740,22011871,39851256,4108,22184730,21992186,28549,8762,9202788,39713586,38.4000015258789,23905,115,5030,185,5215,6,2175350,0,0,0,0,43,1900288,2,23040,0,0,0,0,51,4098678,6,4010,181640,1,300,93900,44,40144,3823138,0,0,0,0,0,0,44454,1,5000,3,4300,2,7000,1,9000,1,825,17,46305,34,2,1,2
"9",13,"NEW YORK",1041446,1050630,2092076,156274,140480,296754,343900,311324,655224,2869,1402,4271,17680,19895,37575,5089,5277,10366,379,326,705,304,119,423,184,20,7,538,66101,899,135,510,605,415,70,369,563,4509,3953,55773,1921,164,173,14519,35319,2151196,673,3743,26352,13129,935,116,46,52599,3347,360,53,2439296,84820,23418,7582,343111,2211,118398,168,2917,392,429,753,401,1850,617,12515,461,194,833,0,0,12,34,66,40,80,47200,83,29,179,1067,1941,651801,6297,47000,566869,5.46000003814697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312697,313980,196613,1462,23243,14258,11104,4985,6324,3628,888294,11.5,0.670000016689301,0.899999976158142,1.37999999523163,1.04999995231628,1.77999997138977,198,48618762,107132389,10045330,26415526,50774193,1080309216,23553,99904405,147737,51612,49131000,134655674,237597249,23553,99904405,134655674,147737,51612,49131000,237597249,53.8600006103516,170621,113,3250,129,3379,51,63928685,8,776100,13,3116360,308,39205920,9,1704000,36,6629808,3,24600,428,115385473,101,528908,18449016,15,127370,37317010,263,399755,45463015,37,507246,12438432,12,59500,1718000,1622779,3,34099,21,151894,7,19319,171,143465,4,25253,8284,1756254,36,2,1,2
"10",14,"PENNSYLVANIA",890111,897199,1787310,85834,80132,165966,165690,137415,303105,1099,680,1779,17603,20165,37768,7367,7796,15163,151,161,312,248,135,383,87,10,3,767,9266,12552,21,176,333,399,70,497,187,1157,21013,7330,224,101,220,1775,29117,58835,409,7729,1844672,1946,559,158,17,4532,10410,45,2,2014619,38048,7292,8920,151723,413,78592,49,257,27,97,133,126,914,139,4083,101,34,172,0,7,2,1,42,3,40,2500,42,4,83,666,361,294871,2296,46000,408497,5.65999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266927,207495,163628,101,9064,9954,10830,3719,4431,4495,680644,10.8199996948242,0.509999990463257,0.800000011920929,1.23000001907349,0.800000011920929,1.72000002861023,52,17701206,38423274,4327394,11798996,17689212,722486120,21605,94473810,124688,22078,37163232,87206377,155044910,21605,94473810,87206377,124688,22078,37163232,155044910,32.4700012207031,127577,117,3197,115,3312,24,50416788,2,78000,1,62400,261,27359384,19,6972000,0,0,2,7600,310,84898672,71,445364,18515028,12,70396,21908548,198,267940,37808960,28,198018,6588136,1,1500,78000,983218,1,10000,16,125385,12,29350,7,38300,5,38478,80,287519,42,2,1,2
