"","state","name","pbal","pbar","pbca","pbct","pbde","pbfl","pbga","pbil","pbin","pbia","pbks","pbky","pbla","pbme","pbmd","pbma","pbmi","pbmn","pbms","pbmo","pbnh","pbnj","pbny","pbnc","pboh","pbor","pbpa","pbri","pbsc","pbtn","pbtx","pbvt","pbva","pbwi","pbdc","pbterr","pbsea","pbunkpop","natpop","pbasia","pbafrica","pbaustra","pbatlisl","pbbelg","pbbritam","pbcentam","pbchina","pbdenmar","pbenglan","pbeurns","pbfrance","pbaustri","pbbavari","pbbaden","pbhesse","pbnassau","pbprussi","pbwurtt","pbgermns","pbgerman","pbgrbrit","pbgreece","pbhollan","pbirelan","pbitaly","pbmexico","pbnorway","pbportug","pbpoland","pbpacifi","pbrussia","pbscot","pbspain","pbsweden","pbsardin","pbswitz","pbsoamer","pbhawaii","pbturkey","pbwesind","pbwales","pbothfor","forpop","pbstate","pbotst","pbfor","pbsea2","pbunk2","totpopf","areanf","acres","area","density","dwell","perdwell","family1","family2","famsize","mdeath","fdeath","deaths","wagefhwb","waglabwb","waglabnb","wagcarpt","wagdomf","boardwk","taxstate","taxcoun","taxcity","taxtown","taxschoo","taxpoor","taxroad","taxmisc","taxcash","taxlabor","taxtotal","banks","bankcap","bankloan","bankspec","money","bankdeps","realest","persest","wealth","rrmi50","rrmi51","rrmi52","rrmi53","rrmi54","rrmi55","rrmi56","rrmi57","rrmi58","rrmi59","rrmi60","farms","acimp","acunimp","avacres","polpaday","polpawk2","polpawk3","polpawk","polpamon","polpaqua","polpaann","politpap","relpawk","relpamon","relpaqua","relpaann","religpap","litpaday","litpawk","litpamon","litpaqua","litpaann","literpap","mispaday","mispawk2","mispawk3","mispawk","mispamon","mispaqua","mispaann","miscpap","dailycop","week3cop","week2cop","weeklyco","monthcop","quartcop","annuacop","newspcop","wmsch","wfsch","wtotsch","fcmsch","fcfsch","fctotsch","nbsch","fbsch","totsch","wmillit","wfillit","wtillit","fcmillit","fcfillit","fctillit","nbillit","fbillit","totillit","litcoll","theolsch","medicsch","legalsch","sciensch","agricsch","normsch","milisch","publib","publvols","schlib","schvols","sunlib","sunvols","colllib","collvols","chlib","chvols","library","libvols","colleges","cteacher","cpupil","collye","collyt","collypf","collyos","colly","pubsch","psteach","pspupil","psye","psyt","psypf","psyos","psy","acoth","acteach","acpupil","acye","acyt","acypf","acyos","acy","region1","region2","fips","level"
"1",1,"CONNECTICUT",107,9,43,323772,81,58,193,237,64,62,7,38,85,1195,379,14674,157,20,30,45,1221,1825,22614,239,666,3,1470,7024,112,26,23,1862,302,134,58,10,24,582,379451,22,13,4,0,30,3145,3,11,91,8875,3,549,172,874,671,682,53,1214,823,4036,8525,50,6,70,55445,61,7,22,265,73,0,46,2546,12,42,9,275,44,55,7,207,176,7,80696,323772,55073,80696,24,582,460147,535736,3040000,4750,96,83622,5.5,1523,93308,4.95699977874756,3168,2971,6139,15.1099996566772,0.879999995231628,1.14999997615814,1.67999994754791,1.5,2.60999989509583,120124,1829,117965,502745,96103,15381,125367,35523,956655,58382,1015037,74,21512176,27856785,989920,7561519,5574900,191478842,149778134,444274114,412.260009765625,463.260009765625,506.959991455078,506.959991455078,506.959991455078,506.959991455078,589.340026855469,589.340026855469,589.340026855469,603,603,25180,1830807,673457,99,14,1,0,30,0,0,0,45,3,0,0,0,3,0,2,1,2,0,5,0,0,0,2,0,0,0,2,19100,0,400,68436,500,7100,0,9555672,45570,42988,88558,737,641,1378,86120,3816,89936,3405,5083,8488,181,164,345,925,7908,8833,3,3,1,1,1,1,1,0,194,231332,99,38912,183,80062,4,47900,10,6000,490,404206,5,66,903,74691,0,0,25548,100239,1805,2049,82530,15604,154499,153931,50920,374954,197,367,8749,13480,1438,1677,256686,273281,1,1,9,2
"2",2,"MAINE",7,5,68,360,16,7,31,63,18,16,2,17,40,560030,99,13822,49,19,7,16,12366,122,1161,28,118,0,206,418,26,9,7,1293,116,62,42,0,23,137,590826,7,8,0,5,6,17540,1,3,59,2677,12,120,3,26,23,13,1,77,10,231,384,37,4,16,15290,49,5,27,64,8,1,9,759,27,74,0,13,19,10,4,107,88,20,37453,560030,30636,37453,23,137,628279,16672329,22400000,35000,17,115933,5.42000007629395,1801,119062,5.19899988174438,3785,3829,7614,14.3400001525879,0.850000023841858,1.04999995231628,1.51999998092651,1.32000005245209,2.05999994277954,214136,233795,269825,258943,322367,163381,644258,150508,1688026,569187,2257213,68,7506890,12654794,670979,4149718,2411022,86717716,67662672,190211600,245.589996337891,292.470001220703,322.470001220703,333.470001220703,359.970001220703,414.670013427734,429.170013427734,451.170013427734,467.670013427734,472.170013427734,472.170013427734,55698,2704133,3023538,103,7,0,4,37,0,0,0,48,6,0,0,0,6,0,4,3,0,0,7,1,0,0,5,3,0,0,9,8141,3978,0,95510,18540,0,0,8333278,99196,89722,188918,148,144,292,185877,3333,189210,4282,4270,8552,25,21,46,2386,6212,8598,2,1,1,0,0,1,1,0,283,215437,12,6190,473,138924,5,34000,41,11350,814,405901,2,17,337,10500,6000,0,4500,21000,4376,5679,186717,14813,359446,62161,18169,454589,110,216,8273,13140,17540,4460,43881,79021,1,1,23,2
"3",3,"MASSACHUSETTS",112,23,289,15580,124,57,235,534,123,102,11,118,198,43031,1128,805546,260,58,54,121,44035,1326,18508,216,847,15,2297,13326,233,53,34,18652,1391,277,260,9,103,1666,970952,128,126,13,433,38,27069,0,28,213,23848,82,1280,123,771,1354,220,58,1482,440,5513,9961,294,25,351,185434,371,21,171,988,81,17,61,6855,145,685,69,335,168,65,16,326,320,97,260114,805546,163637,260114,103,1666,1231066,1653276,4992000,7800,157,205319,6,5802,245485,4.89900016784668,10683,10621,21304,15.3400001525879,0.899999976158142,1.17999994754791,1.70000004768372,1.58000004291534,2.50999999046326,309196,641655,3798786,1002789,741071,173059,374615,395407,7262222,174356,7436578,174,64519200,107417323,7532647,22086920,27804699,475413165,301744651,815237433,1035.73999023438,1037.73999023438,1047.43994140625,1105.33996582031,1144.27001953125,1272.9599609375,1272.9599609375,1272.9599609375,1272.9599609375,1272.9599609375,1272.9599609375,35601,2155512,1183212,94,17,13,3,78,1,0,0,112,18,10,3,0,31,0,31,18,2,0,51,0,1,0,18,7,1,1,28,169600,2400,40700,778680,353100,21500,3000,102000760,125294,122384,247678,800,815,1615,234280,15013,249293,16969,29293,46262,291,368,659,2004,44917,46921,6,4,3,1,2,1,5,0,853,1296836,186,68398,756,386717,5,197600,52,47600,1852,1997151,8,96,1733,89540,0,0,105570,195110,4134,5308,206974,47615,1350951,112825,34063,1545454,319,633,14001,40183,15274,19600,414990,490047,1,1,25,2
"4",4,"NEW HAMPSHIRE",21,4,15,919,7,2,25,104,28,18,1,26,15,11405,50,19973,66,22,15,8,256982,92,2045,6,150,0,227,637,8,6,15,11950,71,85,12,4,11,110,305135,10,4,4,2,1,4468,0,2,3,2291,2,103,21,20,12,2,0,90,14,253,412,2,0,8,12737,18,6,5,8,1,1,0,741,15,20,0,12,11,18,1,14,14,4,20938,256982,48032,20938,11,110,326073,2194575,5939200,9280,35,65968,4.94000005722046,1987,67031,4.72399997711182,2186,2283,4469,14.3400001525879,0.790000021457672,1.02999997138977,1.51999998092651,1.62999999523163,2.0699999332428,98126,191775,131316,268532,228171,48945,284179,10822,1033767,228099,1261866,52,5016000,8591688,255278,3271183,1187991,59638346,64171743,156310860,465.320007324219,536.780029296875,567.780029296875,643.859985351562,643.859985351562,656.590026855469,656.590026855469,656.590026855469,656.590026855469,656.590026855469,656.590026855469,30501,2367034,1377591,123,0,0,0,17,0,0,0,17,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19700,0,0,0,1024400,43453,39401,82854,49,31,80,81731,1203,82934,2023,2660,4683,15,19,34,1093,3624,4717,1,2,1,0,1,0,0,0,118,129270,8,4950,132,44825,6,36417,42,21850,306,237312,2,29,390,9370,0,0,17000,26370,2301,2985,70539,2447,180372,22385,13040,218244,208,351,11444,23991,39581,11002,50757,125331,1,1,33,2
"5",5,"RHODE ISLAND",10,2,31,4634,107,12,173,59,16,14,0,15,30,1301,450,13965,48,18,4,9,1482,249,2780,45,115,0,610,109965,57,7,2,692,138,37,47,2,14,86,137226,15,14,2,24,2,2830,0,2,10,6356,9,123,11,60,41,43,8,87,54,511,815,0,4,14,25285,32,0,38,86,5,4,6,1517,8,33,1,37,23,5,0,73,19,2,37394,109965,27161,37394,14,86,174620,314616,835840,1306,133,27056,6.44999980926514,1038,34171,4.95800018310547,1272,1207,2479,16.0400009155273,0.910000026226044,1.04999995231628,1.6599999666214,1.5,2.47000002861023,17129,0,44663,69510,21787,8231,24490,4917,665972,20161,686133,91,20865569,23719877,450920,3558295,3553104,83778204,41326101,135337588,68,68,68,68,94.3199996948242,107.919998168945,107.919998168945,107.919998168945,107.919998168945,107.919998168945,107.919998168945,5406,335128,186096,96,5,1,0,12,0,0,0,18,0,0,0,0,0,0,5,1,0,0,6,0,0,0,2,0,0,0,2,10300,0,2000,35990,1400,0,0,5289280,15818,15218,31036,276,256,532,30176,1392,31568,2057,3795,5852,119,141,260,1202,4910,6112,1,0,0,0,1,1,1,0,169,356444,16,10459,100,51617,1,36000,16,10899,302,465419,1,10,212,14500,0,0,8000,22500,426,643,25570,781,93479,47890,16803,158953,58,129,3127,6500,2725,910,44239,54374,1,1,44,2
"6",6,"VERMONT",86,5,11,2733,4,4,33,147,66,49,3,14,22,1214,39,11913,100,13,6,18,16682,158,8668,11,259,2,160,521,8,9,3,239087,30,168,7,3,7,92,282355,0,1,0,0,2,15776,0,1,3,1632,0,71,1,7,6,1,0,14,0,190,219,42,0,1,13480,13,1,0,2,1,7,7,1078,2,1,0,4,2,1,0,7,384,5,32743,239087,43169,32743,7,92,315098,2261266,6535680,10212,30,62977,5,791,62990,4.94000005722046,1647,1708,3355,14.1400003433228,0.790000021457672,1.03999996185303,1.61000001430511,1.30999994277954,2,187291,15066,9186,336003,106126,33417,220991,0,697653,210427,908080,46,4029240,6496523,198409,3882983,787834,65639973,19118646,122477170,279.570007324219,413.290008544922,471.320007324219,506.220001220703,511.720001220703,529.419982910156,529.419982910156,529.419982910156,529.419982910156,548.75,556.75,31556,2823157,1451257,135,2,0,0,24,0,0,0,26,4,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,750,0,0,44665,2000,0,0,2579080,41298,38152,79450,65,50,115,76797,2768,79565,4467,4402,8869,27,20,47,933,7983,8916,2,1,3,0,1,1,0,1,211,100105,8,16532,98,30842,1,9900,18,10050,336,167429,3,17,173,0,0,0,3250,3250,2696,3314,80904,999,143382,72246,4007,220634,96,272,7851,4361,4027,8774,56549,73711,1,1,50,2
"7",11,"DELAWARE",6,7,0,81,84869,9,6,31,32,4,1,6,4,35,5110,214,5,2,6,17,31,1877,456,9,109,0,7852,17,11,5,2,10,171,5,48,0,4,201,101253,2,0,5,0,0,39,0,0,5,1581,0,133,0,129,216,121,3,266,133,395,1263,0,0,3,5832,4,0,0,0,5,0,2,200,1,8,0,34,5,0,0,13,30,0,9165,84869,16179,9165,4,201,110418,352505,1356800,2120,52,19288,5.71999979019165,232,18734,5.82100009918213,618,628,1246,10.6599998474121,0.610000014305115,0.870000004768372,1.49000000953674,0.920000016689301,2.04999995231628,0,56005,34325,0,29658,21407,33004,6033,173422,7010,205891,12,1640775,3150215,208924,1135772,976226,26273803,13493430,46242181,39.189998626709,39.189998626709,39.189998626709,39.189998626709,44.189998626709,56.189998626709,79.1900024414062,115.190002441406,123.690002441406,136.690002441406,136.690002441406,6658,637065,367230,151,0,4,0,9,0,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3294,12850,0,0,0,1010776,9961,8461,18422,122,128,250,18394,278,18672,2838,3823,6661,3056,3452,6508,11503,1666,13169,1,0,0,0,0,0,0,0,64,61100,1,100,48,20270,1,7000,0,0,114,88470,1,8,90,0,0,0,9500,9500,256,296,11736,500,32359,29020,5968,67847,40,101,1957,400,400,422,46240,47462,5,3,10,2
"8",12,"NEW JERSEY",61,4,57,3668,1941,40,197,260,137,72,15,98,166,649,1954,2819,173,8,64,101,527,469015,38540,124,786,0,24425,470,236,45,27,549,880,158,130,4,66,761,549227,34,13,7,15,109,1144,2,3,175,15852,14,2408,506,3794,4267,2972,168,2891,3410,15764,33772,1,2,1328,62006,105,27,65,14,120,8,38,3556,36,88,4,1144,39,1,6,278,371,5,122790,469015,79385,122790,66,761,672017,2341275,5324800,8320,80,116353,5.78000020980835,1518,128830,5.15500020980835,4024,3501,7525,11.9099998474121,0.779999971389771,1.07000005245209,1.58000004291534,1.23000001907349,2.83999991416931,1964,407832,418089,87562,260071,59579,161019,61390,1391822,65684,1457506,49,7884412,14909174,940700,4811832,5741465,151161942,145520550,467918324,205.929992675781,303.369995117188,317.869995117188,347.170013427734,375.170013427734,466.019989013672,485.290008544922,507.329986572266,516.330017089844,535.599975585938,559.900024414062,27646,1944441,1039084,108,15,1,0,63,0,0,0,79,1,1,0,0,2,0,6,0,0,1,7,0,0,0,0,2,0,0,2,18510,0,1000,131506,10000,0,1000,12801412,60620,55855,116475,1413,1328,2741,114096,5120,119216,8436,10840,19276,1720,2085,3805,12937,10144,23081,3,2,0,0,0,0,1,0,402,250485,9,17550,277,107605,5,37000,32,20681,725,433321,5,59,775,11000,0,0,48500,59500,1496,1890,110320,5406,334413,108983,87729,536531,251,559,12892,7000,4312,14086,236700,262098,2,1,34,2
"9",13,"NEW YORK",410,25,451,53141,936,194,768,1863,663,363,26,700,860,5794,4859,50004,3624,135,223,361,12497,36499,2602460,891,5603,17,30232,9555,1139,200,140,46990,3650,1674,628,49,375,4096,2882095,206,69,68,96,860,55273,55,77,1196,106011,86,21826,2438,35674,23075,19926,1411,29026,15393,129309,256252,131,35,5354,498072,1862,116,539,353,2296,11,1013,27641,809,1678,48,6166,312,36,39,1957,7998,99,998640,2602460,275164,998640,375,4096,3880735,9105042,30080000,47000,82,615888,6.30000019073486,11929,746491,5.11600017547607,25128,21813,46941,13.1899995803833,0.740000009536743,1.01999998092651,1.62000000476837,1.25,2.24000000953674,2280154,1763839,6341414,490820,1841294,1006263,220978,1418660,15268617,94805,15363422,303,111441320,200351332,20921545,29959506,104070273,1069658080,320806558,1843338517,1403.09997558594,1845.55004882812,2249.77001953125,2406.10009765625,2567.39990234375,2595.35009765625,2641.69995117188,2674.06005859375,2675.31005859375,2690.84008789062,2701.84008789062,196990,14358403,6616555,106,68,8,5,280,2,0,2,365,24,25,5,2,56,1,33,24,5,0,63,5,2,2,29,18,0,2,58,487340,18900,58871,2600925,2045000,57600,766000,320930884,411913,387943,799856,2955,2739,5694,754261,51289,805550,47703,68262,115965,2653,3260,5913,26163,95715,121878,10,13,8,5,5,1,2,1,744,1103688,6321,914892,1140,267867,31,88331,124,61798,8360,2436576,17,126,2970,29862,1150,100,109065,140177,10650,15733,697283,14179,1893023,1221176,212710,3341088,910,3019,86565,75144,89297,79542,1332723,1576706,2,1,36,2
"10",14,"PENNSYLVANIA",139,28,75,8044,12383,64,315,999,707,399,30,711,335,1886,22774,7777,519,86,172,369,1773,31006,70673,439,12119,0,2280004,1799,627,238,63,4276,11026,377,776,18,257,2427,2475710,59,26,55,27,218,3484,4,21,234,46546,65,8302,783,15255,14796,13751,609,14443,16973,61634,138244,14,4,766,201939,622,60,83,90,215,4,250,10137,147,448,3,4404,78,4,8,709,13101,134,430505,2280004,193022,430505,257,2427,2906215,12427860,29440000,46000,63,515319,5.6399998664856,7872,516686,5.53999996185303,16249,13992,30241,12.2399997711182,0.680000007152557,0.970000028610229,1.44000005722046,1.22000002861023,2.20000004768372,1396527,1720655,1215677,139171,1905032,367601,1350671,634402,7988532,741204,8729736,90,25565582,50327157,8378474,13132892,26167843,561192980,158060355,1416501818,822.340026855469,1030.15002441406,1113.05004882812,1144.55004882812,1404.21997070312,1537.21997070312,1799.17004394531,1925.42004394531,2081.07006835938,2339.98999023438,2442.48999023438,156357,10463296,6548844,109,28,3,1,242,3,0,0,277,20,17,4,2,43,0,17,6,1,1,25,1,0,0,18,2,1,0,22,233550,3900,9800,700961,464684,6800,13000,116094480,343096,319292,662388,3882,3691,7573,648651,21310,669961,27560,44596,72156,3893,5466,9359,44930,36585,81515,19,13,5,1,1,1,4,0,529,761299,50,94095,764,339414,17,78707,56,71409,1416,1344924,24,156,3286,180136,0,0,63060,243196,11597,13194,565303,16297,2180742,249789,48228,2495056,487,1296,33638,42421,8127,26525,563690,640763,2,1,42,2
