"","state","name","chorgtot","cheditot","chsittot","chvaltot","orgrbapt","edirbapt","sitrbapt","valrbapt","orgobapt","ediobapt","sitobapt","valobapt","orgchris","edichris","sitchris","valchris","orgcong","edicong","sitcong","valcong","orgepisc","ediepisc","sitepisc","valepisc","orgevang","edievang","sitevang","valevang","orgquakr","ediquakr","sitquakr","valquakr","orgjewis","edijewis","sitjewis","valjewis","orgluth","ediluth","sitluth","valluth","orgmeth","edimeth","sitmeth","valmeth","orgmisc","edimisc","sitmisc","valmisc","orgmorav","edimorav","sitmorav","valmorav","orgmormo","edimormo","sitmormo","valmormo","orgswed","ediswed","sitswed","valswed","orgrpres","edirpres","sitrpres","valrpres","orgopres","ediopres","sitopres","valopres","orgdutcr","edidutcr","sitdutcr","valdutcr","orggermr","edigermr","sitgermr","valgermr","orgrcath","edircath","sitrcath","valrcath","orgseadv","ediseadv","sitseadv","valseadv","orgshake","edishake","sitshake","valshake","orgspiri","edispiri","sitspiri","valspiri","orgunita","ediunita","situnita","valunita","orgubret","ediubret","situbret","valubret","orgunive","ediunive","situnive","valunive","orglmiss","edilmiss","sitlmiss","vallmiss","orgunion","ediunion","situnion","valunion","occtot","occm1015","occf1015","occm1659","occf1659","occm600","occf600","occnat","occgerm","occirish","occenglw","occscot","occscand","occfranc","occothne","occitaly","occothse","occbram","occchjap","occotfb","agemp","agm1015","agf1015","agm1659","agf1659","agm600","agf600","agnat","aggerm","agirish","agenglw","agscot","agscand","agfranc","agothne","agitaly","agothse","agbram","agchjap","agotfb","ppsemp","ppsm1015","ppsf1015","ppsm1659","ppsf1659","ppsm600","ppsf600","ppsnat","ppsgerm","ppsirish","ppsenglw","ppsscot","ppsscand","ppsfranc","ppsothne","ppsitaly","ppsothse","ppsbram","ppschjap","ppsotfb","ttremp","ttrm1015","ttrf1015","ttrm1659","ttrf1659","ttrm600","ttrf600","ttrnat","ttrgerm","ttrirish","ttrenglw","ttrscot","ttrscand","ttrfranc","ttrothne","ttritaly","ttrothse","ttrbram","ttrchjap","ttrotfb","mfgemp","mfgm1015","mfgf1015","mfgm1659","mfgf1659","mfgm600","mfgf600","mfgnat","mfggerm","mfgirish","mfgenglw","mfgscot","mfgscand","mfgfranc","mfgothne","mfgitaly","mfgothse","mfgbram","mfgchjap","mfgotfb","stdebt","stdebtb","stdebtot","codebtb","codebtot","locdebtb","locdebto","taxtot","taxstate","taxcoun","taxlocal","fips","region1","region2","level"
"1",1,"CONNECTICUT",826,902,338735,13428109,111,115,44075,1366300,5,5,1075,12100,4,4,750,6500,290,360,133175,4728700,139,147,50962,3275534,0,0,0,0,2,3,350,1500,5,3,1850,105000,4,3,1240,23500,184,188,63975,1834025,3,1,85,1350,0,0,0,0,0,0,0,0,1,0,0,0,7,10,3875,195300,0,0,0,0,1,2,1300,100000,1,1,250,6000,44,34,26418,1429500,7,7,1380,8700,1,1,300,5500,2,2,600,13500,1,1,225,6000,0,0,0,0,14,15,6850,309100,0,0,0,0,0,0,0,0,193421,3657,1993,144239,31014,11564,954,138804,6772,35519,6144,1583,270,443,82,54,374,3221,10,145,43653,1355,1,34360,96,7808,33,37540,755,3823,753,200,57,64,19,11,58,362,0,11,38704,197,544,19992,16288,961,722,22535,1131,13332,805,259,52,65,10,12,81,341,6,75,24720,138,31,23788,175,585,3,18775,705,4377,391,99,63,38,26,1,63,159,0,23,86344,1967,1417,66099,14455,2210,196,59954,4181,13987,4195,1025,98,276,27,30,172,2359,4,36,17088906,7275900,0,0,6103,6837417,2969486,6064843,1875024,20113,4169706,9,1,1,2
"2",2,"MAINE",1328,1104,376738,5200853,262,213,70966,858050,218,154,46223,382917,44,20,4922,42200,231,219,83985,1401736,25,23,8975,280213,0,0,0,0,0,0,0,0,23,23,7315,36400,1,1,500,800,327,264,82530,885237,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1200,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,17822,461700,28,13,3175,13050,2,2,700,4000,3,1,200,300,18,18,9185,245000,0,0,0,0,84,65,23910,434850,0,0,0,0,26,54,15130,96400,208225,4319,2035,156714,25606,18751,800,187497,294,7300,1748,463,147,69,19,18,34,10539,1,96,82011,2671,5,65549,35,13736,15,78514,42,777,214,59,6,8,3,5,4,2377,0,2,36092,323,961,18781,13804,1579,644,29186,48,3731,296,104,29,20,0,6,6,2640,0,26,28115,207,2,26765,230,908,3,26090,81,683,183,57,62,14,8,2,17,876,1,41,62007,1118,1067,45619,11537,2528,138,53707,123,2109,1055,243,50,27,8,5,7,4646,0,27,16624624,8067900,0,240300,33853,6108344,2174227,5348645,1350305,315199,3683141,23,1,1,2
"3",3,"MASSACHUSETTS",1848,1764,882317,24488285,271,280,132805,3194298,15,15,6230,136700,31,31,9675,128440,500,502,269314,6293327,107,99,46245,2304435,0,0,0,0,29,29,7950,91680,5,2,1500,33000,2,1,450,20000,297,290,117325,2904100,2,0,0,0,0,0,0,0,4,0,0,0,15,12,3800,199800,13,10,5700,257325,0,0,0,0,0,0,0,0,3,3,950,24000,196,162,130415,3581095,15,12,3400,53540,4,4,1550,13600,19,1,400,1400,180,179,98306,3470575,1,1,100,500,97,87,35627,1613000,0,0,0,0,42,44,10575,167470,579844,12180,6299,409180,119709,30183,2293,389692,7966,118267,20730,5098,1255,987,495,397,937,32636,91,1293,72810,2357,2,57944,39,12455,13,61614,429,7422,728,240,40,54,16,8,39,2149,1,70,131291,1134,923,69664,52867,5119,1584,62392,1617,54376,2835,801,239,241,94,175,260,7916,6,339,83078,742,78,77422,1860,2913,63,68646,916,7986,1588,423,263,142,112,78,250,2389,3,282,292665,7947,5296,204150,64943,9696,633,197040,5004,48483,15579,3634,713,550,273,136,388,20182,81,602,69211538,27128164,1142717,30000,677123,26539150,13694384,24922900,7408962,653500,16860438,25,1,1,2
"4",4,"NEW HAMPSHIRE",633,624,210090,3303780,102,90,31935,492200,82,82,19990,167300,19,19,4600,42400,169,172,67951,1150380,21,22,7475,203800,0,0,0,0,13,13,3585,15500,0,0,0,0,0,0,0,0,118,118,36351,475000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,275,2000,7,7,3170,65000,0,0,0,0,0,0,0,0,0,0,0,0,17,16,8945,267500,21,20,4405,25200,2,2,300,1800,1,0,0,0,23,22,7830,207000,0,0,0,0,24,23,8812,154200,1,1,400,5000,12,16,4066,29500,120168,2213,1055,82460,22390,11360,690,102989,258,6316,1504,524,77,58,3,6,4,7009,0,1420,46573,1020,1,37016,9,8526,1,44215,15,694,299,62,1,4,0,2,1,932,0,348,18528,94,243,7965,8872,762,592,15372,43,1636,123,40,13,16,1,0,1,998,0,285,8514,46,1,7814,387,266,0,7458,32,375,61,8,7,1,0,3,1,398,0,170,46553,1053,810,29665,13122,1806,97,35944,168,3611,1021,414,56,37,2,1,1,4681,0,617,11153373,2752200,65669,372700,372370,2364114,5226320,3255793,955126,318666,1982001,33,1,1,2
"5",5,"RHODE ISLAND",295,283,125183,4117200,75,73,23695,719400,34,34,11191,158000,12,12,3050,33500,27,27,18500,620000,42,39,17155,735100,0,0,0,0,17,17,5514,58600,1,0,0,0,1,1,400,1500,33,30,14605,371300,0,0,0,0,0,0,0,0,0,0,0,0,3,2,675,5500,0,0,0,0,1,1,500,10000,0,0,0,0,0,0,0,0,22,20,19108,910100,17,14,3370,28700,0,0,0,0,1,0,0,0,4,4,3450,229000,0,0,0,0,4,4,2770,220000,1,1,500,10000,0,4,700,6500,88574,3510,2024,58419,18683,4930,1008,61633,925,17183,4780,940,64,85,13,33,108,2556,0,254,11780,568,0,9125,7,2074,6,10570,40,694,113,32,5,1,0,1,13,301,0,10,19679,162,158,11402,6839,785,333,10117,205,7618,605,148,24,46,3,6,35,774,0,98,10108,193,12,9137,210,548,8,8704,79,848,259,77,6,2,6,1,13,78,0,35,47007,2587,1854,28755,11627,1523,661,32242,601,8023,3803,683,29,36,4,25,47,1403,0,111,5938642,2913500,0,0,0,2571965,453177,2170152,489253,NA,1680899,44,1,1,2
"6",6,"VERMONT",699,744,270614,3713530,115,114,37935,462200,16,16,5310,44500,14,14,4350,31200,183,183,75925,1054400,33,34,11223,348100,0,0,0,0,5,5,1280,6100,0,0,0,0,0,0,0,0,180,184,60325,884530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2706,20200,2,2,650,5000,0,0,0,0,0,0,0,0,40,40,25000,401500,15,15,4450,39000,0,0,0,0,1,1,300,2500,4,4,1900,53000,0,0,0,0,60,60,19710,220000,0,0,0,0,24,65,19550,141300,108763,1615,609,84821,12512,8827,379,89890,194,6210,1125,447,55,52,4,6,11,10756,0,13,57983,1280,0,49364,93,7245,1,50920,30,1998,360,232,2,9,1,2,0,4429,0,0,21032,206,547,8847,10468,627,337,15520,46,2162,177,40,42,29,2,2,6,3002,0,4,7132,20,0,6943,30,138,1,6140,32,424,47,20,0,3,1,1,1,463,0,0,22616,109,62,19667,1921,817,40,17310,86,1626,541,155,11,11,0,1,4,2862,0,9,3594700,1002500,0,8042,0,1470094,1114064,1547128,588792,40329,918007,50,1,1,2
"7",11,"DELAWARE",267,252,87899,1823950,8,7,2950,131000,0,0,0,0,0,0,0,0,0,0,0,0,29,27,8975,246850,0,0,0,0,8,8,3425,64600,0,0,0,0,1,1,300,5000,173,166,51924,781000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300,20000,32,32,13375,384500,0,0,0,0,0,0,0,0,0,0,0,0,13,8,6000,170000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300,17000,0,0,0,0,1,1,350,4000,0,0,0,0,0,0,0,0,40313,2181,1231,29802,4524,2323,252,36281,629,2475,647,99,10,66,17,5,23,37,0,24,15973,1563,5,13045,21,1299,40,15465,75,254,131,16,1,19,3,0,1,4,0,4,11389,399,911,5762,3668,454,195,9733,164,1304,124,20,1,12,4,2,9,7,0,9,3437,46,0,3138,87,163,3,3160,55,161,41,4,2,4,3,2,1,3,0,1,9514,173,315,7857,748,407,14,7923,335,756,351,59,6,31,7,1,12,23,0,10,526125,0,0,116375,23500,384250,2000,418092,83666,189994,144432,10,5,3,2
"8",12,"NEW JERSEY",1402,1384,573303,18347150,164,164,61913,2376400,4,4,1200,20500,10,10,3430,54000,14,9,5050,335500,128,122,34800,2586000,0,0,0,0,63,63,28750,448450,1,1,300,8000,19,19,6750,111500,518,518,196860,4493650,0,0,0,0,4,4,1300,16500,0,0,0,0,6,0,0,5000,250,250,127700,3616025,1,1,500,7000,97,99,54800,2540825,6,6,1800,17000,107,107,45400,1590000,0,0,0,0,0,0,0,0,2,2,800,3300,1,1,400,10000,0,0,0,0,5,2,1100,103000,0,0,0,0,2,2,450,4500,296036,7483,3486,229519,39815,14623,1110,200009,29314,45266,12568,2668,608,1669,1718,144,804,958,8,302,63128,2734,10,52800,149,7409,26,54331,3139,3977,847,193,62,177,189,25,87,69,0,32,83380,1166,1938,50100,26259,3009,908,47359,6909,24486,2579,515,176,330,467,35,138,301,4,81,46206,665,23,43428,900,1149,41,33686,4348,5051,1759,411,73,267,197,37,133,153,4,87,103322,2918,1515,83191,12507,3056,135,64633,14918,11752,7383,1549,297,895,865,47,446,435,0,102,22854304,2996200,0,6222921,712394,11710162,1212627,7416724,373046,2397348,4646330,34,2,1,2
"9",13,"NEW YORK",5627,5474,2282876,66073755,817,795,309311,7439350,85,84,23775,162925,95,95,28175,224850,268,256,111785,2732500,475,465,204290,7211150,25,25,7300,228350,89,87,24910,596300,47,33,21400,1831950,190,182,70133,1560500,1745,1702,606098,11768290,4,2,1000,30600,6,6,3000,134600,0,0,0,0,4,3,1950,175000,672,656,325780,12786900,54,49,24090,644140,304,300,147033,7076250,9,8,3450,134000,455,453,271285,8558150,17,11,3120,45650,3,3,2300,23000,3,2,580,31000,22,19,8850,715200,7,6,1850,10200,124,120,41610,1155950,14,14,7000,580900,93,98,32801,216050,1491018,29661,14927,1126865,237282,77453,4830,935098,159683,264858,55168,14531,4701,10704,5789,1980,4395,31945,102,2064,374323,11190,40,316046,680,46219,148,304441,16990,27923,11714,2528,501,2273,698,85,492,6601,0,77,405339,6898,8179,214986,159904,11685,3687,207692,36814,130788,9981,2915,1315,2537,1167,922,1056,9445,25,682,234581,3358,372,220991,4268,5440,152,151165,28069,34967,8665,2344,1109,1577,1505,274,800,3422,31,653,476775,8215,6336,374842,72430,14109,843,271800,77810,71180,24808,6744,1776,4317,2419,699,2047,12477,46,652,159808234,32409144,0,39923185,10756599,66363637,10355669,48550308,8720156,15102761,24727391,36,2,1,2
"10",14,"PENNSYLVANIA",5984,5668,2332288,52758384,395,371,178210,3157500,235,218,110100,537800,97,69,27500,584100,40,36,14450,318200,238,234,94182,6703067,256,233,80545,712800,114,118,43725,1764700,15,14,7750,681000,904,841,339128,6474022,1286,1271,446463,7510675,7,7,2500,63200,15,16,9000,401000,0,0,0,0,11,7,1950,78000,739,723,304828,9626950,289,285,119022,2487500,10,10,5300,298000,712,657,270835,3746320,362,319,197115,6675050,3,3,725,11500,0,0,0,0,0,0,0,0,4,4,2050,68800,201,183,60860,489300,21,18,6725,288500,4,4,1875,28500,26,27,7450,51900,1020544,29347,9640,804756,121943,52106,2752,774608,73578,111398,40103,7212,1247,3972,2055,298,1873,3163,33,1004,260051,12294,46,218247,1087,28231,146,237215,9501,8014,2789,670,157,782,219,12,336,300,1,55,283000,6063,6993,175800,81384,10811,1949,197121,20853,52513,6949,1372,638,914,583,94,558,1060,15,330,121253,2376,297,111180,4068,3158,174,93016,8684,14149,3178,575,104,395,349,78,196,354,4,171,356240,8614,2304,299529,35404,9906,483,247256,34540,36722,27187,4595,348,1881,904,114,783,1449,13,448,89027131,31111662,0,48762038,411812,7882377,859242,24531397,5800172,4263898,14467327,42,2,1,2
