"","state","name","totpop","schools","teachtot","teachm","teachf","pupils","pupilsm","pupilsf","schinc","schincen","schinctx","schincot","pubschol","pusteach","pusteacm","pusteacf","puspupil","puspuplm","puspuplf","pusinc","pusincen","pusinctx","pusincot","cptschol","cptteach","cptteacm","cptteacf","cptpupil","cptpuplm","cptpuplf","cptinc","cptincen","cptinctx","cptincot","onpschol","onpteach","onpteacm","onpteacf","onppupil","onppuplm","onppuplf","onpinc","onpincen","onpinctx","onpincot","chimschl","chifschl","indmschl","indfschl","chim10nw","chif10nw","chim15nw","chif15nw","chim21nw","chif21nw","indm10nw","indf10nw","indm15nw","indf15nw","indm21nw","indf21nw","libtot","libtovol","libnp","libnpvol","libnpst","libnpstv","libnploc","libnplov","libnplaw","libnplav","libnpsch","libnpscv","libnpsun","libnpsuv","libnpchu","libnpchv","libnpaca","libnpacv","libnppri","libnpprv","libnpben","libnpbev","libnpcir","libnpciv","libpr","libprvol","area","density","families","perfam","dwell","perdwell","m518","f518","mnb518","fnb518","mfb518","ffb518","mwh518","fwh518","mcol518","fcol518","mchi518","fchi518","mind518","find518","m1845","mnb1845","mfb1845","mwh1845","mcol1845","mchi1845","mind1845","m210","mnb210","mfb210","mwh210","mcol210","mchi210","mind210","mcit210","dthmtot","dthftot","valas","valrest","valpers","valtrue","newspaps","newscops","newscirc","newsday","newsdayc","newswk3","newswk3c","newswk2","newswk2c","newswk","newswkc","newsmo2","newsmo2c","newsmo","newsmoc","newsmob","newsmobc","newsq","newsqc","newsann","newsannc","newsad","newsadco","newsadci","newsadw","newsadwc","newamo2","newam2c","newamo","newamoc","newamob","newamobc","newsadq","newsadqc","newsagri","newsagco","newsagci","newsagw","newsagwc","newagm2","newagm2c","newagmo","newagmoc","newsben","newsbeco","newsbeci","newsbew","newsbewc","newbem2","newbem2c","newbemo","newbemoc","newbeq","newbeqc","newscf","newscfco","newscfci","newscfd","newscfdc","newcfw3","newcfw3c","newcfw2","newcfw2c","newcfw","newcfwc","newcfm2","newcfm2c","newcfm","newcfmc","newcfbm","newcfbmc","newcfq","newcfqc","newsil","newsilco","newsilci","newsild","newsildc","newilw3","newilw3c","newilw2","newilw2c","newilw","newilwc","newilm2","newilm2c","newilm","newilmc","newilbm","newilbmc","newilq","newilqc","newsna","newsnaco","newsnaci","newsnad","newsnadc","newnaw3","newnaw3c","newnaw2","newnaw2c","newnaw","newnawc","newnawb","newnawbc","newspo","newspoco","newspoci","newspod","newspodc","newpow3","newpow3c","newpow2","newpow2c","newpow","newpowc","newpom2","newpom2c","newpom","newpomc","newsre","newsreco","newsreci","newrew","newrewc","newrem2","newrem2c","newrem","newremc","newrebm","newrebmc","newreq","newreqc","newssp","newsspco","newsspci","newspw","newspwc","newspm","newspmc","newspt","newsptco","newsptci","newptd","newptdc","newptw","newptwc","newptm2","newptm2c","newptm","newptmc","newptmb","newptmbc","newptq","newptqc","fips","region1","region2","level"
"1",1,"CONNECTICUT",537454,1917,2926,695,2231,98621,51307,47314,1856279,140887,1227889,487503,1635,2357,452,1905,88449,45556,42893,1426846,409,1216789,209648,11,106,98,8,1341,1203,138,265213,124008,11100,130105,271,463,145,318,8831,4548,4283,164220,16470,0,147750,0,0,14,17,0,0,0,0,0,0,0,2,2,2,7,15,63,285937,63,285937,1,12000,0,0,0,0,5,142000,0,0,0,0,1,14000,0,0,0,0,56,117937,NA,NA,4750,113.150001525879,114981,4.67000007629395,96880,5.55000019073486,69807,69155,64321,63478,5486,5677,68671,67942,1104,1182,0,0,32,31,109881,71349,38532,107631,2207,2,41,150415,101628,48787,147659,2700,0,56,127499,3550,3246,425433237,204110509,221322728,774631524,71,17454740,203725,16,35730,0,0,1,800,43,107395,2,900,7,56400,1,1150,1,1350,0,0,3,279200,6600,1,5000,0,0,2,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156000,3000,1,3000,0,0,0,0,0,0,2,860000,55000,0,0,0,0,0,0,1,5000,0,0,1,50000,0,0,0,0,4,278800,5900,0,0,0,0,0,0,3,5200,0,0,1,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,15151640,114725,16,35730,0,0,1,800,33,76195,1,500,1,1500,6,594200,13350,3,11000,1,400,1,600,0,0,1,1350,0,0,0,0,0,0,0,3,134900,5150,0,0,1,2000,0,0,1,2000,1,1150,0,0,9,1,1,2
"2",2,"MAINE",626915,4723,6986,2430,4556,162636,77992,84644,1106203,98626,841524,166053,4565,6625,2261,4364,152765,73393,79372,843435,4116,809941,29378,60,219,133,86,5691,3208,2483,202374,93010,31183,78181,98,142,36,106,4180,1391,2789,60394,1500,400,58494,0,0,5,5,0,0,0,0,0,0,1,1,1,0,0,2,3334,984510,1462,533547,1,20000,58,14649,19,9748,25,63425,1079,277742,140,39910,1,2500,3,5300,0,0,136,100273,1872,450963,35000,17.9099998474121,131017,4.78000020980835,121953,5.1399998664856,89233,86355,85622,82659,3611,3696,88917,86114,221,183,0,0,95,58,118940,105023,13917,118403,433,1,103,169821,149889,19932,169192,497,1,131,153160,3993,3735,204253780,134580157,69673623,348155671,65,9867680,170690,7,10700,1,350,0,0,47,114600,1,700,8,42840,0,0,1,1500,0,0,2,72000,6000,0,0,0,0,2,6000,0,0,0,0,2,676000,13000,2,13000,0,0,0,0,3,308000,15000,1,3500,0,0,1,10000,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1413880,47290,0,0,0,0,0,0,5,20950,1,700,4,25640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6759400,76200,7,10700,1,350,0,0,36,65150,0,0,0,0,3,624000,12000,3,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14400,1200,0,0,0,0,0,0,1,1200,0,0,0,0,23,1,1,2
"3",3,"MASSACHUSETTS",1457351,5726,7561,1428,6133,269337,134777,134560,4817939,383146,3183794,1250999,5160,6140,753,5387,242145,121572,120573,3207826,27315,3069085,111426,84,532,406,126,7942,5264,2678,1076423,355831,114709,605883,482,889,269,620,19250,7941,11309,533690,0,0,533690,3,3,6,11,0,0,0,0,2,0,3,0,3,2,2,6,3169,3017813,1544,2010609,1,30000,95,475853,18,27708,20,253127,1042,539609,164,85956,11,186800,1,1000,6,63000,186,347556,1625,1007204,7800,186.839996337891,305534,4.76999998092651,236473,6.15999984741211,184640,187180,166612,167613,18028,19567,183151,185514,1419,1639,58,0,12,27,298767,191788,106979,295275,3435,38,19,398157,260325,137832,394031,4073,20,33,312770,12894,12965,1591983112,901037841,690945271,2132148741,259,129691266,1692124,21,231625,1,800,16,41484,153,899465,11,45200,48,462150,0,0,9,11400,0,0,4,252000,11000,1,3000,0,0,3,8000,0,0,0,0,7,3057664,68032,6,56032,0,0,1,12000,7,474400,21700,1,4000,3,4500,3,13200,0,0,13,2947600,73800,0,0,0,0,1,3500,5,37600,2,22000,3,7200,0,0,2,3500,54,24586040,700270,0,0,0,0,1,600,31,403520,2,1200,17,291500,0,0,3,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,129,87283762,490872,21,231625,1,800,14,37384,92,220063,1,1000,0,0,31,10019800,283450,13,161750,2,14000,14,105250,0,0,2,2450,1,234000,4500,1,4500,0,0,13,836000,38500,0,0,3,9000,1,2500,7,25000,0,0,2,2000,25,1,1,2
"4",4,"NEW HAMPSHIRE",318300,2542,3355,653,2702,64677,33123,31554,574898,59289,396991,118618,2464,3110,510,2600,59408,30275,29133,403310,1643,391991,9676,40,180,121,59,3344,1808,1536,143966,57346,5000,81620,38,65,22,43,1925,1040,885,27622,300,0,27322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,704269,670,324393,1,10500,32,44744,7,627,21,30800,538,164570,38,7425,4,18510,0,0,0,0,29,47217,856,379876,9280,34.2999992370605,72144,4.40999984741211,67046,4.75,40073,38693,37823,36182,2250,2511,40000,38619,69,68,0,0,4,6,60684,51732,8952,60504,175,0,5,91016,80190,10826,90834,176,0,6,83361,2092,2199,149065290,85231288,63834002,252624112,51,7237588,173919,7,6100,0,0,0,0,37,75819,1,25000,6,67000,0,0,0,0,0,0,2,600000,50000,0,0,0,0,2,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78000,1500,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,399000,20750,0,0,0,0,0,0,5,3750,0,0,4,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4884588,63669,7,6100,0,0,0,0,30,57569,0,0,0,0,2,1276000,38000,1,13000,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,1,2
"5",5,"RHODE ISLAND",217353,561,951,237,714,32596,15491,17105,565012,31535,348656,184821,487,775,165,610,27250,12736,14514,355582,1085,348656,5841,5,42,36,6,1198,984,214,78550,30000,0,48550,69,134,36,98,4148,1771,2377,130880,450,0,130430,0,0,22,16,0,0,0,0,0,0,0,1,1,2,5,11,759,693387,334,309696,1,1500,10,15198,5,2147,12,97500,248,116441,26,11160,0,0,0,0,0,0,32,65750,425,383691,1306,166.429992675781,46133,4.71000003814697,34828,6.23999977111816,27834,27941,24258,24139,3576,3802,27258,27363,553,553,0,0,23,25,44377,28648,15729,43187,1165,0,25,58752,38258,20494,57312,1404,0,36,43996,1423,1318,244278854,132876581,111402273,296965646,32,9781500,82050,6,23250,0,0,1,1200,19,43950,0,0,6,13650,0,0,0,0,0,0,1,60000,5000,0,0,0,0,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112000,6000,1,1000,0,0,1,5000,0,0,3,336000,8000,0,0,0,0,0,0,2,6000,0,0,1,2000,0,0,0,0,6,496800,9900,0,0,0,0,0,0,5,9450,0,0,1,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8653100,49850,6,23250,0,0,1,1200,10,25400,0,0,0,0,2,111600,2300,1,2100,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,1,12000,1000,0,0,0,0,0,0,1,1000,0,0,0,0,44,1,1,2
"6",6,"VERMONT",330551,3084,5160,1356,3804,62913,31295,31618,707292,13046,523970,170276,2830,4622,1171,3451,52067,25872,26195,516702,1366,504006,11330,46,204,104,100,4196,2252,1944,112157,11680,8537,91940,208,334,81,253,6650,3171,3479,78433,0,11427,67006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1792,727263,736,321727,1,14158,82,52368,4,3023,58,38735,544,182840,11,8517,0,0,3,1408,0,0,33,20678,1056,405536,10212,32.3699989318848,70462,4.69000005722046,66145,5,45667,44164,41577,40290,4090,3874,45552,44056,114,107,0,0,1,1,62459,48479,13980,62206,248,0,5,90806,72191,18615,90522,278,0,6,74867,1804,1741,102548528,80993100,21555428,235349553,47,4055300,71390,3,3190,0,0,0,0,43,56200,0,0,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88400,1700,1,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,180400,12700,0,0,0,0,0,0,2,700,0,0,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3464100,50790,3,3190,0,0,0,0,37,47600,0,0,0,0,3,322400,6200,3,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,1,2
"7",11,"DELAWARE",125015,375,510,147,363,19575,9093,10482,212712,0,120429,92283,326,388,107,281,16835,7694,9141,127729,0,120429,7300,11,63,32,31,859,480,379,53550,0,0,53550,38,59,8,51,1881,919,962,31433,0,0,31433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,183423,252,92275,1,4000,0,0,0,0,0,0,223,55851,23,9400,0,0,0,0,0,0,5,23024,221,91148,2120,58.9700012207031,22900,5.46000003814697,22577,5.53999996185303,20185,19622,19944,19348,241,274,16376,16017,3809,3605,0,0,0,0,24018,21097,2921,19593,4425,0,0,30035,25806,4229,24811,5224,0,0,28207,827,734,64787223,48744783,16042440,97180833,17,1607840,20860,1,1600,0,0,3,3660,12,13600,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78000,1500,0,0,0,0,0,0,2,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1505840,17360,1,1600,0,0,3,3660,10,12100,0,0,0,0,1,24000,2000,0,0,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,2
"8",12,"NEW JERSEY",906096,1893,3889,1455,2434,129800,67751,62049,2982250,49000,1499550,1433700,1531,3016,956,2060,80105,39763,40342,1562573,0,1492608,69965,13,106,96,10,1571,1359,212,193347,49000,6942,137405,349,767,403,364,48124,26629,21495,1226330,0,0,1226330,10,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2,2413,895291,1636,535679,1,17205,2,20000,0,0,0,0,1619,423224,0,0,0,0,0,0,0,0,14,75250,777,359612,8320,108.910003662109,183043,4.94999980926514,155936,5.80999994277954,132049,130813,123899,122578,8150,8235,127708,126518,4336,4291,2,0,3,4,180987,118871,62116,174666,6307,11,3,231862,149634,82228,223983,7870,5,4,194109,5716,4870,624868971,448832127,176036844,940976064,122,18625740,205500,20,38030,0,0,0,0,95,120670,0,0,7,46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,440000,30000,1,2000,0,0,1,28000,2,55600,1300,1,1000,0,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,401600,9200,1,400,0,0,0,0,7,4300,0,0,2,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,17560540,151000,19,37630,0,0,0,0,86,113370,0,0,0,0,2,132000,11000,0,0,0,0,2,11000,0,0,0,0,0,0,0,0,0,0,0,1,36000,3000,0,0,0,0,0,0,1,3000,0,0,0,0,34,2,1,2
"9",13,"NEW YORK",4382759,13020,28918,8035,20883,862022,373276,488746,15936783,674732,9151023,6111028,11678,23729,5710,18019,719181,302373,416808,8912024,13122,8385330,513572,274,2049,1171,878,43728,25156,18572,3722193,652061,466156,2603976,1068,3140,1154,1986,99113,45747,53366,3302566,9549,299537,2993480,0,1,25,25,0,0,3,0,10,2,4,6,11,4,30,47,20929,6310352,13771,3524869,2,66019,130,173236,26,77535,9879,1165158,3103,994627,486,253163,0,0,1,5000,0,0,144,790131,7158,2785483,47000,93.25,898772,4.88000011444092,688559,6.36999988555908,613659,617329,570261,571866,43398,45463,607553,610809,6047,6465,2,0,57,55,881500,527820,353680,869403,11988,25,84,1158901,670375,488526,1144165,14586,23,127,981587,36740,32355,1967001185,1532720907,434280278,6500841264,835,471741744,7561497,87,780470,5,5800,22,114500,518,3388497,21,216300,163,2920810,0,0,19,135120,0,0,17,1378800,89900,4,7500,1,2000,11,77400,0,0,1,3000,10,7621800,307150,4,97050,1,4500,5,205600,12,1161200,47600,6,14600,1,500,5,32500,0,0,50,13778600,326950,0,0,0,0,4,33500,26,163850,3,20200,16,106500,0,0,1,2900,103,72448180,2047865,0,0,1,800,0,0,46,1194415,5,15700,48,811150,0,0,3,25800,6,1606800,23800,0,0,1,800,2,5500,3,17500,0,0,487,323171724,2268532,86,778470,3,4200,16,75500,382,1410362,0,0,0,0,90,40798240,2095120,33,360120,5,154200,44,1506000,0,0,8,74800,4,2780000,65000,3,50000,1,15000,56,6996400,289580,1,2000,11,73100,5,19200,33,166660,0,0,6,28620,36,2,1,2
"10",14,"PENNSYLVANIA",3521951,14872,19522,8507,11015,811863,428023,383840,9628119,539496,7187700,1900923,14107,17118,7298,9820,745734,393953,351781,7292946,10000,7060111,222835,213,1201,812,389,21205,14321,6884,1719058,465713,109589,1143756,552,1203,397,806,44924,19749,25175,616115,63783,18000,534332,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,3,14849,6377845,4966,3049247,1,30000,39,28586,29,24051,115,267223,3916,1696640,732,420559,18,202600,0,0,30,49435,86,330153,9883,3328598,46000,76.5599975585938,675408,5.21000003814697,635680,5.53999996185303,540133,535907,516723,512610,23410,23297,531904,526875,8223,9028,1,0,5,4,679506,506438,173068,665704,13780,10,12,865883,614883,251000,848790,17072,9,12,776345,27961,24678,1313236042,1071680934,241555108,3808340112,540,241170540,3419765,55,466070,3,10000,2,17700,385,1214395,11,825100,73,846750,3,8550,8,31200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1010400,84200,0,0,0,0,8,84200,10,1098000,34500,6,17100,0,0,4,17400,0,0,3,262000,15500,0,0,0,0,0,0,1,3500,0,0,1,4000,0,0,1,8000,82,34070860,935519,4,15984,0,0,0,0,54,448135,2,13000,22,458400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,167781380,955746,51,450086,3,10000,2,17700,280,477960,0,0,0,0,64,34437600,1284800,30,232350,9,812100,22,237950,0,0,3,2400,0,0,0,0,0,0,0,37,2510300,109500,0,0,14,35350,0,0,16,44800,3,8550,4,20800,42,2,1,2
