"state","name","whpbal","whpbar","whpbca","whpbco","whpbct","whpbde","whpbfl","whpbga","whpbil","whpbin","whpbia","whpbks","whpbky","whpbla","whpbme","whpbmd","whpbma","whpbmi","whpbmn","whpbms","whpbmo","whpbne","whpbnv","whpbnh","whpbnj","whpbny","whpbnc","whpboh","whpbor","whpbpa","whpbri","whpbsc","whpbtn","whpbtx","whpbvt","whpbva","whpbwv","whpbwi","whpbak","whpbaz","whpbsd","whpbdc","whpbid","whpbit","whpbmt","whpbnm","whpbut","whpbwa","whpbwy","whpbsea","colpbal","colpbar","colpbca","colpbco","colpbct","colpbde","colpbfl","colpbga","colpbil","colpbin","colpbia","colpbks","colpbky","colpbla","colpbme","colpbmd","colpbma","colpbmi","colpbmn","colpbms","colpbmo","colpbne","colpbnv","colpbnh","colpbnj","colpbny","colpbnc","colpboh","colpbor","colpbpa","colpbri","colpbsc","colpbtn","colpbtx","colpbvt","colpbva","colpbwv","colpbwi","colpbak","colpbaz","colpbsd","colpbdc","colpbid","colpbit","colpbmt","colpbnm","colpbut","colpbwa","colpbwy","colpbsea","pbafrica","pbasia","pbatlisl","pbaustrl","pbaustri","pbbelg","pbbohem","pbbritam","pbcanada","pbnbruns","pbnfld","pbnoscot","pbpei","pbbramns","pbcentam","pbchina","pbcuba","pbdenmar","pbeurns","pbfrance","pbgerm","pbbaden","pbbavar","pbbruns","pbhambg","pbhanov","pbhessen","pblubeck","pbmeckl","pbnassau","pboldenb","pbpruss","pbsaxony","pbweimar","pbwurtt","pbgerns","pbgibral","pbgrbrit","pbengl","pbirelan","pbscot","pbwales","pbgrbrns","pbgreece","pbgreenl","pbhollan","pbhung","pbindia","pbitaly","pbjapan","pbluxemb","pbmalta","pbmexico","pbnorway","pbpacisl","pbpoland","pbportug","pbrussia","pbhawaii","pbsoamer","pbspain","pbsweden","pbswitz","pbturkey","pbwesind","pbsea","fnatmfor","fformnat","fornpar","forpar","fathirl","mothirl","fathgerm","mothgerm","fathbrit","mothbrit","fathscan","mothscan","fathbram","mothbram","fathoth","mothoth","puselhs","puselhsc","pushigh","schbldg","pussit","schprop","pusrcpt","pusrcpt1","pusrcpt2","pusexp","pusexp1","pusexp2","pusexp3","teachwhm","teachwhf","teachcom","teachcof","teachmo","teachyr","teachser","schmos","pupils","pupilwh","pupilwhm","pupilwhf","pupilco","pupilcom","pupilcof","attend","attendwh","attendco","newswagy","newswagw","newsmfgm","newsmfgf","newsedit","newspaps","newspdam","newspdae","newspwk","newspwk2","newspwk3","newspwkb","newspmo","newspmo2","newspmo3","newspmob","newspmoq","newspmos","newscird","newsciro","newsnews","newsrelg","newsagri","newscomm","newsfin","newsinrr","newslit","newsmedi","newslaw","newstech","newsorgs","newseduc","newskids","newsmisc","newssund","newsbohe","newscata","newschin","newsengl","newsfren","newsgerm","newsdutc","newsindn","newsirsh","newsital","newspols","newsport","newsscan","newsspan","newswels","newsbapt","newschri","newscong","newsdisp","newsdunk","newsepis","newsevan","newsquak","newsjewi","newsluth","newsmenn","newsmeth","newsmorv","newsmorm","newspres","newsprim","newsrefo","newscath","newssadv","newsspir","newsswed","newsunit","newsubre","newsuniv","newsnosc","rrmile80","debtearl","debt60","debt61","debt62","debt63","debt64","debt65","debt66","debt67","debt68","debt69","debt70","debt71","debt72","debt73","debt74","debt75","debt76","debt77","debt78","debt79","debt80","debtns","mfgmale","mfgfem","mfgm1015","mfgf1015","mfgm1659","mfgf1659","mfgm600","mfgf600","mfgnb","mfgirel","mfggerm","mfgbrit","mfgscan","mfgbram","mfgothfb","cotmfg31","cotmfg50","cotmfg60","cotmfg70","cotmfg80","cotmal31","cotmal50","cotmal60","cotmal70","cotmal80","cotfem31","cotfem50","cotfem60","cotfem70","cotfem80","cotkid31","cotkid50","cotkid60","cotkid70","cotkid80","cotcap31","cotcap50","cotcap60","cotcap70","cotcap80","cotwag31","cotwag50","cotwag60","cotwag70","cotwag80","cotlbs31","cotlbs50","cotlbs60","cotlbs70","cotlbs80","cotrms31","cotrms50","cotrms60","cotrms70","cotrms80","cotout31","cotout50","cotout60","cotout70","cotout80","cotval31","cotval50","cotval60","cotval70","cotval80","irst80","irstcap","irstemp","irstmale","irstmkid","irstfem","irstfkid","irsthour","irstwags","irstwagu","irstwage","irstrms","irstval","irsttons","fips","region1","region2","level"
1,"CONNECTICUT",100,9,212,8,391087,121,82,263,806,216,222,76,120,140,2416,475,22256,421,140,35,159,20,2,2042,3875,38070,173,1261,13,3035,8207,224,73,62,3450,595,23,359,0,4,6,139,2,4,1,8,36,5,1,6,31,1,4,0,7124,69,22,96,7,11,2,0,35,48,15,359,387,5,0,17,5,0,0,5,192,1102,371,11,1,188,118,75,14,3,26,1127,12,6,0,0,1,149,0,0,1,2,0,0,0,6,14,1,79,35,287,76,124,16444,15428,366,55,513,73,9,11,134,35,428,12,1079,15627,1121,1351,29,89,348,210,3,52,25,22,3814,1262,18,1451,5832,2,90683,15453,70638,4157,407,28,1,0,122,76,24,879,9,28,1,10,168,18,225,165,65,32,47,47,2086,680,4,161,73,9490,15126,318,252212,162116,163549,33780,31203,37533,34871,2894,2802,22887,22436,8128,6841,2601,0,12,1643,110942,3454275,1441255,1395060,46195,1335234,986989,87047,261198,573,2146,0,0,40.3600006103516,363,24455,23294,118589,118232,61586,56646,357,164,193,72725,72531,194,287792,90774,618,45,248,139,7,10,99,2,0,0,15,2,1,1,2,0,47490,190170,110,3,4,0,0,0,2,1,0,1,5,11,0,2,5,0,0,0,134,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,922.679992675781,555845,500,80000,27400,1335682,1418400,2010600,257500,370000,279700,897500,1836243,1449600,1324000,811000,310000,1570800,784000,1827300,467100,1192200,1123500,533484,89192,26899,3755,3083,81185,23589,4252,227,78465,15940,5097,7469,770,7043,1307,94,128,129,111,82,1399,2708,4028,4443,6134,2477,3478,4974,4734,5434,439,0,0,2909,2916,2825000,4219100,6627000,12710700,20310500,NA,NA,1743480,3246783,3632639,6777209,17767350,31891011,31747309,52384171,NA,2500062,4028406,8818651,8029127,5612000,NA,NA,27296710,42285517,NA,4122952,8911387,14026334,16069771,19,2682000,685,663,22,0,0,64,2.74000000953674,1.26999998092651,331184,1341225,1998698,38061,9,1,1,2
2,"MAINE",11,17,244,22,512,22,44,53,196,79,95,35,39,46,561471,131,10041,118,100,22,55,18,11,9440,207,1818,28,218,16,514,524,53,29,15,1476,165,6,183,0,1,4,79,3,4,3,1,12,10,1,1,2,0,0,0,5,1,6,12,0,0,0,0,3,12,1544,27,25,0,0,0,2,0,0,18,5,17,20,1,0,8,2,17,1,3,6,111,2,0,0,0,0,10,0,0,0,0,0,0,0,0,5,6,29,27,19,14,1,37114,19095,13955,108,3574,365,17,0,23,41,273,19,128,688,12,39,1,11,29,13,0,3,0,1,226,45,0,17,291,0,18822,3716,13421,1397,283,5,1,0,16,6,22,90,0,0,1,0,99,28,24,62,54,4,35,32,988,31,9,86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4736,0,83,4324,178271,3027602,1074554,1050715,23839,991297,777692,74801,138804,1344,3453,0,0,28.2000007629395,162.119995117188,27576,27118,150811,150758,73522,77236,53,25,28,106763,106731,32,95257,221749,517,367,152,123,4,8,90,0,1,1,18,0,0,0,1,0,18940,1195520,91,9,4,1,0,0,8,0,0,2,2,3,0,3,2,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,999.349975585938,134800,7100,491000,49500,857078,2475222,316655,91800,673250,1237780,6198200,582600,969500,824325,643600,397876,1034875,488793,3698050,343229,372970,76750,334550,55884,16778,1320,1045,51121,15518,3443,215,59723,2016,206,2401,159,7826,331,8,12,19,23,24,84,780,1828,2606,3858,205,2959,4936,6246,6481,0,0,0,587,1420,765000,3329700,6018325,9839685,15292078,NA,NA,1368888,2565197,2936640,588500,14188950,23733165,25887771,54185061,NA,1573110,3319335,6746780,7320152,525000,NA,NA,23627155,44352698,NA,2630616,6235623,11844181,13319363,3,450000,700,683,17,0,0,65,2.47000002861023,1.14999997615814,141494,380511,583328,10866,23,1,1,2
3,"MASSACHUSETTS",120,23,742,103,20174,211,130,373,1735,421,539,146,465,418,68010,1107,1078815,928,309,94,360,57,26,54004,3016,35028,286,2134,41,4433,17067,401,222,116,26869,1371,47,797,1,24,6,420,7,11,5,37,170,11,6,8,23,1,3,2,400,77,55,184,12,9,2,0,37,47,216,731,9750,12,1,26,11,0,0,84,121,600,607,26,2,342,191,307,46,7,74,3395,48,22,0,1,0,260,0,0,0,5,12,1,0,0,124,54,2421,107,308,219,279,119302,71504,12006,2699,29307,3613,173,27,314,158,576,93,2212,16872,1588,1291,136,118,415,441,2,64,90,15,3581,1550,15,1018,6548,24,287432,47263,226700,12507,873,89,41,3,586,82,231,2116,27,13,17,21,639,68,681,1161,462,99,220,211,4756,604,102,676,153,35011,47068,2101,798652,514327,515785,37289,33247,107772,98342,8067,7154,152350,157248,25915,21887,6604,0,204,3343,319749,21660392,4696612,4383080,313532,4720951,3906516,490015,324420,922,6411,1,2,58.4900016784668,532.510009765625,66780,59740,316630,316193,156922,159271,437,211,226,235664,235355,309,1342782,731967,2148,420,848,427,16,23,279,13,1,7,80,1,0,0,7,0,280399,1732530,281,30,6,14,1,4,20,2,2,5,6,15,14,27,6,0,0,0,422,4,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,4,2,1,2,0,3,5,1868.57995605469,5795417,1022218,4053290,2209500,2472000,10426744,3076380,808100,1611500,5219607,7508468,4174200,6285700,9418474,11185604,8917841,8406980,6072760,5497400,2432100,1920550,969115,450000,272246,98019,8591,7272,250508,89921,13147,826,238255,52358,6144,24649,1958,43191,3710,256,213,217,191,175,2665,9293,13691,13694,22180,10678,19437,24760,24065,31496,0,0,0,5753,7570,12891000,28455630,33704674,44714375,72291601,NA,NA,7798476,13589305,15828571,24871981,100623150,134012759,130654040,273718889,NA,11289309,17214592,37371599,35994109,21301062,NA,NA,113803458,219160105,NA,21394401,38004255,59493153,72289518,30,6738408,6513,6367,125,21,0,60,2.71000003814697,1.26999998092651,2576539,6657232,10288921,141321,25,1,1,2
4,"NEW HAMPSHIRE",16,4,102,13,839,13,13,38,325,47,122,32,41,18,14112,144,20524,142,95,109,65,10,4,242337,175,3729,26,271,1,399,709,25,30,9,14999,130,10,146,0,0,1,43,6,3,3,2,98,13,1,1,4,0,0,0,3,1,5,3,1,0,0,0,6,7,18,21,37,0,0,3,0,0,0,420,3,10,12,0,0,4,2,10,4,0,41,83,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,2,0,16,44,5,10,27142,25703,474,53,816,86,10,48,20,4,30,4,98,789,39,42,4,2,6,1,0,5,6,3,145,136,0,25,375,0,17683,3497,13052,1102,21,11,1,0,11,0,6,32,0,0,0,3,79,5,11,19,7,3,13,17,131,27,12,7,12,4427,5813,743,69828,29227,29511,1610,1351,9301,8348,341,345,34302,34113,860,587,2552,0,51,2230,81131,2328796,559133,542998,16135,568103,415777,14924,137402,395,2225,0,0,28.1200008392334,158.690002441406,14785,14376,64670,64660,33517,31143,10,4,6,48943,48934,9,62950,56253,262,54,96,87,2,8,66,0,0,1,7,3,0,0,0,0,9070,176898,74,3,1,0,0,0,5,0,0,0,1,1,1,1,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.10998535156,34000,0,3000,38175,171500,828500,104550,56000,19900,99700,40200,180050,307541,3406400,345300,380100,179000,282000,105000,272620,684825,76650,1050048,40675,17362,1257,1353,37222,15808,2196,201,42200,3282,281,1736,67,10328,143,40,44,44,36,36,875,2911,3829,3752,5104,4090,9211,8901,7490,9594,60,0,0,1300,1697,5300000,10950500,12586880,13332710,19877084,NA,NA,2883804,3989853,4290960,7845000,37361700,51002324,41469719,76386499,NA,4839429,7128196,12318867,10146904,7255060,NA,NA,35003432,63881540,NA,8861749,13699994,16999672,17953403,2,650000,290,289,1,0,0,57,2,1.19000005722046,127690,523355,807340,7978,33,1,1,2
5,"RHODE ISLAND",17,5,98,7,7555,46,42,95,283,53,62,30,61,38,2835,267,23026,107,62,25,44,15,1,1716,776,6095,44,192,10,1090,149284,77,20,10,1533,200,23,167,1,1,3,57,1,1,2,1,25,3,1,1,4,2,6,0,270,70,21,28,4,2,0,0,15,24,11,596,294,2,1,4,3,0,0,9,78,321,126,6,0,190,3203,63,2,5,10,876,7,7,0,0,0,170,0,0,0,0,0,0,0,0,11,3,185,11,28,20,29,18306,16300,293,128,1401,162,22,10,40,35,55,16,312,1966,94,123,54,21,54,59,0,5,7,11,380,143,3,132,880,0,50990,12500,35281,3039,167,3,7,0,51,5,30,313,4,1,3,2,56,46,97,210,25,4,23,65,776,122,7,109,20,5885,7521,193,129893,79063,79692,4218,3467,26042,24639,1254,1164,23533,24158,3304,2658,850,1,7,453,41524,1895877,541607,492797,48810,530167,401738,52930,75499,145,756,1,0,48.25,445.380004882812,8326,7827,42489,42454,21465,20989,35,16,19,27453,27438,15,161158.625,45367,340,24,79,44,2,6,31,1,0,1,3,0,0,0,0,0,41402,55719,39,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.979995727539,0,600000,500,965000,1207000,738000,16500,0,18000,0,0,83000,920000,1268000,22000,2000000,1597250,1500000,980000,400000,1710000,0,50000,46072,20088,2957,2576,41278,17372,1837,140,40278,9108,685,7060,282,8238,509,116,158,153,139,115,1731,4959,6353,5583,8045,3297,5916,7724,8028,9199,3472,0,0,3134,3930,6262340,6675000,10052200,18836300,28047331,NA,NA,2847804,5224650,5320303,10414578,22820850,41614797,44630787,81137172,NA,3484579,5799223,13268315,12291437,9271481,NA,NA,38503060,60905642,NA,6495972,12151191,22049203,22875111,3,630000,275,200,75,0,0,60,4,1.16999995708466,130969,375347,488040,8134,44,1,1,2
6,"VERMONT",8,3,74,20,1200,15,9,26,286,64,122,29,28,32,1358,119,8230,238,75,27,49,12,8,11760,257,13615,30,346,5,367,318,15,13,26,251112,63,1,267,1,3,1,25,0,2,12,4,4,1,0,1,0,1,0,0,11,0,4,2,0,0,0,0,0,5,3,16,65,0,0,6,1,0,0,20,5,118,8,2,0,5,2,9,5,0,668,74,3,4,0,0,0,8,0,1,0,0,0,0,0,0,6,0,7,7,5,9,4,24620,24344,101,9,142,24,0,31,1,3,35,3,138,396,14,17,15,4,7,16,0,2,1,1,84,14,0,12,209,0,15434,2253,11657,1006,514,4,1,0,10,5,15,30,1,0,0,4,10,0,5,4,8,1,10,10,68,45,13,7,13,8140,13513,1642,74239,31928,31140,1187,853,9968,8131,217,98,43253,41560,1199,597,2597,0,83,2450,77209,1427547,462139,430608,31531,452693,361039,43167,48487,731,1866,0,0,21.8099994659424,139.020004272461,16548,16548,73237,73159,37255,35904,78,45,33,47206,47167,39,29000,63959,216,82,73,82,2,3,72,0,0,0,3,1,0,0,1,0,4200,125992,74,3,2,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,874.390014648438,0,0,65000,4000,9500,0,0,148400,212210,90700,98500,370500,271150,216000,67700,133000,156000,85000,66450,131323,695630,397800,0,22586,3628,442,166,20565,3361,1579,101,19738,1532,113,904,25,3804,98,17,9,8,8,7,102,94,157,125,200,363,147,222,242,350,19,0,0,84,171,295500,202500,271200,670000,936096,NA,NA,78468,125000,161748,760000,1009350,1447250,1235652,3562088,NA,114415,181030,292269,508297,574500,NA,NA,1051000,2159108,NA,280300,357450,546510,855864,4,410000,191,190,1,0,0,75,3.29999995231628,1.27999997138977,50035,240900,392300,6620,50,1,1,2
11,"DELAWARE",7,4,20,1,210,87957,14,24,78,51,20,6,33,17,107,6986,256,31,15,6,73,2,9,68,2149,1293,54,95,2,10505,35,44,15,10,75,345,9,22,0,0,1,70,0,0,0,1,0,0,0,0,0,1,2,0,7,22686,1,13,1,4,0,0,12,3,24,2576,8,7,0,1,10,0,0,3,89,28,15,1,0,554,2,20,2,3,1,297,0,31,0,0,0,18,0,0,0,0,0,0,0,0,15,5,1,11,22,1,2,246,208,4,4,24,4,2,0,2,19,36,0,138,1179,91,94,1,4,14,67,0,4,17,1,245,28,0,185,428,0,7561,1433,5791,285,51,1,0,0,10,1,4,43,0,0,0,1,6,0,8,1,9,5,3,2,71,48,2,8,8,1234,2876,38,19815,13957,13710,3536,2852,4130,3629,115,103,241,231,712,524,519,50,3,369,23616,440788,177653,177653,0,172455,110931,0,61524,239,280,1,6,27.9899997711182,210.899993896484,3962,3920,26412,24178,12839,11339,2234,1296,938,17439,16066,1373,41061.66015625,14217,146,8,36,26,2,3,20,0,0,0,1,0,0,0,0,0,15800,18625,24,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278.589996337891,0,0,2500,0,37000,15000,0,0,0,0,122000,35000,41000,149000,145000,170000,141000,0,369950,0,145000,880750,44100,12284,1864,401,173,11252,1657,631,34,12327,858,342,473,19,34,95,10,12,11,6,8,697,413,520,225,237,676,425,589,286,362,0,0,0,215,192,384500,460100,582500,1165000,874570,NA,NA,220224,190069,192727,1435000,2128500,3403000,2587615,3236184,NA,312068,570102,704733,527205,1201500,NA,NA,2437649,2867969,NA,538439,941703,1060898,871007,9,1431469,867,818,49,0,0,56,2.49000000953674,1.16999995708466,344476,1214050,2347177,33918,10,5,3,2
12,"NEW JERSEY",121,24,229,55,5984,2395,142,388,1133,425,269,104,444,355,1936,2838,6513,622,109,118,429,32,13,1117,697945,93341,358,2383,12,44736,1057,441,202,108,1331,1850,74,425,0,2,9,542,2,10,2,39,14,3,3,13,29,2,7,0,87,1718,49,105,7,2,3,0,39,33,25,1718,70,5,0,28,13,2,0,4,27669,1351,292,26,0,2018,18,219,38,10,6,2939,33,1,0,1,2,149,0,0,0,0,0,0,0,1,41,16,26,80,864,255,429,3536,2776,169,88,381,103,19,18,196,146,1264,59,3739,64935,6287,5948,157,659,2947,3068,14,439,140,283,11233,2534,14,5266,25946,10,132882,31285,93079,7633,863,22,12,27,4281,272,131,1547,10,28,8,65,229,16,748,23,301,36,157,114,1622,3040,50,375,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3241,59,135,1588,187352,6298500,1881103,1807934,73169,2039938,1391550,272036,376352,943,2430,15,34,41.4199981689453,406.640014648438,33594,31861,205240,201463,99961,101502,3777,1895,1882,116860,114466,2394,241784,212749,1016,63,285,215,8,19,163,6,1,2,13,0,0,1,2,0,50776,198702,194,3,1,2,0,0,3,1,1,1,4,4,0,1,3,0,0,0,196,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1648.92004394531,623000,200000,416100,339000,1270900,1946800,1243700,1390000,829000,300000,1157000,1723500,4011000,5208500,3405700,2281700,3797300,2666300,1970300,3121800,2591800,50000,11015213,131647,28914,5113,3377,121180,25252,5354,285,109696,14532,18334,12087,507,896,4509,51,21,44,27,17,2151,616,1010,1086,1180,3070,1096,1524,1745,2291,217,0,0,683,708,2027644,1483500,1320550,2762000,3807750,NA,NA,468336,1009351,1156961,5832204,6496650,9094649,7920035,9950609,NA,666645,1165435,1964758,2018175,1877418,NA,NA,6723748,8275260,NA,1289648,2217728,4015768,4548275,40,9099050,4792,4711,81,0,0,63,2.3199999332428,1.21000003814697,1808448,6556283,10341896,243860,34,2,1,2
13,"NEW YORK",702,89,1531,238,38036,951,492,1631,6481,2027,1917,542,1571,2020,7160,5358,42110,7658,832,466,1846,199,47,7356,45479,3511755,1037,11482,69,54513,6147,1884,843,528,31130,5203,213,3640,4,27,33,1579,17,51,30,61,252,30,17,33,91,17,20,1,626,296,153,608,23,13,11,10,149,191,46,2484,391,42,3,60,40,0,5,24,1787,44639,1237,117,7,1642,105,812,109,22,141,7383,80,43,0,0,3,680,0,1,0,52,8,1,0,2,156,81,137,341,6530,1288,8748,84182,80069,1250,558,2060,138,107,65,1015,2227,3145,285,20321,355913,27951,43885,479,2655,12740,15326,74,7495,789,491,84219,8485,150,20622,130552,57,651359,116362,499445,28066,7223,263,94,9,8399,4440,310,15113,32,527,35,237,2185,96,11999,295,5438,97,754,1216,11164,10721,180,1734,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18615,30,268,11927,763817,31235401,11035511,9569807,1465704,9936662,7438277,500905,1997480,5641,15049,6,42,40.7099990844727,358.670013427734,182723,163782,1027938,1022154,516838,505316,5784,2963,2821,551958,549083,2875,4227715,2232356,8646,519,3237,1411,46,69,892,24,5,10,282,35,0,5,40,3,996561,8377573,816,97,29,98,12,15,77,38,6,28,16,35,39,105,50,3,1,0,1280,10,97,0,0,1,1,0,1,4,9,4,9,0,2,0,0,11,2,0,6,2,0,9,0,0,4,0,1,20,1,1,0,0,0,0,28,5874.97998046875,17940221,947600,1610050,910948,411500,15968500,2496800,3355900,4596180,4569900,10517416,21773992,23221500,13592855,15504947,23388296,13867846,8676085,8210919,11203633,13112524,957700,33647919,492679,137190,13719,10899,457597,124798,21363,1493,385693,70487,93118,34024,3448,15834,27265,112,86,79,81,36,1374,2632,3107,2608,2937,3652,3688,4552,4546,4201,484,0,0,1990,2089,3669500,4176920,5383479,8511336,11399638,NA,NA,1405292,2626131,1994755,7661670,17000100,23945627,24783351,31656594,NA,1985973,3061105,6990626,4652745,5297713,NA,NA,22113630,25649456,NA,5019323,6676878,11178211,8266836,89,21543221,11444,10697,747,0,0,68,2.4300000667572,1.17999994754791,4099451,13395229,22219219,598300,36,2,1,2
14,"PENNSYLVANIA",235,136,537,97,6084,14366,181,508,4098,2561,1809,555,1653,631,3326,29913,9889,2380,511,239,1585,179,32,1992,43106,99806,839,27152,47,3330412,1605,679,675,231,3593,10088,4838,1310,0,20,95,1742,18,36,11,41,32,41,26,13,71,11,15,1,78,4668,59,222,31,30,5,7,176,110,19,8913,121,42,1,55,39,1,6,34,1737,684,588,350,1,55281,40,480,118,20,8,10101,436,7,0,1,7,528,1,2,2,2,0,0,0,0,71,49,35,242,2317,552,1058,12376,10528,634,106,927,114,67,29,182,335,945,183,7949,168426,15546,19648,267,410,3327,10932,10,849,378,139,32858,5256,119,21069,57618,18,366865,80102,236505,20735,29447,76,31,6,1068,1168,93,2794,17,117,10,95,381,33,3790,175,1040,26,236,168,7575,6343,63,582,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18616,87,2159,12857,961074,25919397,8126827,8126131,696,7306692,4504802,855169,1946721,8993,10359,19,17,33.5200004577637,232.350006103516,134399,128897,950300,938275,485079,453196,12025,5933,6092,622351,615686,6665,1932818,980344,5399,209,1630,973,42,56,674,3,4,1,159,16,0,1,16,1,578227,4452834,675,75,13,29,3,9,18,13,13,3,15,23,50,34,36,0,0,0,884,0,87,0,0,0,0,0,1,0,0,1,3,0,1,0,3,3,7,3,1,7,2,5,2,0,9,0,5,8,1,1,1,1,1,0,11,5944.77001953125,11868192,1852646,2502000,893000,3327254,5337223,8717200,700,12804800,8142384,173200,6538200,4264703,7682799,3324300,1976323,2103001,1072782,8681517,738050,13460846,498150,22921308,451417,76860,19326,6486,413928,69432,18163,942,388836,43246,42600,40635,2247,2552,8161,67,208,185,138,59,6545,3564,6412,3859,3339,8351,4099,8582,6097,4454,NA,NA,NA,2774,2086,3758500,4528925,9203040,12550720,10331985,NA,NA,2768340,3496986,2502688,7111174,19872900,37496203,32953318,40311809,NA,3152530,7386213,10724052,6105700,4207192,NA,NA,32494857,34457323,NA,5812126,13650114,17490080,11021054,366,107304782,57952,54637,3297,12,6,66,2.3199999332428,1.12999999523163,25095850,92267030,145576268,3616668,42,2,1,2
