"state","county","name","totpop","mfgestab","steamhp","steamno","waterhp","waterno","mfglabor","mfglbm16","mfglbf16","mfglbch","mfgcap","mfgwages","mfgrms","mfgout","level","fips","statefip","region1","region2"
1,10,"FAIRFIELD",95276,754,4862,129,3809,176,13844,10218,3074,552,12145097,6580593,12552187,23499004,1,9001,9,1,1
1,30,"HARTFORD",109007,1031,6460,183,9611,415,19106,13789,4085,1232,21259828,9316592,17542785,35039324,1,9003,9,1,1
1,50,"LITCHFIELD",48727,609,978,25,6992,317,4846,3800,795,251,5362490,1964975,5613473,9918508,1,9005,9,1,1
1,70,"MIDDLESEX",36099,429,1114,37,3430,147,4503,3356,872,275,4614630,1877636,3937528,7719537,1,9007,9,1,1
1,90,"NEW HAVEN",121257,940,8383,225,7252,253,23306,16927,4918,1461,29445641,11549919,22054303,45156181,1,9009,9,1,1
1,110,"NEW LONDON",66570,703,2965,77,7460,223,10624,7219,2701,704,11279402,3896885,12279363,19797065,1,9011,9,1,1
1,130,"TOLLAND",22000,238,343,15,4634,164,3909,2119,1499,291,3177931,1295846,5643279,8907799,1,9013,9,1,1
1,150,"WINDHAM",38518,424,874,20,11207,293,9385,4256,2866,2263,7996259,2504741,6796661,11028056,1,9015,9,1,1
1,0,"CONNECTICUT",537454,5128,25979,711,54395,1988,89523,61684,20810,7029,95281278,38987187,86419579,161065474,2,9000,9,1,1
2,10,"ANDROSCOGGIN",35866,314,544,19,7082,159,8502,3908,4045,549,8066929,2549723,9247520,14016816,1,23001,23,1,1
2,30,"AROOSTOOK",29609,178,0,0,1616,86,407,382,19,6,247245,57180,383355,607283,1,23003,23,1,1
2,50,"CUMBERLAND",82021,676,2289,84,5451,145,6870,4910,1495,465,6121547,2634692,10905522,16557581,1,23005,23,1,1
2,70,"FRANKLIN",18807,196,64,5,1836,112,643,595,40,8,399337,121316,361056,713317,1,23007,23,1,1
2,90,"HANCOCK",36495,278,160,11,3306,138,1751,1616,126,9,1111676,488739,998860,2069885,1,23009,23,1,1
2,110,"KENNEBEC",53203,470,972,24,5826,231,3932,2947,923,62,3947135,1290924,3867051,7006204,1,23011,23,1,1
2,130,"KNOX",30823,244,38,3,770,52,2340,2149,137,54,1920265,672379,2216084,3532344,1,23013,23,1,1
2,150,"LINCOLN",25597,309,330,32,812,96,1332,1246,62,24,587280,184781,510593,1018705,1,23015,23,1,1
2,170,"OXFORD",33488,325,261,10,3961,209,1493,1125,342,26,850247,252721,1512963,2213719,1,23017,23,1,1
2,190,"PENOBSCOT",75150,850,2758,81,11695,418,5975,5213,722,40,4658390,1802592,6738435,10556944,1,23019,23,1,1
2,210,"PISCATAQUIS",14403,129,76,4,2127,112,539,419,118,2,816325,139688,488486,759295,1,23021,23,1,1
2,230,"SAGADAHOC",18803,107,796,27,822,51,914,844,61,9,718300,305519,910358,1581249,1,23023,23,1,1
2,250,"SOMERSET",34611,348,78,5,8777,250,1722,1302,397,23,1017960,355923,1402586,2459744,1,23025,23,1,1
