ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS,POPPER_NATBANK,POPPER_BANK
AK,1896,48349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL,1896,1695378,NA,NA,NA,6861,138,NA,NA,NA,2318,4405,NA,2570,2101,469,2238,713,12382,6152,231,94,5524,303,658,1025,1,3405,1141,12382,27,15439,3753,NA,NA,NA,7375,2580,2105,475,4573,1280,23872,11545,358,94,9716,1377,1001,1025,30,7938,2333,23872,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,147,NA,NA,NA,NA,NA,62791.77778,16621.35294
AR,1896,1234894,NA,NA,NA,2539,65,NA,NA,NA,656,1818,NA,431,329,102,838,185,3993,2152,116,0,1926,110,21,254,0,1220,346,3993,9,9260,818,NA,NA,NA,6845,1136,917,219,3520,680,14596,7670,159,0,6936,575,21,254,422,4404,1825,14596,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,93,NA,NA,NA,NA,NA,137210.4444,11989.26214
AZ,1896,107664,NA,NA,NA,659,25,NA,NA,NA,210,424,NA,300,222,78,485,26,1470,866,18,1,839,8,40,81,0,400,83,1470,5,1289,208,NA,NA,NA,763,410,282,128,717,96,2512,1584,33,1,1499,51,40,81,12,637,158,2512,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,84,NA,NA,NA,NA,NA,21532.8,8972
CA,1896,1369766,NA,NA,NA,18196,326,NA,NA,NA,6770,11100,NA,3647,2858,789,7216,2009,31068,18747,1915,246,15704,882,30,1424,0,7525,3342,31068,31,205899,123377,NA,NA,NA,52342,34113,19771,14342,39615,24308,303935,212210,8720,246,62224,141020,300,1424,4734,58243,27024,303935,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670,NA,NA,NA,NA,NA,NA,NA,NA,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,627,NA,NA,NA,NA,NA,44186,4874.6121
CO,1896,485038,NA,NA,NA,19183,842,NA,NA,NA,7176,11165,NA,3953,2115,1838,14995,1393,39524,30455,4401,430,24022,1602,90,1103,1,5487,2388,39524,42,23799,1547,NA,NA,NA,14413,4663,2241,2422,18167,2710,49339,36799,4461,430,27939,3969,90,1103,80,8372,2895,49339,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2216,NA,NA,NA,NA,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,356,NA,NA,NA,NA,NA,11548.52381,4217.721739
CT,1896,839707,NA,NA,NA,44827,122,NA,NA,NA,10950,33755,NA,17254,10343,6911,15811,2665,80557,39845,5171,220,34378,76,139,7951,14,22391,10217,80557,82,127765,61281,NA,NA,NA,41891,99736,53153,46583,22863,7144,257508,200823,5698,220,43474,151431,642,7951,249,25876,21967,257508,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3307,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,1624,NA,NA,NA,NA,NA,10240.32927,4156.965347
DC,1896,258277,NA,NA,NA,8681,88,NA,NA,NA,3558,5035,NA,3333,1685,1648,6884,1197,20095,13978,507,56,13387,28,40,893,0,3327,1857,20095,14,15297,3779,NA,NA,NA,5242,3812,2042,1770,8164,3119,30392,19263,507,56,18425,275,40,893,1138,6660,2398,30392,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18448.35714,13593.52632
DE,1896,178058,NA,NA,NA,5287,57,NA,NA,NA,1159,4071,NA,1496,963,533,1610,468,8861,4776,339,50,4286,101,0,703,0,2134,1248,8861,18,11373,3426,NA,NA,NA,6230,4045,1374,2671,2267,1294,18979,11696,402,50,7039,4205,0,703,119,3814,2647,18979,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,180,NA,NA,NA,NA,NA,9892.111111,7741.652174
FL,1896,468712,NA,NA,NA,3875,53,NA,NA,NA,1082,2740,NA,1258,887,371,1597,385,7115,4689,315,76,3801,497,132,354,0,1350,590,7115,17,5502,416,NA,NA,NA,3477,1466,887,579,2251,703,9922,6534,358,76,5422,678,182,354,12,2101,739,9922,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,106,NA,NA,NA,NA,NA,27571.29412,11432
