ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS
AK,1896,48349,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1
AL,1896,1695378,-3,-1,-1,6861,138,-3,-3,-3,2318,4405,-3,2570,2101,469,2238,713,12382,6152,231,94,5524,303,658,1025,1,3405,1141,12382,27,15439,3753,-3,-3,-3,7375,2580,2105,475,4573,1280,23872,11545,358,94,9716,1377,1001,1025,30,7938,2333,23872,102,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,831,-3,-3,-3,-3,-3,-3,-3,-3,348,-3,-3,-3,-3,-3,-3,-3,-3,-3,252,147,-1,-1,-1,-1,-1
AR,1896,1234894,-3,-1,-1,2539,65,-3,-3,-3,656,1818,-3,431,329,102,838,185,3993,2152,116,0,1926,110,21,254,0,1220,346,3993,9,9260,818,-3,-3,-3,6845,1136,917,219,3520,680,14596,7670,159,0,6936,575,21,254,422,4404,1825,14596,103,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,259,-3,-3,-3,-3,-3,-3,-3,-3,105,-3,-3,-3,-3,-3,-3,-3,-3,-3,36,93,-1,-1,-1,-1,-1
AZ,1896,107664,-3,-1,-1,659,25,-3,-3,-3,210,424,-3,300,222,78,485,26,1470,866,18,1,839,8,40,81,0,400,83,1470,5,1289,208,-3,-3,-3,763,410,282,128,717,96,2512,1584,33,1,1499,51,40,81,12,637,158,2512,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,105,-3,-3,-3,-3,-3,-3,-3,-3,53,-3,-3,-3,-3,-3,-3,-3,-3,-3,15,84,-1,-1,-1,-1,-1
CA,1896,1369766,-3,-1,-1,18196,326,-3,-3,-3,6770,11100,-3,3647,2858,789,7216,2009,31068,18747,1915,246,15704,882,30,1424,0,7525,3342,31068,31,205899,123377,-3,-3,-3,52342,34113,19771,14342,39615,24308,303935,212210,8720,246,62224,141020,300,1424,4734,58243,27024,303935,281,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1670,-3,-3,-3,-3,-3,-3,-3,-3,604,-3,-3,-3,-3,-3,-3,-3,-3,-3,325,627,-1,-1,-1,-1,-1
CO,1896,485038,-3,-1,-1,19183,842,-3,-3,-3,7176,11165,-3,3953,2115,1838,14995,1393,39524,30455,4401,430,24022,1602,90,1103,1,5487,2388,39524,42,23799,1547,-3,-3,-3,14413,4663,2241,2422,18167,2710,49339,36799,4461,430,27939,3969,90,1103,80,8372,2895,49339,115,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2216,-3,-3,-3,-3,-3,-3,-3,-3,1018,-3,-3,-3,-3,-3,-3,-3,-3,-3,1048,356,-1,-1,-1,-1,-1
CT,1896,839707,-3,-1,-1,44827,122,-3,-3,-3,10950,33755,-3,17254,10343,6911,15811,2665,80557,39845,5171,220,34378,76,139,7951,14,22391,10217,80557,82,127765,61281,-3,-3,-3,41891,99736,53153,46583,22863,7144,257508,200823,5698,220,43474,151431,642,7951,249,25876,21967,257508,202,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3307,-3,-3,-3,-3,-3,-3,-3,-3,998,-3,-3,-3,-3,-3,-3,-3,-3,-3,625,1624,-1,-1,-1,-1,-1
DC,1896,258277,-3,-1,-1,8681,88,-3,-3,-3,3558,5035,-3,3333,1685,1648,6884,1197,20095,13978,507,56,13387,28,40,893,0,3327,1857,20095,14,15297,3779,-3,-3,-3,5242,3812,2042,1770,8164,3119,30392,19263,507,56,18425,275,40,893,1138,6660,2398,30392,19,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1
DE,1896,178058,-3,-1,-1,5287,57,-3,-3,-3,1159,4071,-3,1496,963,533,1610,468,8861,4776,339,50,4286,101,0,703,0,2134,1248,8861,18,11373,3426,-3,-3,-3,6230,4045,1374,2671,2267,1294,18979,11696,402,50,7039,4205,0,703,119,3814,2647,18979,23,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,376,-3,-3,-3,-3,-3,-3,-3,-3,133,-3,-3,-3,-3,-3,-3,-3,-3,-3,42,180,-1,-1,-1,-1,-1
FL,1896,468712,-3,-1,-1,3875,53,-3,-3,-3,1082,2740,-3,1258,887,371,1597,385,7115,4689,315,76,3801,497,132,354,0,1350,590,7115,17,5502,416,-3,-3,-3,3477,1466,887,579,2251,703,9922,6534,358,76,5422,678,182,354,12,2101,739,9922,41,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,459,-3,-3,-3,-3,-3,-3,-3,-3,259,-3,-3,-3,-3,-3,-3,-3,-3,-3,46,106,-1,-1,-1,-1,-1
