"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"AL",1896,1695378,NA,NA,NA,6861,138,NA,NA,NA,2318,4405,NA,2570,2101,469,2238,713,12382,6152,231,94,5524,303,658,1025,1,3405,1141,12382,27,15439,3753,NA,NA,NA,7375,2580,2105,475,4573,1280,23872,11545,358,94,9716,1377,1001,1025,30,7938,2333,23872,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,147,NA,NA,NA,NA,NA,62791.7777777778,16621.3529411765
"AL",1897,1727768,NA,NA,NA,6553,120,NA,NA,NA,2029,4404,NA,2642,2138,504,2400,696,12291,6115,306,94,5393,322,638,1044,0,3355,1139,12291,26,15394,1394,NA,NA,NA,10691,2887,2221,666,4086,2143,24510,11540,412,94,9595,1439,1743,1044,92,7539,2552,24510,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,182,NA,NA,NA,NA,NA,66452.6153846154,17997.5833333333
"AL",1898,1760776,NA,NA,NA,6484,116,NA,NA,NA,1959,4409,NA,2493,1918,575,3508,625,13110,7608,405,100,6734,369,357,772,1,3205,1167,13110,26,15245,1236,NA,NA,NA,9323,3152,2141,1011,8481,1013,27891,16204,563,100,13341,2200,923,772,48,7724,2220,27891,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,168,NA,NA,NA,NA,NA,67722.1538461538,17607.76
"AL",1899,1794415,NA,NA,NA,6773,124,NA,NA,NA,2098,4551,NA,3409,2663,746,4736,625,15543,10020,516,195,8921,388,118,1078,3,3105,1219,15543,26,16356,1306,NA,NA,NA,10449,5064,3224,1840,10180,1331,32931,21931,2266,195,16816,2654,283,1078,17,7404,2218,32931,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918,NA,NA,NA,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,356,NA,NA,NA,NA,NA,69015.9615384615,17766.4851485149
"AL",1900,1828697,NA,NA,NA,9191,161,NA,NA,NA,2716,6314,NA,4171,3363,808,5054,694,19110,12213,881,251,10644,437,216,1626,82,3480,1493,19110,28,20391,1128,NA,NA,NA,14116,6059,4003,2056,12428,1840,40718,26522,1278,251,21370,3623,1526,1626,191,8169,2684,40718,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,988,NA,NA,NA,NA,NA,NA,NA,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,270,NA,NA,NA,NA,NA,65310.6071428571,17090.6261682243
"AL",1901,1857506,NA,NA,NA,11585,210,NA,NA,NA,3544,7831,NA,4231,3470,761,5802,708,22326,14170,956,251,12375,588,873,1953,81,3590,1659,22326,33,23030,4420,NA,NA,NA,11677,4839,3676,1163,9624,1812,39305,24561,1394,251,19979,2937,1731,1953,153,7850,3057,39305,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,NA,NA,NA,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,250,NA,NA,NA,NA,NA,56288.0606060606,15876.1196581197
"AL",1902,1886769,NA,NA,NA,13293,254,NA,NA,NA,4279,8760,NA,4218,3516,702,6750,750,25011,16472,1011,451,14322,688,532,1928,80,4000,1999,25011,41,28564,3421,NA,NA,NA,18407,5582,3978,1604,12358,1947,48451,32239,1670,451,25774,4344,1158,1928,132,8499,4495,48451,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253,NA,NA,NA,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,287,NA,NA,NA,NA,NA,46018.756097561,13873.3014705882
"AL",1903,1916493,NA,NA,NA,14615,255,NA,NA,NA,4305,10055,NA,4972,4235,737,8464,799,28850,19131,1163,498,16688,782,534,2479,79,4250,2377,28850,41,32609,3967,NA,NA,NA,19269,5725,4491,1234,13551,1922,53807,34185,1825,498,27511,4351,1451,2479,155,10999,4538,53807,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,NA,NA,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,440,NA,NA,NA,NA,NA,46743.7317073171,12526.0980392157
"AL",1904,1946685,NA,NA,NA,18378,337,NA,NA,NA,5673,12368,NA,5808,5069,739,9538,1052,34776,22135,1491,401,19361,882,1002,3366,76,5555,2642,34776,52,38370,2683,NA,NA,NA,25168,6944,5454,1490,16890,2717,64921,41624,2228,401,33331,5664,1881,3366,149,12950,4951,64921,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,639,NA,NA,NA,NA,NA,37436.25,11123.9142857143
"AL",1905,1977353,NA,NA,NA,20311,373,NA,NA,NA,6289,13649,NA,5905,5308,597,10080,1043,37339,23583,1669,265,20557,1092,806,3920,76,5893,3061,37339,65,43625,2849,NA,NA,NA,29032,7212,5751,1461,18952,2602,72391,46551,2762,265,36723,6801,2332,3920,203,12945,6440,72391,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880,NA,NA,NA,NA,NA,NA,NA,NA,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,486,NA,NA,NA,NA,NA,30420.8153846154,9692.9068627451
