"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"AR",1896,1234894,NA,NA,NA,2539,65,NA,NA,NA,656,1818,NA,431,329,102,838,185,3993,2152,116,0,1926,110,21,254,0,1220,346,3993,9,9260,818,NA,NA,NA,6845,1136,917,219,3520,680,14596,7670,159,0,6936,575,21,254,422,4404,1825,14596,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,93,NA,NA,NA,NA,NA,137210.444444444,11989.2621359223
"AR",1897,1253631,NA,NA,NA,2251,63,NA,NA,NA,635,1553,NA,464,373,91,869,201,3785,1953,96,43,1697,117,52,259,0,1220,301,3785,9,8712,787,NA,NA,NA,6385,952,481,471,4141,879,14684,8299,357,43,7283,616,52,259,177,4120,1777,14684,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,87,NA,NA,NA,NA,NA,139292.333333333,11396.6454545455
"AR",1898,1272652,NA,NA,NA,2286,48,NA,NA,NA,482,1756,NA,485,358,127,1336,213,4320,2696,157,51,2355,133,10,222,0,1070,322,4320,7,8489,743,NA,NA,NA,6396,1169,582,587,5570,806,16034,10098,461,51,8807,779,10,222,138,4074,1492,16034,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,88,NA,NA,NA,NA,NA,181807.428571429,12006.1509433962
"AR",1899,1291961,NA,NA,NA,2425,50,NA,NA,NA,510,1865,NA,455,346,109,1684,213,4777,3126,274,51,2661,140,0,225,0,1070,356,4777,7,10404,944,NA,NA,NA,7833,915,633,282,7233,896,19448,13244,811,51,11341,1041,0,225,216,4031,1732,19448,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,92,NA,NA,NA,NA,NA,184565.857142857,11852.8532110092
"AR",1900,1311564,NA,NA,NA,2766,58,NA,NA,NA,584,2124,NA,502,386,116,1885,213,5366,3586,262,90,3076,158,12,234,0,1070,464,5366,7,12407,1138,NA,NA,NA,9335,1031,591,440,7374,889,21701,15233,803,90,13060,1280,12,234,31,4133,2058,21701,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,97,NA,NA,NA,NA,NA,187366.285714286,10492.512
"AR",1901,1335745,NA,NA,NA,3845,78,NA,NA,NA,787,2980,NA,566,483,83,1717,198,6326,4361,375,95,3678,213,23,321,0,1107,514,6326,9,16201,1462,NA,NA,NA,12222,1097,772,325,8165,984,26447,18685,929,95,16043,1618,23,321,399,4605,2414,26447,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,99,NA,NA,NA,NA,NA,148416.111111111,8964.73154362416
"AR",1902,1360371,NA,NA,NA,4576,98,NA,NA,NA,991,3487,NA,556,481,75,1965,233,7330,5188,352,101,4486,249,43,335,0,1120,644,7330,9,19830,1806,NA,NA,NA,14897,1367,901,466,9492,1210,31899,23118,960,101,19383,2674,43,335,83,5417,2903,31899,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,101,NA,NA,NA,NA,NA,151152.333333333,7909.13372093023
"AR",1903,1385451,NA,NA,NA,4743,111,NA,NA,NA,1127,3505,NA,610,523,87,3402,270,9025,6663,498,101,5781,283,0,364,2,1238,758,9025,12,23333,2193,NA,NA,NA,17410,1905,911,994,12283,1400,38921,28475,2136,101,23050,3188,0,364,122,6801,3159,38921,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,104,NA,NA,NA,NA,NA,115454.25,6212.78475336323
"AR",1904,1410994,NA,NA,NA,8331,205,NA,NA,NA,2069,6057,NA,905,768,137,4284,280,13800,9850,806,81,8644,319,98,525,0,2245,1082,13800,19,28937,2513,NA,NA,NA,21470,1846,1078,768,12457,1662,44902,32233,1266,81,27344,3542,98,525,413,8726,2907,44902,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,180,NA,NA,NA,NA,NA,74262.8421052632,3908.57063711911
"AR",1905,1437008,NA,NA,NA,9867,228,NA,NA,NA,2308,7331,NA,1144,1018,126,4549,336,15896,11132,1420,80,9237,395,85,817,0,2595,1267,15896,26,34901,3032,NA,NA,NA,26056,2411,1638,773,13488,2435,53235,38140,3139,80,30480,4441,85,817,488,10121,3584,53235,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,242,NA,NA,NA,NA,NA,55269.5384615385,4822.1744966443
