"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"AZ",1896,107664,NA,NA,NA,659,25,NA,NA,NA,210,424,NA,300,222,78,485,26,1470,866,18,1,839,8,40,81,0,400,83,1470,5,1289,208,NA,NA,NA,763,410,282,128,717,96,2512,1584,33,1,1499,51,40,81,12,637,158,2512,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,84,NA,NA,NA,NA,NA,21532.8,8972
"AZ",1897,111293,NA,NA,NA,808,33,NA,NA,NA,272,503,NA,311,243,68,713,29,1861,1224,42,0,1174,8,0,150,0,400,87,1861,5,1436,216,NA,NA,NA,839,403,303,100,1247,127,3213,2287,54,0,2147,86,0,150,0,638,138,3213,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,41,NA,NA,NA,NA,NA,22258.6,9274.41666666667
"AZ",1898,115044,NA,NA,NA,1017,31,NA,NA,NA,258,728,NA,294,235,59,933,27,2271,1625,51,0,1565,9,0,143,0,400,103,2271,5,1802,77,NA,NA,NA,1305,428,310,118,1533,87,3850,2922,69,0,2733,120,0,143,0,622,163,3850,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,42,NA,NA,NA,NA,NA,23008.8,9587
"AZ",1899,118922,NA,NA,NA,1274,40,NA,NA,NA,328,906,NA,321,245,76,1239,46,2880,2195,42,0,2143,10,0,140,0,400,145,2880,5,2195,256,NA,NA,NA,1399,443,320,123,1779,135,4552,3581,60,0,3374,147,0,140,0,630,201,4552,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,41,NA,NA,NA,NA,NA,23784.4,9147.84615384615
"AZ",1900,122931,NA,NA,NA,1557,55,NA,NA,NA,454,1048,NA,362,280,82,1148,52,3119,2346,72,0,2263,11,0,188,0,400,185,3119,5,2944,391,NA,NA,NA,1108,498,330,168,2254,185,5881,4668,97,0,4300,271,0,188,0,773,252,5881,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,48,NA,NA,NA,NA,NA,24586.2,5853.85714285714
"AZ",1901,129340,NA,NA,NA,1697,66,NA,NA,NA,547,1084,NA,399,304,95,1554,109,3759,2934,142,0,2777,15,0,184,0,455,186,3759,7,3631,469,NA,NA,NA,2174,629,354,275,3100,318,7678,6205,180,0,5603,422,0,184,25,925,339,7678,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,62,NA,NA,NA,NA,NA,18477.1428571429,5623.47826086957
"AZ",1902,136084,NA,NA,NA,1705,54,NA,NA,NA,442,1209,NA,442,324,118,1632,171,3950,3091,131,0,2942,18,0,200,0,455,204,3950,7,4163,597,NA,NA,NA,2424,951,374,577,3083,395,8592,7005,188,0,6263,554,0,200,28,955,404,8592,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,66,NA,NA,NA,NA,NA,19440.5714285714,5916.69565217391
"AZ",1903,143179,NA,NA,NA,2283,91,NA,NA,NA,747,1445,NA,558,427,131,1851,191,4883,3720,98,0,3602,20,10,293,1,602,257,4883,11,5373,774,NA,NA,NA,2972,1262,477,785,4005,393,11033,8557,98,0,7704,755,10,293,6,1591,576,11033,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,63,NA,NA,NA,NA,NA,13016.2727272727,4090.82857142857
"AZ",1904,150643,NA,NA,NA,2369,82,NA,NA,NA,678,1609,NA,823,674,149,2014,192,5398,4062,69,90,3880,23,0,392,7,605,332,5398,11,5917,866,NA,NA,NA,3362,1408,724,684,4137,622,12084,9541,175,90,8366,910,0,392,14,1458,679,12084,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,74,NA,NA,NA,NA,NA,13694.8181818182,4071.43243243243
"AZ",1905,158497,NA,NA,NA,2858,113,NA,NA,NA,933,1812,NA,966,766,200,2326,217,6367,4778,128,100,4522,28,5,454,23,705,402,6367,13,6459,909,NA,NA,NA,3591,1639,840,799,4953,597,13648,10785,248,100,9355,1082,5,454,31,1525,848,13648,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,97,NA,NA,NA,NA,NA,12192.0769230769,4661.67647058824
