"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"CO",1896,485038,NA,NA,NA,19183,842,NA,NA,NA,7176,11165,NA,3953,2115,1838,14995,1393,39524,30455,4401,430,24022,1602,90,1103,1,5487,2388,39524,42,23799,1547,NA,NA,NA,14413,4663,2241,2422,18167,2710,49339,36799,4461,430,27939,3969,90,1103,80,8372,2895,49339,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2216,NA,NA,NA,NA,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,356,NA,NA,NA,NA,NA,11548.5238095238,4217.72173913043
"CO",1897,498162,NA,NA,NA,18297,876,NA,NA,NA,7467,9954,NA,4768,2250,2518,16294,1411,40770,32137,5615,475,24344,1703,127,1132,109,5232,2033,40770,41,23813,1698,NA,NA,NA,13894,5595,2384,3211,20480,2312,52200,39911,5675,475,29093,4668,127,1132,160,8203,2667,52200,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2114,NA,NA,NA,NA,NA,NA,NA,NA,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049,449,NA,NA,NA,NA,NA,12150.2926829268,4331.84347826087
"CO",1898,511640,NA,NA,NA,19650,759,NA,NA,NA,6472,12419,NA,6628,2700,3928,18945,1200,46423,38467,7279,673,28568,1947,20,1085,235,4707,1909,46423,37,25739,1674,NA,NA,NA,16749,7767,2862,4905,23229,2149,58884,47169,7336,673,34017,5143,20,1085,761,7400,2449,58884,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2090,NA,NA,NA,NA,NA,NA,NA,NA,887,NA,NA,NA,NA,NA,NA,NA,NA,NA,844,425,NA,NA,NA,NA,NA,13828.1081081081,4126.12903225806
"CO",1899,525483,NA,NA,NA,20730,836,NA,NA,NA,7124,12770,NA,8728,3940,4788,27933,984,58375,50692,9582,1154,37909,2047,0,1668,0,4147,1868,58375,36,27045,1842,NA,NA,NA,17058,9656,4146,5510,33180,1905,71786,61168,9646,1154,44512,5856,0,1668,12,6571,2367,71786,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2282,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,486,NA,NA,NA,NA,NA,14596.75,4530.02586206897
"CO",1900,539700,NA,NA,NA,27276,1429,NA,NA,NA,12182,13665,NA,10918,5104,5814,30365,1059,69618,60704,11025,1096,46277,2306,38,2564,5,4247,2060,69618,37,34598,2584,NA,NA,NA,18603,11816,5301,6515,35415,1841,83670,71890,11125,1096,53072,6597,38,2564,5,6550,2623,83670,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2341,NA,NA,NA,NA,NA,NA,NA,NA,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,739,310,NA,NA,NA,NA,NA,14586.4864864865,4573.72881355932
"CO",1901,561298,NA,NA,NA,30530,1721,NA,NA,NA,14674,14135,NA,13511,6151,7360,29899,1245,75185,65004,12165,1167,48568,3104,20,3523,1,4427,2210,75185,41,39078,3140,NA,NA,NA,19637,14908,6353,8555,35088,2172,91246,77916,12221,1167,56629,7899,20,3523,11,6871,2905,91246,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2685,NA,NA,NA,NA,NA,NA,NA,NA,1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,490,NA,NA,NA,NA,NA,13690.1951219512,4351.14728682171
"CO",1902,583759,NA,NA,NA,31362,1538,NA,NA,NA,13108,16716,NA,17402,6560,10842,33716,1250,83730,72118,14734,1355,52396,3633,9,3369,16,5195,3023,83730,48,41391,3271,NA,NA,NA,22893,18858,6813,12045,40453,2347,103049,87944,14806,1355,62299,9484,44,3369,16,7818,3858,103049,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4957,NA,NA,NA,NA,NA,NA,NA,NA,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211,1630,NA,NA,NA,NA,NA,12161.6458333333,4169.70714285714
"CO",1903,607120,NA,NA,NA,32062,1464,NA,NA,NA,12483,18115,NA,19852,7642,12210,30278,1213,83405,70190,11905,1499,52659,4127,80,3953,18,5638,3526,83405,55,42794,3410,NA,NA,NA,24390,21706,7926,13780,36625,2472,103597,86612,11974,1499,63029,10110,80,3953,49,8436,4467,103597,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4082,NA,NA,NA,NA,NA,NA,NA,NA,1498,NA,NA,NA,NA,NA,NA,NA,NA,NA,1451,745,NA,NA,NA,NA,NA,11038.5454545455,3994.21052631579
"CO",1904,631416,NA,NA,NA,30007,1446,NA,NA,NA,12327,16234,NA,22356,8256,14100,29823,1150,83336,69286,12913,1530,50185,4658,68,4280,9,5850,3843,83336,59,43474,3981,NA,NA,NA,23707,25532,8689,16843,38855,2395,110256,90829,12996,1530,63247,13056,68,4280,129,9519,5431,110256,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3157,NA,NA,NA,NA,NA,NA,NA,NA,1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,877,652,NA,NA,NA,NA,NA,10701.9661016949,3946.35
"CO",1905,656684,NA,NA,NA,31941,1523,NA,NA,NA,12978,17440,NA,25804,9445,16359,39573,1187,98505,82321,18735,1405,56417,5764,40,5047,3,6674,4420,98505,68,46409,4371,NA,NA,NA,25010,29766,10002,19764,50792,2563,129530,107601,18879,1405,71686,15631,40,5047,176,10481,6185,129530,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3441,NA,NA,NA,NA,NA,NA,NA,NA,1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,742,NA,NA,NA,NA,NA,9657.11764705882,3731.15909090909
