"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"CT",1896,839707,NA,NA,NA,44827,122,NA,NA,NA,10950,33755,NA,17254,10343,6911,15811,2665,80557,39845,5171,220,34378,76,139,7951,14,22391,10217,80557,82,127765,61281,NA,NA,NA,41891,99736,53153,46583,22863,7144,257508,200823,5698,220,"43474",151431,642,7951,249,25876,21967,257508,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3307,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,1624,NA,NA,NA,NA,NA,10240.3292682927,4156.96534653465
"CT",1897,856382,NA,NA,NA,44398,109,NA,NA,NA,9836,34453,NA,17833,10366,7467,15374,2819,80424,39874,4618,237,34938,81,44,8060,13,22141,10292,80424,82,128441,63801,NA,NA,NA,42095,105899,54926,50973,24398,7284,266022,209091,5313,237,"45444",158097,560,8060,241,25626,22444,266022,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3213,NA,NA,NA,NA,NA,NA,NA,NA,1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,1554,NA,NA,NA,NA,NA,10443.6829268293,4239.51485148515
"CT",1898,873388,NA,NA,NA,45211,118,NA,NA,NA,10597,34496,NA,17283,9560,7723,18398,3089,83981,44938,5478,326,39041,93,197,7336,14,21281,10215,83981,80,131190,66298,NA,NA,NA,41946,110369,55177,55192,28952,7941,278452,222501,6184,326,"50127",165864,860,7336,311,24766,22678,278452,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3307,NA,NA,NA,NA,NA,NA,NA,NA,1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,667,1485,NA,NA,NA,NA,NA,10917.35,4323.70297029703
"CT",1899,890732,NA,NA,NA,47992,127,NA,NA,NA,11439,36426,NA,21574,11272,10302,18852,2914,91332,52128,5604,1318,45109,97,62,8022,13,20831,10276,91332,79,136235,67863,NA,NA,NA,44251,125168,58815,66353,29428,8142,298973,242722,6017,1318,"58512",176875,807,8022,390,24367,22665,298973,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3383,NA,NA,NA,NA,NA,NA,NA,NA,1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,787,1485,NA,NA,NA,NA,NA,11275.0886075949,4431.50248756219
"CT",1900,908420,NA,NA,NA,47336,131,NA,NA,NA,11750,35455,NA,21951,11865,10086,16655,2932,88874,46872,4302,1261,41199,110,158,9615,29,20695,11505,88874,83,138209,69276,NA,NA,NA,44193,132743,57513,75230,27348,8749,307049,247427,4556,1261,"55008",186602,743,9615,299,24710,24255,307049,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4281,NA,NA,NA,NA,NA,NA,NA,NA,1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194,1457,NA,NA,NA,NA,NA,10944.8192771084,4431.31707317073
"CT",1901,927206,NA,NA,NA,50802,145,NA,NA,NA,13013,37644,NA,23619,12584,11035,17259,2944,94624,52269,5453,1203,45465,148,95,10533,49,20357,11321,94624,83,145797,71150,NA,NA,NA,47402,142399,57131,85268,28595,9838,326629,265705,5762,1203,"61960",196780,686,10533,383,24536,24786,326629,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3681,NA,NA,NA,NA,NA,NA,NA,NA,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,1446,NA,NA,NA,NA,NA,11171.156626506,4479.25603864734
"CT",1902,946379,NA,NA,NA,51205,155,NA,NA,NA,13978,37072,NA,24014,12230,11784,16986,2899,95104,52832,5916,1660,45083,173,205,9865,51,20357,11794,95104,83,148506,72069,NA,NA,NA,47105,150380,55691,94689,28216,10515,337617,276332,6177,1660,"61291",207204,844,9865,295,24588,25693,337617,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3646,NA,NA,NA,NA,NA,NA,NA,NA,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,1324,NA,NA,NA,NA,NA,11402.156626506,4549.89903846154
"CT",1903,965950,NA,NA,NA,49988,158,NA,NA,NA,14239,35591,NA,24222,12120,12102,14741,2922,91873,48636,5501,1648,41291,196,494,10097,79,20082,12485,91873,81,150973,73543,NA,NA,NA,45100,158739,55863,102876,25246,10896,345854,281465,5966,1648,"57634",216217,1291,10097,990,24611,27400,345854,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3741,NA,NA,NA,NA,NA,NA,NA,NA,1399,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,1288,NA,NA,NA,NA,NA,11925.3086419753,4621.77033492823
"CT",1904,985925,NA,NA,NA,49701,151,NA,NA,NA,13566,35984,NA,24465,12000,12465,17313,3257,94736,51153,5946,1131,43854,222,496,10268,107,19950,12762,94736,80,152720,74929,NA,NA,NA,46221,166538,57202,109336,30044,11108,360410,294952,6271,1131,"62199",225351,1499,10268,916,24505,28270,360410,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3678,NA,NA,NA,NA,NA,NA,NA,NA,1436,NA,NA,NA,NA,NA,NA,NA,NA,NA,546,1308,NA,NA,NA,NA,NA,12324.0625,4694.88095238095
"CT",1905,1006313,NA,NA,NA,52757,153,NA,NA,NA,13722,38882,NA,27227,12378,14849,17258,3109,100351,55864,5482,708,49400,274,310,10780,101,20148,13148,100351,80,159569,77672,NA,NA,NA,49669,182331,60444,121887,29929,11122,382951,315322,5972,708,"70941",237701,1366,10780,1248,24813,29422,382951,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650,NA,NA,NA,NA,NA,NA,NA,NA,1454,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,1285,NA,NA,NA,NA,NA,12578.9125,4814.8947368421
