"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"DC",1896,258277,NA,NA,NA,8681,88,NA,NA,NA,3558,5035,NA,3333,1685,1648,6884,1197,20095,13978,507,56,13387,28,40,893,0,3327,1857,20095,14,15297,3779,NA,NA,NA,5242,3812,2042,1770,8164,3119,30392,19263,507,56,18425,275,40,893,1138,6660,2398,30392,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18448.3571428571,13593.5263157895
"DC",1897,263242,NA,NA,NA,9737,102,NA,NA,NA,4163,5472,NA,3303,1988,1315,7190,1202,21432,15212,605,77,14500,30,15,947,0,3327,1931,21432,14,16485,3867,NA,NA,NA,5686,3705,2060,1645,9525,3354,33069,21857,605,77,20842,333,15,947,1093,6659,2498,33069,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18803,13854.8421052632
"DC",1898,268303,NA,NA,NA,10438,127,NA,NA,NA,5176,5135,NA,3023,1780,1243,7359,1197,22017,16290,873,205,15178,34,0,981,0,3027,1719,22017,12,17720,4155,NA,NA,NA,5362,3428,1987,1441,10291,3693,35132,24702,879,205,22982,636,0,981,727,6410,2312,35132,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22358.5833333333,14905.7222222222
"DC",1899,273461,NA,NA,NA,11102,147,NA,NA,NA,5970,4985,NA,3306,2116,1190,11682,1225,27315,21266,788,497,19945,36,0,1028,0,3027,1994,27315,12,20450,5351,NA,NA,NA,5352,3978,2448,1530,16676,3787,44891,34174,794,497,32155,728,0,1028,533,6454,2702,44891,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22788.4166666667,14392.6842105263
"DC",1900,278718,NA,NA,NA,12490,164,NA,NA,NA,6656,5670,NA,3495,2179,1316,8887,1308,26180,19537,933,453,18111,40,0,1301,0,3027,2315,26180,12,23128,6111,NA,NA,NA,6157,4403,2489,1914,11918,3911,43360,31151,939,453,29062,697,0,1301,335,7397,3176,43360,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23226.5,13935.9
"DC",1901,283557,NA,NA,NA,13342,178,NA,NA,NA,7253,5911,NA,3775,2135,1640,9036,1498,27651,20874,1130,428,19262,54,0,1335,0,3027,2415,27651,12,25266,6806,NA,NA,NA,6316,4876,2405,2471,12955,4339,47436,34787,1146,428,32046,1167,0,1335,237,7698,3379,47436,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23629.75,14177.85
"DC",1902,288480,NA,NA,NA,14331,205,NA,NA,NA,8322,5804,NA,3819,2148,1671,10498,1491,30139,23135,1448,455,21169,63,0,1350,0,3027,2627,30139,12,27809,7791,NA,NA,NA,6253,5146,2256,2890,15329,4283,52567,39603,1515,455,36267,1366,0,1350,156,7677,3781,52567,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24040,15183.1578947368
"DC",1903,293488,NA,NA,NA,16793,235,NA,NA,NA,9555,7003,NA,6078,4334,1744,9342,2499,34712,25300,1366,3457,20405,72,0,1375,1061,3677,3299,34712,12,32628,9133,NA,NA,NA,7505,7726,4454,3272,13992,5386,59732,42811,1425,3457,36311,1618,0,1375,1550,8377,5619,59732,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24457.3333333333,15446.7368421053
"DC",1904,298584,NA,NA,NA,16272,210,NA,NA,NA,8528,7534,NA,7235,4392,2843,9590,2469,35566,25041,1614,2550,20796,81,0,2316,900,3777,3532,35566,12,33906,10192,NA,NA,NA,8149,9160,4512,4648,14514,5437,63017,43548,1637,2550,37399,1962,0,2316,921,10227,6005,63017,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24882,15714.9473684211
"DC",1905,303768,NA,NA,NA,18372,250,NA,NA,NA,10185,7937,NA,9107,3392,5715,10390,3711,41580,28833,1827,4485,22421,100,140,2960,1370,4527,3750,41580,12,38017,11226,NA,NA,NA,9016,12646,3627,9019,16039,6701,73403,51260,2318,4485,41673,2784,140,2960,1448,11177,6418,73403,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25314,13807.6363636364
