"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"DE",1896,178058,NA,NA,NA,5287,57,NA,NA,NA,1159,4071,NA,1496,963,533,1610,468,8861,4776,339,50,4286,101,0,703,0,2134,1248,8861,18,11373,3426,NA,NA,NA,6230,4045,1374,2671,2267,1294,18979,11696,402,50,7039,4205,0,703,119,3814,2647,18979,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,180,NA,NA,NA,NA,NA,9892.11111111111,7741.65217391304
"DE",1897,179705,NA,NA,NA,5446,53,NA,NA,NA,1074,4319,NA,1522,964,558,2027,472,9467,5473,339,52,4974,108,23,699,1,2084,1187,9467,18,11709,3555,NA,NA,NA,6500,4227,1427,2800,2861,1463,20260,12933,410,52,8073,4398,23,699,145,3764,2696,20260,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,172,NA,NA,NA,NA,NA,9983.61111111111,7813.26086956522
"DE",1898,181366,NA,NA,NA,5557,61,NA,NA,NA,1234,4262,NA,1637,961,676,2238,508,9940,5923,372,51,5377,123,5,708,1,2084,1219,9940,18,11684,3847,NA,NA,NA,5985,5164,1537,3627,3031,1591,21470,14097,518,51,8853,4675,5,708,143,3664,2853,21470,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,170,NA,NA,NA,NA,NA,10075.8888888889,7885.47826086957
"DE",1899,183043,NA,NA,NA,5656,62,NA,NA,NA,1262,4332,NA,2004,1043,961,2097,493,10250,6089,352,50,5558,129,0,764,21,2134,1242,10250,19,11799,3739,NA,NA,NA,6315,6260,1752,4508,3304,1605,22968,15620,352,50,10129,5089,0,764,38,3684,2862,22968,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,167,NA,NA,NA,NA,NA,9633.84210526316,7321.72
"DE",1900,184735,NA,NA,NA,5994,67,NA,NA,NA,1354,4573,NA,1949,975,974,2036,505,10484,6103,534,47,5376,146,0,836,2,2134,1409,10484,19,12295,3314,NA,NA,NA,6985,7053,1372,5681,2923,1525,23796,16152,615,47,9885,5605,0,836,19,3684,3105,23796,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,167,NA,NA,NA,NA,NA,9722.8947368421,7389.4
"DE",1901,186423,NA,NA,NA,6487,95,NA,NA,NA,1935,4457,NA,2611,1006,1605,2410,472,11980,7520,496,47,6781,196,18,866,1,2159,1416,11980,20,12275,2791,NA,NA,NA,6620,9155,1552,7603,3240,1574,26244,18283,584,47,11508,6144,18,866,164,3709,3204,26244,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,166,NA,NA,NA,NA,NA,9321.15,7170.11538461538
"DE",1902,188126,NA,NA,NA,6598,110,NA,NA,NA,2226,4262,NA,2827,1039,1788,2069,472,11966,7374,385,50,6709,230,16,895,1,2154,1526,11966,21,13099,3235,NA,NA,NA,6568,10022,1592,8430,2982,1479,27582,19081,466,50,11369,7196,16,895,381,3714,3495,27582,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,171,NA,NA,NA,NA,NA,8958.38095238095,6967.62962962963
"DE",1903,189844,NA,NA,NA,7102,87,NA,NA,NA,1774,5241,NA,3008,1089,1919,2541,488,13139,8263,751,50,7201,261,27,927,8,2199,1715,13139,23,13628,3439,NA,NA,NA,7069,10822,2091,8731,3619,1553,29622,20493,849,50,12259,7335,27,927,499,3764,3912,29622,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,175,NA,NA,NA,NA,NA,8254.08695652174,6328.13333333333
"DE",1904,191578,NA,NA,NA,7090,80,NA,NA,NA,1615,5395,NA,2902,1099,1803,2332,471,12795,7628,670,50,6614,294,97,952,3,2262,1853,12795,24,13657,3571,NA,NA,NA,7046,12358,2391,9967,3963,1542,31520,21699,904,50,12716,8029,97,952,147,4307,4318,31520,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,177,NA,NA,NA,NA,NA,7982.41666666667,5805.39393939394
"DE",1905,193329,NA,NA,NA,7281,80,NA,NA,NA,1624,5577,NA,3313,1137,2176,2573,479,13646,8392,647,51,7330,364,29,977,1,2274,1973,13646,24,14159,3771,NA,NA,NA,7328,13868,2289,11579,4131,1607,33765,23472,795,51,14041,8585,29,977,57,4562,4668,33765,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,177,NA,NA,NA,NA,NA,8055.375,5370.25
