"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"FL",1896,468712,NA,NA,NA,3875,53,NA,NA,NA,1082,2740,NA,1258,887,371,1597,385,7115,4689,315,76,3801,497,132,354,0,1350,590,7115,17,5502,416,NA,NA,NA,3477,1466,887,579,2251,703,9922,6534,358,76,5422,678,182,354,12,2101,739,9922,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,106,NA,NA,NA,NA,NA,27571.2941176471,11432
"FL",1897,483002,NA,NA,NA,3233,47,NA,NA,NA,958,2228,NA,1110,779,331,1881,303,6527,4309,267,75,3438,529,161,304,0,1150,603,6527,15,4881,415,NA,NA,NA,2974,1340,779,561,2539,715,9475,6162,334,75,5046,707,251,304,9,1972,777,9475,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,85,NA,NA,NA,NA,NA,32200.1333333333,11500.0476190476
"FL",1898,497729,NA,NA,NA,3308,49,NA,NA,NA,993,2266,NA,1385,988,397,2457,362,7512,5277,354,175,4144,604,142,324,0,1150,619,7512,15,4979,422,NA,NA,NA,3023,1596,989,607,3350,728,10653,7447,397,175,6064,811,202,324,11,1870,799,10653,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,94,NA,NA,NA,NA,NA,33181.9333333333,13098.1315789474
"FL",1899,512904,NA,NA,NA,3581,50,NA,NA,NA,1006,2525,NA,1490,1108,382,3465,368,8904,6636,453,267,5280,636,80,385,15,1150,638,8904,15,5484,474,NA,NA,NA,3387,1761,1108,653,4350,711,12306,9127,524,267,7599,737,93,385,25,1860,816,12306,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,89,NA,NA,NA,NA,NA,34193.6,14654.4
"FL",1900,528542,NA,NA,NA,4530,66,NA,NA,NA,1343,3121,NA,1589,1229,360,3083,361,9563,7114,422,259,5717,716,0,511,15,1150,773,9563,15,7480,724,NA,NA,NA,4457,2005,1356,649,4429,548,14462,10934,528,259,9109,1038,60,511,27,1913,1017,14462,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,99,NA,NA,NA,NA,NA,35236.1333333333,13909
"FL",1901,547557,NA,NA,NA,5244,76,NA,NA,NA,1534,3634,NA,1682,1356,326,5338,409,12673,9482,609,258,7651,964,179,752,7,1355,898,12673,17,7600,601,NA,NA,NA,4702,1922,1462,460,7109,625,17256,13149,636,258,11139,1116,204,752,22,2013,1116,17256,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,108,NA,NA,NA,NA,NA,32209.2352941176,14798.8378378378
"FL",1902,567255,NA,NA,NA,6144,86,NA,NA,NA,1739,4319,NA,1878,1515,363,3777,511,12310,8820,598,340,6754,1128,129,796,32,1460,1073,12310,20,9998,945,NA,NA,NA,6065,2438,1895,543,5741,925,19102,14166,672,340,11814,1340,229,796,77,2365,1469,19102,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671,NA,NA,NA,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,119,NA,NA,NA,NA,NA,28362.75,12605.6666666667
"FL",1903,587663,NA,NA,NA,7190,115,NA,NA,NA,2322,4753,NA,2227,1798,429,4722,456,14595,10853,702,465,8405,1281,56,836,8,1685,1157,14595,20,12244,1244,NA,NA,NA,7041,3035,2462,573,7147,865,23291,17850,846,465,14892,1647,156,836,41,2744,1664,23291,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,377,NA,NA,NA,NA,NA,29383.15,11301.2115384615
"FL",1904,608804,NA,NA,NA,10089,157,NA,NA,NA,3193,6739,NA,3253,2699,554,5296,508,19146,13720,1328,635,10311,1446,164,1351,18,2510,1383,19146,25,15711,1506,NA,NA,NA,9550,4033,3176,857,7832,907,28483,21009,1661,635,16924,1789,329,1351,68,3716,2010,28483,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946,NA,NA,NA,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,190,NA,NA,NA,NA,NA,24352.16,10496.6206896552
"FL",1905,630707,NA,NA,NA,12538,194,NA,NA,NA,3931,8413,NA,3395,2828,567,5451,575,21959,15597,1436,442,11929,1790,204,1725,32,2712,1689,21959,29,21776,2411,NA,NA,NA,13032,4290,3360,930,8569,1141,35776,25323,1831,442,20420,2630,904,1725,143,5219,2462,35776,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,232,NA,NA,NA,NA,NA,21748.5172413793,8409.42666666667
