"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"IA",1896,2098077,NA,NA,NA,33915,1057,NA,NA,NA,6947,25911,NA,6910,4880,2030,9336,2635,52796,30309,5243,131,21574,3361,983,3689,2,13495,4318,52796,168,120422,28716,NA,NA,NA,77698,10029,5864,4165,32947,10209,173607,114435,6057,131,42650,"65597",983,3689,1192,42119,11189,173607,1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2721,NA,NA,NA,NA,NA,NA,NA,NA,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,1050,NA,NA,NA,NA,NA,12488.5535714286,2044.90935672515
"IA",1897,2130750,NA,NA,NA,30543,1052,NA,NA,NA,6920,22571,NA,6505,4772,1733,12994,2633,52675,31649,6757,163,21156,3573,199,3577,13,13020,4217,52675,164,109424,22284,NA,NA,NA,73377,9454,5692,3762,39410,10060,168348,112889,7413,163,46865,"58448",199,3577,384,40710,10589,168348,1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495,NA,NA,NA,NA,NA,NA,NA,NA,1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,886,NA,NA,NA,NA,NA,12992.3780487805,2082.84457478006
"IA",1898,2163932,NA,NA,NA,35656,998,NA,NA,NA,6561,28097,NA,7312,5264,2048,15930,3276,62174,41338,9748,292,27213,4085,116,3647,3,12985,4085,62174,165,123601,25633,NA,NA,NA,83775,10571,6286,4285,46777,11056,192005,136503,10252,292,56866,"69093",116,3647,376,40893,10470,192005,1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661,NA,NA,NA,NA,NA,NA,NA,NA,1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,945,NA,NA,NA,NA,NA,13114.7393939394,2088.73745173745
"IA",1899,2197630,NA,NA,NA,43010,1533,NA,NA,NA,10080,31397,NA,9711,7605,2106,23317,3005,79043,56592,15578,1015,35703,4296,30,4689,25,13240,4467,79043,171,144985,31242,NA,NA,NA,94798,13468,8787,4681,60492,11025,229970,171697,16480,1015,73301,"80901",30,4689,414,42053,11087,229970,1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3114,NA,NA,NA,NA,NA,NA,NA,NA,1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1165,NA,NA,NA,NA,NA,12851.6374269006,2029.20590951062
"IA",1900,2231853,NA,NA,NA,49605,1689,NA,NA,NA,11109,36807,NA,11518,9115,2403,23900,3081,88104,63322,16287,1189,41008,4838,77,6278,8,13500,4919,88104,177,171531,38974,NA,NA,NA,105604,14934,10372,4562,65652,11150,263267,196832,17463,1189,86293,"91887",77,6278,3340,43878,12862,263267,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3608,NA,NA,NA,NA,NA,NA,NA,NA,1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,1132,NA,NA,NA,NA,NA,12609.3389830508,1957.76578947368
"IA",1901,2231144,NA,NA,NA,63018,2263,NA,NA,NA,14878,45877,NA,14241,10955,3286,31461,3149,111869,83432,22324,1360,53235,6513,87,8488,44,14896,4922,111869,220,209443,49472,NA,NA,NA,128370,18573,12324,6249,80972,11312,320300,252126,23661,1360,114103,"113002",87,8488,897,45055,13647,320300,1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4111,NA,NA,NA,NA,NA,NA,NA,NA,1789,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,1416,NA,NA,NA,NA,NA,10141.5636363636,1824.32052330335
"IA",1902,2230435,NA,NA,NA,74394,2455,NA,NA,NA,16144,55795,NA,16098,12374,3724,28532,3001,122025,92093,20868,2867,60735,7623,592,8410,87,15460,5383,122025,229,249663,58014,NA,NA,NA,159710,21871,14148,7723,77311,11559,360404,288365,21510,2867,123733,"140255",592,8410,1358,46172,15507,360404,1314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4644,NA,NA,NA,NA,NA,NA,NA,NA,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,1570,NA,NA,NA,NA,NA,9739.89082969432,1697.43911719939
"IA",1903,2229726,NA,NA,NA,72552,2557,NA,NA,NA,16814,53181,NA,16634,13338,3296,25103,3253,117542,85039,17710,3033,55638,8658,842,9131,85,16148,6297,117542,245,245233,58240,NA,NA,NA,155702,21652,14811,6841,65754,11816,344455,268502,18700,3033,115323,"131446",842,9131,758,48080,17142,344455,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4909,NA,NA,NA,NA,NA,NA,NA,NA,2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,1538,NA,NA,NA,NA,NA,9100.92244897959,1644.3407079646
"IA",1904,2229017,NA,NA,NA,71596,2155,NA,NA,NA,14169,55272,NA,18363,14877,3486,24540,3577,118076,82371,17799,2753,52047,9772,967,10563,33,17040,7102,118076,264,239661,58405,NA,NA,NA,151569,23242,16583,6659,66721,12907,342531,262599,18808,2753,113186,"127852",967,10563,651,49810,17941,342531,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5145,NA,NA,NA,NA,NA,NA,NA,NA,2310,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,1566,NA,NA,NA,NA,NA,8443.24621212121,1601.30531609195
"IA",1905,2228309,NA,NA,NA,76555,2254,NA,NA,NA,14818,59483,NA,18819,15261,3558,31954,4028,131356,94153,24167,1745,56148,12093,618,11688,37,17480,7380,131356,277,254527,64431,NA,NA,NA,157477,24033,16954,7079,78593,13990,371143,286874,24927,1745,120456,"139746",618,11688,602,51839,19522,371143,1422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5218,NA,NA,NA,NA,NA,NA,NA,NA,2532,NA,NA,NA,NA,NA,NA,NA,NA,NA,828,1626,NA,NA,NA,NA,NA,8044.43682310469,1567.02461322082
"IA",1906,2227601,NA,NA,NA,89020,2550,NA,NA,NA,16767,69703,NA,20436,16313,4123,35765,4475,149696,109564,29733,1564,64032,14235,435,13220,56,18495,7926,149696,292,290233,72188,NA,NA,NA,183322,26254,18261,7993,86478,14288,417253,327040,30450,1564,137099,"157927",435,13220,2668,53071,20819,417253,1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5646,NA,NA,NA,NA,NA,NA,NA,NA,2820,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,1845,NA,NA,NA,NA,NA,7628.77054794521,1530.99725085911
"IA",1907,2226893,NA,NA,NA,103083,2830,NA,NA,NA,18611,81642,NA,23509,18180,5329,37134,5055,168781,127643,32330,4643,69419,21251,424,13331,124,18605,8654,168781,301,331668,84547,NA,NA,NA,208981,30086,20266,9820,93609,16224,471587,379036,32987,4643,156350,"185056",424,13331,1528,54660,22608,471587,1504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6479,NA,NA,NA,NA,NA,NA,NA,NA,3067,NA,NA,NA,NA,NA,NA,NA,NA,NA,679,1809,NA,NA,NA,NA,NA,7398.31561461794,1480.64694148936
"IA",1908,2226186,NA,NA,NA,103065,2721,NA,NA,NA,17892,82452,NA,25677,19432,6245,37612,5202,171556,126645,31946,3308,65573,25818,654,14981,168,20330,8778,171556,316,329095,85072,NA,NA,NA,206715,32576,21542,11034,90259,15985,467915,370811,36148,3308,149743,"181612",654,14981,1082,56866,23521,467915,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6946,NA,NA,NA,NA,NA,NA,NA,NA,3558,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,2044,NA,NA,NA,NA,NA,7044.89240506329,1439.96507115136
