"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"ID",1896,127120,NA,NA,NA,1343,44,NA,NA,NA,450,849,NA,750,405,345,792,302,3187,1910,58,50,1597,205,37,162,0,675,403,3187,11,2107,91,NA,NA,NA,1426,901,412,489,1067,563,4638,2544,90,50,2082,322,37,162,74,1257,564,4638,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,55,NA,NA,NA,NA,NA,11556.3636363636,3852.12121212121
"ID",1897,135016,NA,NA,NA,1112,38,NA,NA,NA,385,689,NA,666,367,299,1288,295,3361,2210,42,49,1901,218,0,165,0,600,386,3361,10,2161,117,NA,NA,NA,1454,1210,367,843,2731,736,6838,4394,50,49,3642,653,0,165,0,1081,1198,6838,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,NA,NA,NA,NA,13501.6,4655.72413793103
"ID",1898,143403,NA,NA,NA,1226,35,NA,NA,NA,354,837,NA,611,352,259,1643,300,3780,2629,94,50,2236,249,5,155,0,600,391,3780,10,2421,226,NA,NA,NA,1617,957,418,539,2180,523,6081,4147,141,50,3405,551,5,155,47,1107,620,6081,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,42,NA,NA,NA,NA,NA,14340.3,4625.90322580645
"ID",1899,152311,NA,NA,NA,1263,29,NA,NA,NA,294,940,NA,748,425,323,1997,254,4262,3257,99,76,2820,262,0,137,0,550,318,4262,9,2907,199,NA,NA,NA,1488,974,467,507,3231,571,7683,5693,117,76,4730,770,0,137,37,1342,474,7683,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,54,NA,NA,NA,NA,NA,16923.4444444444,4479.73529411765
"ID",1900,161772,NA,NA,NA,1667,41,NA,NA,NA,414,1212,NA,806,458,348,2105,280,4858,3819,123,76,3325,295,0,147,0,550,342,4858,9,3439,249,NA,NA,NA,2320,1006,514,492,2988,547,7980,6036,236,76,4977,747,0,147,0,1304,493,7980,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,85,NA,NA,NA,NA,NA,17974.6666666667,4044.3
"ID",1901,173492,NA,NA,NA,2067,47,NA,NA,NA,474,1546,NA,736,446,290,2573,266,5642,4452,106,75,3874,397,15,194,0,600,381,5642,11,5945,1181,NA,NA,NA,3175,946,496,450,4837,680,12408,9294,156,75,7612,1451,15,194,60,2124,721,12408,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,72,NA,NA,NA,NA,NA,15772,3771.5652173913
"ID",1902,186062,NA,NA,NA,2620,56,NA,NA,NA,568,1996,NA,859,532,327,3610,243,7332,5984,171,103,5246,464,0,210,0,675,463,7332,13,6831,1152,NA,NA,NA,4008,1094,591,503,5452,442,13819,10934,488,103,8837,1506,0,210,123,1807,745,13819,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,85,NA,NA,NA,NA,NA,14312.4615384615,3510.60377358491
"ID",1903,199542,NA,NA,NA,4038,95,NA,NA,NA,955,2988,NA,1055,701,354,2968,252,8313,6589,161,202,5698,528,28,292,1,875,528,8313,19,8809,485,NA,NA,NA,6312,1198,734,464,5268,459,15734,12197,521,202,9739,1735,28,292,1,2482,734,15734,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,144,NA,NA,NA,NA,NA,10502.2105263158,2810.45070422535
"ID",1904,213999,NA,NA,NA,4920,120,NA,NA,NA,1213,3587,NA,1190,782,408,2776,401,9287,7094,225,184,6090,595,35,370,28,1093,667,9287,24,12453,1128,NA,NA,NA,9124,1485,1000,485,5719,1097,20754,15193,466,184,12101,2442,35,370,71,3845,1240,20754,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,113,NA,NA,NA,NA,NA,8916.625,2641.96296296296
"ID",1905,229504,NA,NA,NA,5350,130,NA,NA,NA,1314,3906,NA,1337,897,440,3444,442,10573,8066,277,171,6881,737,30,456,8,1245,768,10573,27,13502,811,NA,NA,NA,9332,1717,1183,534,7313,1246,23778,17485,439,171,13916,2959,30,456,166,4148,1493,23778,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,219,NA,NA,NA,NA,NA,8500.14814814815,2550.04444444444
