"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"IL",1896,4395679,NA,NA,NA,139719,1994,NA,NA,NA,49143,88582,NA,20279,11714,8565,65737,5130,230865,163590,52107,1484,"105321","4678",683,6532,"10",39171,20879,230865,220,281862,31474,NA,NA,NA,152995,35325,15263,20062,122357,13716,453260,331917,61860,1484,"204558","64015",992,6532,"5711",71922,36186,453260,939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9532,NA,NA,NA,NA,NA,NA,NA,NA,4425,NA,NA,NA,NA,NA,NA,NA,NA,NA,3142,3398,NA,NA,NA,NA,NA,19980.3590909091,4681.23429179979
"IL",1897,4498484,NA,NA,NA,127031,1833,NA,NA,NA,45168,80030,NA,23024,12375,10649,91512,4959,246526,183647,70512,1511,"106652","4972",217,6130,"10",37241,19281,246526,219,256859,28846,NA,NA,NA,139053,38467,17246,21221,164801,13578,473705,356465,81874,1511,"210558","62522",498,6130,"5159",70357,35096,473705,938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8447,NA,NA,NA,NA,NA,NA,NA,NA,4091,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863,2591,NA,NA,NA,NA,NA,20541.0228310502,4795.82515991471
"IL",1898,4603693,NA,NA,NA,158861,2274,NA,NA,NA,56028,100559,NA,25173,12449,12724,97651,6538,288223,224334,87551,1590,"129508","5685",186,6172,"13",36996,20522,288223,219,303414,24613,NA,NA,NA,170057,46422,19142,27280,171147,15319,536302,419524,101581,1590,"243477","72876",571,6172,"5929",68180,35926,536302,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9912,NA,NA,NA,NA,NA,NA,NA,NA,4255,NA,NA,NA,NA,NA,NA,NA,NA,NA,1646,3103,NA,NA,NA,NA,NA,21021.4292237443,4871.6328042328
"IL",1899,4711362,NA,NA,NA,186846,2762,NA,NA,NA,68053,116031,NA,30388,14691,15697,127851,4732,349817,285273,112473,2055,"164766","5979",132,7031,"12",35721,21648,349817,217,352347,28925,NA,NA,NA,195112,57376,23981,33395,218487,13347,641557,519765,127240,2055,"300826","89644",617,7031,"9842",66620,37682,641557,955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10513,NA,NA,NA,NA,NA,NA,NA,NA,4848,NA,NA,NA,NA,NA,NA,NA,NA,NA,1588,3142,NA,NA,NA,NA,NA,21711.3456221198,4933.36335078534
"IL",1900,4821550,NA,NA,NA,205529,2677,NA,NA,NA,65970,136882,NA,36742,21780,14962,133435,5105,380811,306999,127152,3147,"169967","6733",321,13004,"9",36438,24040,380811,233,384868,34825,NA,NA,NA,218458,68592,31261,37331,224714,14094,692268,559861,143656,3147,"307161","105897",506,13004,"8433",69230,41234,692268,990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12395,NA,NA,NA,NA,NA,NA,NA,NA,5295,NA,NA,NA,NA,NA,NA,NA,NA,NA,2290,3488,NA,NA,NA,NA,NA,20693.347639485,4870.25252525253
"IL",1901,4897620,NA,NA,NA,251834,3349,NA,NA,NA,82526,165959,NA,44873,25847,19026,145275,4805,446787,366678,143349,3755,"210510","9064",40,17248,"297",38142,24382,446787,255,460622,43159,NA,NA,NA,258741,88507,37755,50752,238074,14379,801582,659428,168666,3755,"364304","122703",40,17248,"8214",72886,43766,801582,1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13930,NA,NA,NA,NA,NA,NA,NA,NA,5761,NA,NA,NA,NA,NA,NA,NA,NA,NA,1543,4250,NA,NA,NA,NA,NA,19206.3529411765,4700.21113243762
"IL",1902,4974890,NA,NA,NA,274104,3378,NA,NA,NA,83240,187486,NA,45976,23438,22538,158977,4937,483994,398349,157546,4616,"225578","10609",75,14072,"530",43840,27128,483994,274,515194,50759,NA,NA,NA,290903,95452,36160,59292,276255,17242,904143,739149,188741,4616,"390650","155142",750,14072,"7182",92798,50192,904143,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15134,NA,NA,NA,NA,NA,NA,NA,NA,6185,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506,3696,NA,NA,NA,NA,NA,18156.5328467153,4526.74249317561
"IL",1903,5053379,NA,NA,NA,282673,3384,NA,NA,NA,83397,195892,NA,47800,25103,22697,151309,6981,488763,391593,147548,5182,"226813","12050",273,16921,"1359",47016,31601,488763,300,557262,60280,NA,NA,NA,309087,107174,39817,67357,270960,20065,955461,769916,176155,5182,"406627","181952",871,16921,"9167   1",204,58382,955461,1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17082,NA,NA,NA,NA,NA,NA,NA,NA,7033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1646,4471,NA,NA,NA,NA,NA,16844.5966666667,4125.20734693878
"IL",1904,5133106,NA,NA,NA,292333,2976,NA,NA,NA,73323,216034,NA,49866,28153,21713,165254,7348,514801,413485,157476,6111,"236298","13600",375,18822,"1251",48213,32655,514801,319,593521,50881,NA,NA,NA,349077,119679,45112,74567,306535,20674,1040409,843568,187321,6111,"441050","209086",624,18822,"7800   1",6589,63006,1040409,1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16923,NA,NA,NA,NA,NA,NA,NA,NA,7568,NA,NA,NA,NA,NA,NA,NA,NA,NA,2118,5928,NA,NA,NA,NA,NA,16091.2413793103,4086.8678343949
"IL",1905,5214091,NA,NA,NA,321967,3240,NA,NA,NA,79827,238900,NA,59071,31652,27419,171968,6237,559243,454990,175740,5572,"256847","16831",366,21020,"1204",48480,33183,559243,344,677869,66779,NA,NA,NA,387382,143905,52796,91109,313695,20679,1156148,955825,210131,5572,"497364","242758",755,21020,"5567   1",6903,66078,1156148,1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16677,NA,NA,NA,NA,NA,NA,NA,NA,8430,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830,5330,NA,NA,NA,NA,NA,15157.2412790698,3983.2627960275
