"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"IN",1896,2381455,NA,NA,NA,34274,489,NA,NA,NA,5783,28002,NA,9059,7265,1794,14418,2155,59906,34815,2727,204,31121,763,158,4707,21,14282,5923,59906,113,67972,8642,NA,NA,NA,48402,12313,9074,3239,25864,4837,110986,66550,3014,204,"54245",9087,218,4707,503,28976,10032,110986,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3081,NA,NA,NA,NA,NA,NA,NA,NA,1352,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,1065,NA,NA,NA,NA,NA,21074.8230088496,5643.25829383886
"IN",1897,2414512,NA,NA,NA,30901,460,NA,NA,NA,5442,24999,NA,9189,7386,1803,18506,2524,61120,36661,3986,249,31615,811,131,4581,29,14047,5671,61120,113,65604,8930,NA,NA,NA,46040,12946,9821,3125,31798,5392,115740,71427,4504,249,"57143",9531,164,4581,593,29213,9762,115740,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3126,NA,NA,NA,NA,NA,NA,NA,NA,1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,880,1002,NA,NA,NA,NA,NA,21367.3628318584,5589.14814814815
"IN",1898,2448028,NA,NA,NA,35422,539,NA,NA,NA,6368,28515,NA,10270,8164,2106,23194,2809,71695,47723,4801,1248,40747,927,17,4143,49,14217,5546,71695,112,67857,9688,NA,NA,NA,45223,13827,10840,2987,38101,5304,125089,86756,5014,1248,"69459",11035,32,4143,481,25549,8128,125089,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3112,NA,NA,NA,NA,NA,NA,NA,NA,1387,NA,NA,NA,NA,NA,NA,NA,NA,NA,766,1143,NA,NA,NA,NA,NA,21857.3928571429,5679.87935034803
"IN",1899,2482009,NA,NA,NA,37616,525,NA,NA,NA,6208,30883,NA,14569,11619,2950,31607,2666,86458,61636,7330,2466,50865,975,0,4740,62,14277,5743,86458,115,74789,11946,NA,NA,NA,50108,19723,15158,4565,49405,5484,149401,108710,7710,2466,"86301",12233,0,4740,900,26179,8872,149401,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3222,NA,NA,NA,NA,NA,NA,NA,NA,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,1170,NA,NA,NA,NA,NA,21582.6869565217,5491.1703539823
"IN",1900,2516462,NA,NA,NA,44718,596,NA,NA,NA,7051,37071,NA,17119,12980,4139,33138,2575,97550,70633,10288,2889,56358,1098,47,5750,78,14309,6733,97550,117,90009,14140,NA,NA,NA,61076,23782,16858,6924,54801,7785,176377,130402,10610,2889,"100319",16584,55,5750,1157,28918,10095,176377,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149,NA,NA,NA,NA,NA,NA,NA,NA,1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,1227,NA,NA,NA,NA,NA,21508.2222222222,5146.1390593047
"IN",1901,2534322,NA,NA,NA,51179,731,NA,NA,NA,8635,41813,NA,20069,14692,5377,36508,2580,110336,81343,13552,3112,63201,1478,0,6842,73,15331,6747,110336,132,101285,18238,NA,NA,NA,65081,28670,19634,9036,58833,5740,194528,146032,13745,3112,"107677",21498,6,6842,1407,29692,10549,194528,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241,NA,NA,NA,NA,NA,NA,NA,NA,1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,1187,NA,NA,NA,NA,NA,19199.4090909091,4873.69615384615
"IN",1902,2552309,NA,NA,NA,60103,1031,NA,NA,NA,12192,46880,NA,21747,15845,5902,40724,2428,125002,94643,16265,4424,72224,1730,40,6958,134,16618,6609,125002,144,124085,21318,NA,NA,NA,78081,30163,20411,9752,67733,6472,228453,176184,16648,4424,"124990",30122,40,6958,1630,32284,11357,228453,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,1920,NA,NA,NA,NA,NA,17724.3680555556,4557.69464285714
"IN",1903,2570423,NA,NA,NA,70157,1281,NA,NA,NA,15136,53740,NA,24311,17544,6767,43806,3904,142178,106377,16571,6089,81752,1965,71,8345,1408,17969,8008,142178,157,140013,24821,NA,NA,NA,83953,35093,23117,11976,71311,7707,254124,194645,17033,6089,"137933",33590,129,8345,3515,34007,13483,254124,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5265,NA,NA,NA,NA,NA,NA,NA,NA,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,1551,NA,NA,NA,NA,NA,16372.1210191083,4112.6768
"IN",1904,2588666,NA,NA,NA,71856,1222,NA,NA,NA,14443,56191,NA,26195,19350,6845,41861,4089,144001,104850,15711,4628,82294,2217,46,10584,1280,18467,8774,144001,172,146488,28084,NA,NA,NA,86683,39819,27452,12367,70294,8837,265438,198932,16052,4628,"136982",41270,93,10584,3201,37361,15267,265438,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5434,NA,NA,NA,NA,NA,NA,NA,NA,2479,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,1661,NA,NA,NA,NA,NA,15050.3837209302,3846.45765230312
"IN",1905,2607039,NA,NA,NA,75392,1300,NA,NA,NA,15362,58730,NA,28543,21238,7305,45386,3658,152979,110102,18207,3068,86083,2744,48,13152,849,19625,9203,152979,188,150982,33035,NA,NA,NA,86806,41910,27846,14064,72344,8412,273648,203945,18630,3068,"137163",45084,114,13152,3153,37763,15521,273648,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5824,NA,NA,NA,NA,NA,NA,NA,NA,2676,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,1696,NA,NA,NA,NA,NA,13867.2287234043,3868.01038575668
