"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"KS",1896,1453391,NA,NA,NA,18222,336,NA,NA,NA,8502,9384,NA,3941,3378,563,6464,2292,30919,16695,712,331,14739,913,466,2249,3,9552,1954,30919,116,34937,1588,NA,NA,NA,20718,4353,3687,666,12236,4881,56407,31721,841,331,27193,3356,1141,2249,21,17761,3514,56407,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,482,NA,NA,NA,NA,NA,12529.2327586207,2844.20939334638
"KS",1897,1457648,NA,NA,NA,17715,376,NA,NA,NA,9509,7830,NA,3668,3209,459,8074,2082,31539,18629,1284,345,16030,970,135,2157,0,8667,1951,31539,105,33628,1533,NA,NA,NA,18655,4004,3467,537,16324,4536,58492,36114,1544,345,30811,3414,410,2157,99,16162,3550,58492,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1908,NA,NA,NA,NA,NA,NA,NA,NA,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,467,NA,NA,NA,NA,NA,13882.3619047619,3024.16597510373
"KS",1898,1461918,NA,NA,NA,21843,470,NA,NA,NA,11893,9480,NA,3598,3168,430,9418,2001,36860,23599,1972,358,20160,1109,593,2094,5,8442,2127,36860,101,39607,1541,NA,NA,NA,21785,4212,3716,496,20312,3543,67674,46023,2388,358,39326,3951,869,2094,197,14955,3536,67674,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115,NA,NA,NA,NA,NA,NA,NA,NA,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,521,NA,NA,NA,NA,NA,14474.4356435644,3143.90967741935
"KS",1899,1466200,NA,NA,NA,22213,478,NA,NA,NA,12095,9640,NA,3782,3388,394,12176,1810,39981,27157,2777,436,22778,1166,97,2148,6,8262,2311,39981,100,41687,1577,NA,NA,NA,23205,4282,3798,484,23479,3237,72685,51252,3115,436,43879,3822,315,2148,79,14700,4191,72685,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2259,NA,NA,NA,NA,NA,NA,NA,NA,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,586,NA,NA,NA,NA,NA,14662,3132.90598290598
"KS",1900,1470495,NA,NA,NA,24896,524,NA,NA,NA,13268,11104,NA,5288,4939,349,13769,1888,45841,30967,3422,569,25663,1313,381,3579,15,8182,2717,45841,103,46932,1794,NA,NA,NA,26427,6015,5542,473,27590,3325,83862,59814,3741,569,51085,4419,580,3579,91,14867,4931,83862,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,598,579,NA,NA,NA,NA,NA,14276.6504854369,3019.49691991786
"KS",1901,1491181,NA,NA,NA,30434,656,NA,NA,NA,16600,13178,NA,6543,5995,548,19628,1748,58353,42055,7452,570,32265,1768,43,4790,15,8635,2815,58353,118,56270,2674,NA,NA,NA,30615,7531,6776,755,38783,3131,105715,79734,8028,570,65814,5322,108,4790,113,15596,5374,105715,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2683,NA,NA,NA,NA,NA,NA,NA,NA,1153,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,744,NA,NA,NA,NA,NA,12637.1271186441,2824.20643939394
"KS",1902,1512157,NA,NA,NA,34044,652,NA,NA,NA,16506,16886,NA,8019,7081,938,16160,1728,59951,42145,4689,955,34431,2070,510,5141,2,9010,3143,59951,128,65091,3548,NA,NA,NA,37247,9367,8097,1270,31656,3013,109127,80402,5345,955,68485,5617,837,5141,156,16367,6224,109127,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2849,NA,NA,NA,NA,NA,NA,NA,NA,1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,809,NA,NA,NA,NA,NA,11813.7265625,2602.67986230637
"KS",1903,1533429,NA,NA,NA,38185,686,NA,NA,NA,17376,20123,NA,9361,8235,1126,17805,1818,67169,47696,6406,1241,37698,2351,99,5725,81,9716,3852,67169,140,73005,4023,NA,NA,NA,42920,10693,9236,1457,37103,3235,124036,92564,7234,1241,76627,7462,317,5725,259,17806,7365,124036,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3203,NA,NA,NA,NA,NA,NA,NA,NA,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,971,NA,NA,NA,NA,NA,10953.0642857143,2411.05188679245
"KS",1904,1555000,NA,NA,NA,41772,681,NA,NA,NA,17239,23852,NA,11141,9783,1358,21838,1968,76719,54889,7825,1300,43111,2653,72,6893,48,10513,4304,76719,155,80185,4465,NA,NA,NA,48914,12366,10707,1659,43609,3613,139773,104767,9045,1300,85839,8583,201,6893,262,19322,8328,139773,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3517,NA,NA,NA,NA,NA,NA,NA,NA,1514,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,1051,NA,NA,NA,NA,NA,10032.2580645161,2256.89404934688
"KS",1905,1576874,NA,NA,NA,48001,786,NA,NA,NA,19902,27313,NA,12253,10382,1871,22332,2200,84786,61229,9444,984,47517,3284,570,7550,34,10547,4856,84786,170,91245,5425,NA,NA,NA,55326,13666,11430,2236,43129,4044,152084,114349,10615,984,92632,10118,934,7550,167,20285,8799,152084,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3763,NA,NA,NA,NA,NA,NA,NA,NA,1676,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,1078,NA,NA,NA,NA,NA,9275.72941176471,2125.16711590297
"KS",1906,1599056,NA,NA,NA,51987,786,NA,NA,NA,19905,31296,NA,12991,10748,2243,24817,2261,92056,67956,11068,972,52051,3865,117,7862,49,10722,5350,92056,184,101361,6501,NA,NA,NA,62679,14603,11945,2658,51318,4393,171675,131852,12682,972,106359,11839,370,7862,222,21654,9715,171675,817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146,NA,NA,NA,NA,NA,NA,NA,NA,1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,1201,NA,NA,NA,NA,NA,8690.52173913043,1957.22888616891
"KS",1907,1621550,NA,NA,NA,60280,903,NA,NA,NA,22847,36530,NA,15033,12421,2612,29659,2469,107441,80699,15217,1671,58041,5770,138,8505,78,11880,6141,107441,199,119749,8636,NA,NA,NA,73519,17079,13944,3135,61617,4902,203347,158554,17505,1671,122639,16739,372,8505,124,24442,11350,203347,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4515,NA,NA,NA,NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,1420,NA,NA,NA,NA,NA,8148.49246231156,1762.55434782609
"KS",1908,1644361,NA,NA,NA,56437,824,NA,NA,NA,20848,34765,NA,17133,13943,3190,28266,2779,104615,76147,14801,2586,51750,7010,251,9599,93,12127,6398,104615,208,115669,9502,NA,NA,NA,70660,19350,15591,3759,59009,5780,199808,151723,17174,2586,112410,19553,569,9599,140,25433,12344,199808,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3218,NA,NA,NA,NA,NA,NA,NA,NA,1545,NA,NA,NA,NA,NA,NA,NA,NA,NA,541,925,NA,NA,NA,NA,NA,7905.58173076923,1718.24555903866
"KS",1909,1667492,NA,NA,NA,63543,1013,NA,NA,NA,25411,37119,NA,16583,14190,2393,35491,2751,118368,88627,19957,1133,57619,9918,152,9853,41,12193,7502,118368,211,134979,14544,NA,NA,NA,77341,19346,16235,3111,69616,6077,230018,178354,22833,1133,127642,26746,636,9853,260,26665,14250,230018,989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5247,NA,NA,NA,NA,NA,NA,NA,NA,2448,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,1502,NA,NA,NA,NA,NA,7902.80568720379,1686.03842264914
"KS",1910,1690949,NA,NA,NA,66963,1048,NA,NA,NA,25181,40734,NA,16042,13673,2369,29920,2947,115872,85409,15614,664,55698,13433,390,9807,71,12148,8047,115872,207,148810,14769,NA,NA,NA,88206,19072,15624,3448,61250,6900,236032,179636,18268,664,130031,30673,1502,9807,555,28553,15979,236032,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5790,NA,NA,NA,NA,NA,NA,NA,NA,2963,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,1789,NA,NA,NA,NA,NA,8168.83574879227,1592.23069679849
"KS",1911,1698621,NA,NA,NA,59449,873,NA,NA,NA,19924,38652,NA,15481,13274,2207,29726,3091,107747,78295,12512,658,51848,13277,383,9585,160,11817,7507,107747,208,139653,14315,NA,NA,NA,84919,18786,15108,3678,62673,7404,228516,171062,15437,658,123120,31847,1692,9585,834,29053,16290,228516,1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5926,NA,NA,NA,NA,NA,NA,NA,NA,3329,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,1468,NA,NA,NA,NA,NA,8166.44711538462,1580.11255813953
