"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"KY",1896,2026740,NA,NA,NA,27196,235,NA,NA,NA,8794,18167,NA,7756,6871,885,7506,1306,43764,21471,4254,1215,15316,686,479,4518,43,13085,4168,43764,77,61058,2809,NA,NA,NA,46780,11226,7023,4203,19264,3865,95413,50112,7090,1215,36218,5589,737,4518,355,28602,11089,95413,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2162,NA,NA,NA,NA,NA,NA,NA,NA,866,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,898,NA,NA,NA,NA,NA,26321.2987012987,7648.07547169811
"KY",1897,2056200,NA,NA,NA,24377,214,NA,NA,NA,8001,16162,NA,8672,7532,1140,9181,1252,43482,22708,5588,1213,15178,729,254,4829,76,11818,3797,43482,75,57015,2694,NA,NA,NA,43742,12600,7704,4896,21584,3339,94538,50777,8648,1213,35635,5281,509,4829,406,27365,10652,94538,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,968,NA,NA,NA,NA,NA,27416,7759.24528301887
"KY",1898,2086088,NA,NA,NA,23967,209,NA,NA,NA,7820,15938,NA,9787,8053,1734,10670,1605,46029,26374,6395,1534,17611,834,146,4756,163,11065,3525,46029,74,56467,2679,NA,NA,NA,43400,13336,8209,5127,23672,3577,97052,56940,10241,1534,39067,6098,401,4756,628,25268,9059,97052,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,NA,NA,NA,NA,NA,NA,NA,NA,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,914,NA,NA,NA,NA,NA,28190.3783783784,7901.84848484848
"KY",1899,2116411,NA,NA,NA,25750,210,NA,NA,NA,7850,17690,NA,14254,11456,2798,15730,1576,57310,37021,9159,3210,23775,877,114,5409,143,11325,3298,57310,75,56289,2531,NA,NA,NA,43495,18977,11664,7313,32636,4236,112138,74160,13103,3210,50364,7483,388,5409,316,24445,7420,112138,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449,NA,NA,NA,NA,NA,NA,NA,NA,1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,946,NA,NA,NA,NA,NA,28218.8133333333,7272.89003436426
"KY",1900,2147174,NA,NA,NA,32849,258,NA,NA,NA,9662,22929,NA,15962,12634,3328,16434,1561,66806,41400,10121,3589,26702,988,93,6948,280,12792,5293,66806,79,66478,2830,NA,NA,NA,51318,19489,12788,6701,29655,4286,119908,75507,13421,3589,51070,7427,359,6948,731,27046,9317,119908,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2662,NA,NA,NA,NA,NA,NA,NA,NA,1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,856,NA,NA,NA,NA,NA,27179.417721519,6838.13375796178
"KY",1901,2161037,NA,NA,NA,35787,285,NA,NA,NA,10666,24836,NA,17567,14362,3205,14314,1706,69374,41738,9420,3774,27214,1330,348,9132,290,12861,5005,69374,84,69451,3416,NA,NA,NA,52137,22452,14682,7770,28845,3818,124566,80588,12082,3774,55766,8966,1176,9132,1120,24499,8051,124566,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2902,NA,NA,NA,NA,NA,NA,NA,NA,1202,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,1076,NA,NA,NA,NA,NA,25726.630952381,6649.34461538462
"KY",1902,2174990,NA,NA,NA,38407,295,NA,NA,NA,11035,27077,NA,18620,15075,3545,16869,1782,75678,47323,11474,4444,29849,1556,140,9385,273,13270,5287,75678,93,71323,3916,NA,NA,NA,52652,23229,15372,7857,31324,3567,129443,85344,13948,4444,55692,11260,946,9385,2530,23142,8096,129443,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2898,NA,NA,NA,NA,NA,NA,NA,NA,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,987,NA,NA,NA,NA,NA,23386.9892473118,6322.64534883721
"KY",1903,2189033,NA,NA,NA,42661,341,NA,NA,NA,12756,29564,NA,17989,14083,3906,16289,2020,78959,50166,11055,4621,32722,1768,406,8652,335,13451,5949,78959,98,81574,5283,NA,NA,NA,58476,22577,14443,8134,32499,4506,141156,94870,13675,4621,63107,13467,1339,8652,2574,24486,9235,141156,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3236,NA,NA,NA,NA,NA,NA,NA,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,1019,NA,NA,NA,NA,NA,22337.0714285714,5541.85569620253
"KY",1904,2203167,NA,NA,NA,44956,339,NA,NA,NA,12698,31919,NA,19698,16157,3541,17178,2398,84230,51997,12032,4008,33962,1995,696,10769,326,14110,6332,84230,113,90608,6913,NA,NA,NA,64286,27827,16889,10938,35551,6433,160419,104109,14900,4008,69270,15931,1839,10769,2612,29634,11456,160419,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3231,NA,NA,NA,NA,NA,NA,NA,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,1058,NA,NA,NA,NA,NA,19497.0530973451,4737.9935483871
"KY",1905,2217391,NA,NA,NA,48871,394,NA,NA,NA,14756,33721,NA,19887,15856,4031,19944,2633,91335,57110,13118,2682,38841,2469,495,11772,415,14879,6664,91335,125,95474,7897,NA,NA,NA,65178,33821,17347,16474,40939,6738,176972,116223,16235,2682,78038,19268,1780,11772,2479,32527,12191,176972,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3358,NA,NA,NA,NA,NA,NA,NA,NA,1619,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,1095,NA,NA,NA,NA,NA,17739.128,4313.99027237354
"KY",1906,2231708,NA,NA,NA,52695,464,NA,NA,NA,17400,34831,NA,20447,16203,4244,18340,2762,94244,58445,12345,2649,40545,2906,530,12513,537,15353,6866,94244,128,105012,9776,NA,NA,NA,68367,34547,17900,16647,39011,7190,185760,123205,15090,2649,83273,22193,1902,12513,1955,34330,11855,185760,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3692,NA,NA,NA,NA,NA,NA,NA,NA,1769,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,1133,NA,NA,NA,NA,NA,17435.21875,4291.74615384615
"KY",1907,2246117,NA,NA,NA,59272,527,NA,NA,NA,19744,39001,NA,22101,17078,5023,18217,3970,103560,64247,11537,5299,43073,4338,861,13395,1563,16004,7490,103560,139,119161,12205,NA,NA,NA,75354,37350,19100,18250,40212,8761,205484,135574,14500,5299,89766,26009,2390,13395,4093,35840,14192,205484,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929,NA,NA,NA,NA,NA,NA,NA,NA,1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,1165,NA,NA,NA,NA,NA,16159.1151079137,3906.29043478261
"KY",1908,2260619,NA,NA,NA,56122,518,NA,NA,NA,19405,36199,NA,23820,18208,5612,19734,4043,103719,63773,12133,4397,41972,5271,859,14179,1205,16311,7392,103719,145,116531,13325,NA,NA,NA,70813,34517,19745,14772,40868,9329,201245,130143,14533,4397,85280,25933,2321,14179,3250,36651,14701,201245,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4225,NA,NA,NA,NA,NA,NA,NA,NA,2144,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,1225,NA,NA,NA,NA,NA,15590.475862069,3786.63149078727
