"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"LA",1896,1269703,NA,NA,NA,15496,508,NA,NA,NA,6744,8244,NA,3965,1755,2210,5846,918,26225,17708,2284,0,15032,392,407,1132,0,3760,3218,26225,21,24739,2301,NA,NA,NA,11331,5318,2436,2882,8804,1529,40390,27765,2295,0,21662,3808,597,1132,2,6688,4206,40390,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,NA,NA,NA,NA,NA,NA,NA,NA,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,NA,NA,NA,NA,NA,NA,60462.0476190476,27602.2391304348
"LA",1897,1296804,NA,NA,NA,13343,409,NA,NA,NA,5435,7499,NA,3493,1557,1936,7495,819,25150,17593,1911,0,15265,417,252,1006,0,3160,3139,25150,19,21080,1910,NA,NA,NA,10083,5031,2331,2700,10862,1700,38673,27551,1933,0,21823,3795,252,1006,36,5973,3855,38673,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114,NA,NA,NA,NA,NA,NA,68252.8421052632,30158.2325581395
"LA",1898,1324482,NA,NA,NA,13752,459,NA,NA,NA,6101,7192,NA,3453,1369,2084,9391,891,27487,20210,2519,0,17214,477,63,753,0,3160,3301,27487,19,21109,1885,NA,NA,NA,9650,4978,2136,2842,13868,1642,41597,30998,2595,0,24284,4119,63,753,46,5718,4019,41597,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,NA,NA,NA,NA,NA,NA,NA,NA,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,69709.5789473684,27030.2448979592
"LA",1899,1352752,NA,NA,NA,15964,496,NA,NA,NA,6590,8878,NA,4051,2095,1956,9633,907,30555,22880,3172,293,18914,501,0,922,24,3260,3469,30555,20,27436,2791,NA,NA,NA,12640,6330,3248,3082,14371,2111,50248,37169,3375,293,28211,5290,353,922,29,6976,4799,50248,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408,NA,NA,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,319,NA,NA,NA,NA,NA,67637.6,18530.8493150685
"LA",1900,1381625,NA,NA,NA,18661,530,NA,NA,NA,7046,11085,NA,3982,2441,1541,10801,917,34361,25512,3970,339,20639,564,10,1514,0,3260,4065,34361,20,31894,2945,NA,NA,NA,15657,6267,3596,2671,15999,2203,56363,41658,4085,339,31219,6015,521,1514,10,7090,5570,56363,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,NA,NA,NA,NA,NA,NA,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,339,NA,NA,NA,NA,NA,69081.25,17713.141025641
"LA",1901,1406913,NA,NA,NA,23477,600,NA,NA,NA,7969,14908,NA,5545,3097,2448,11220,952,41194,30375,6103,367,23145,760,160,1946,445,3748,4520,41194,25,41853,3448,NA,NA,NA,21763,8014,4346,3668,16439,1657,67963,49989,6721,367,35682,7219,1260,1946,492,8003,6273,67963,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,NA,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,371,NA,NA,NA,NA,NA,56276.52,15460.5824175824
"LA",1902,1432665,NA,NA,NA,26058,617,NA,NA,NA,8191,17250,NA,5248,3176,2072,12064,876,44246,33122,6552,563,25118,889,415,1804,19,3804,5082,44246,29,47098,3503,NA,NA,NA,25473,8090,4612,3478,19085,2306,76579,57549,6935,563,40987,9064,1515,1804,26,8416,7269,76579,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2142,NA,NA,NA,NA,NA,NA,NA,NA,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,398,NA,NA,NA,NA,NA,49402.2413793103,13143.7155963303
"LA",1903,1458887,NA,NA,NA,25446,654,NA,NA,NA,8685,16107,NA,6353,3804,2549,11669,993,44461,30747,5102,763,23872,1010,1019,2439,661,4085,5510,44461,30,63207,5182,NA,NA,NA,31517,10397,5845,4552,26355,3150,103109,73547,9302,763,49348,14134,3119,2439,675,12361,10968,103109,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053,NA,NA,NA,NA,NA,NA,NA,NA,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,354,NA,NA,NA,NA,NA,48629.5666666667,11052.1742424242
"LA",1904,1485590,NA,NA,NA,29900,814,NA,NA,NA,10817,18269,NA,5849,3794,2055,13556,1124,50429,35691,8182,639,25730,1140,1362,2546,197,4231,6402,50429,35,69501,6213,NA,NA,NA,33779,10102,5939,4163,28254,4182,112039,80753,11630,639,53158,15326,3631,2546,243,12604,12262,112039,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,NA,NA,NA,NA,NA,NA,NA,NA,973,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,423,NA,NA,NA,NA,NA,42445.4285714286,9646.68831168831
"LA",1905,1512781,NA,NA,NA,31730,837,NA,NA,NA,11125,19768,NA,6141,3852,2289,16356,1325,55552,40745,10877,463,27994,1411,657,2634,4,4430,7082,55552,35,80301,7437,NA,NA,NA,38813,11021,6312,4709,31388,4316,127026,93730,15291,463,58373,19603,3621,2634,96,13119,13826,127026,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2153,NA,NA,NA,NA,NA,NA,NA,NA,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,373,NA,NA,NA,NA,NA,43222.3142857143,8898.71176470588
