"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MA",1896,2563359,NA,NA,NA,250251,466,NA,NA,NA,66101,183684,NA,53352,37900,15452,85649,8584,397836,227208,49346,317,176795,750,4400,29956,280,95418,40574,397836,268,599086,204667,NA,NA,NA,248365,226148,124344,101804,114559,16772,956565,739169,49428,317,"233489","455935",4520,29956,"1160   1",5893,75867,956565,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14340,NA,NA,NA,NA,NA,NA,NA,NA,5860,NA,NA,NA,NA,NA,NA,NA,NA,NA,2558,5303,NA,NA,NA,NA,NA,9564.7723880597,5274.4012345679
"MA",1897,2621825,NA,NA,NA,272311,528,NA,NA,NA,74902,196881,NA,51246,34940,16306,102312,8673,434542,269208,66787,271,201352,798,2025,27686,265,94314,41044,434542,267,641212,215538,NA,NA,NA,267745,237228,125790,111438,140653,17108,1036201,822185,66889,271,"277687","477338",2093,27686,"1305   1",5189,77743,1036201,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14826,NA,NA,NA,NA,NA,NA,NA,NA,6004,NA,NA,NA,NA,NA,NA,NA,NA,NA,2856,5189,NA,NA,NA,NA,NA,9819.56928838951,5383.62422997947
"MA",1898,2681624,NA,NA,NA,266594,534,NA,NA,NA,75712,190348,NA,49777,30975,18802,108767,9922,435060,277730,67862,765,208191,912,2524,23678,222,90578,40328,435060,263,646750,223191,NA,NA,NA,268384,249863,127842,122021,155886,18290,1070789,862749,67937,765,"302156","491891",2524,23678,"1618   1",1453,78767,1070789,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14783,NA,NA,NA,NA,NA,NA,NA,NA,5954,NA,NA,NA,NA,NA,NA,NA,NA,NA,3954,5010,NA,NA,NA,NA,NA,10196.288973384,5575.10187110187
"MA",1899,2742788,NA,NA,NA,293711,728,NA,NA,NA,103246,189737,NA,54502,32224,22278,132217,7841,488271,344583,84757,5707,253160,959,2140,21497,482,80978,38591,488271,250,714376,230304,NA,NA,NA,267871,255441,124008,131433,182515,17348,1169680,971834,84809,5707,"368853","512465",2140,21497,"1302",92353,80554,1169680,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14991,NA,NA,NA,NA,NA,NA,NA,NA,6317,NA,NA,NA,NA,NA,NA,NA,NA,NA,3767,5232,NA,NA,NA,NA,NA,10971.152,5835.71914893617
"MA",1900,2805346,NA,NA,NA,282178,622,NA,NA,NA,88264,193292,NA,57273,33887,23386,109538,8120,457109,306342,88541,6092,210629,1080,5147,24350,336,78718,42216,457109,248,715500,238258,NA,NA,NA,265482,266984,125793,141191,153411,18185,1154080,946043,88592,6092,"313898","537461",5147,24350,"576",90093,87871,1154080,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16983,NA,NA,NA,NA,NA,NA,NA,NA,6406,NA,NA,NA,NA,NA,NA,NA,NA,NA,3171,4554,NA,NA,NA,NA,NA,11311.8790322581,5994.32905982906
"MA",1901,2856963,NA,NA,NA,292885,650,NA,NA,NA,92195,200040,NA,61324,34319,27005,123080,7851,485140,332971,95059,5687,230771,1454,2593,26379,2263,77273,43661,485140,246,754574,250143,NA,NA,NA,275285,285302,127613,157689,166465,18378,1224719,1011639,95091,5687,"344000","566861",2593,26379,"3675",88848,91585,1224719,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15544,NA,NA,NA,NA,NA,NA,NA,NA,6320,NA,NA,NA,NA,NA,NA,NA,NA,NA,3681,4572,NA,NA,NA,NA,NA,11613.6707317073,6117.69379014989
"MA",1902,2909529,NA,NA,NA,284169,678,NA,NA,NA,96224,187267,NA,59111,29554,29557,115568,7265,466113,324390,89564,6598,226526,1702,2123,21243,2273,73187,42897,466113,241,777591,260797,NA,NA,NA,264081,292201,124090,168111,160832,20162,1250786,1039361,89652,6598,"347763","595348",2123,21243,"5943",86412,95704,1250786,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14755,NA,NA,NA,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA,2890,4407,NA,NA,NA,NA,NA,12072.734439834,6284.07991360691
"MA",1903,2963063,NA,NA,NA,281748,637,NA,NA,NA,90368,190743,NA,61864,34201,27663,106198,10870,460680,313822,77735,10567,223587,1933,2119,25209,3943,71613,43974,460680,236,793816,272883,NA,NA,NA,272238,306827,126504,180323,147516,24984,1273143,1048544,77802,10567,"343887","616288",2119,25209,"6534",86838,103899,1273143,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15796,NA,NA,NA,NA,NA,NA,NA,NA,6077,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752,4762,NA,NA,NA,NA,NA,12555.3516949153,6399.70410367171
"MA",1904,3017581,NA,NA,NA,265625,591,NA,NA,NA,83878,181156,NA,62808,33386,29422,123369,9567,461369,321481,91600,6828,220871,2182,1488,27064,3738,63926,43672,461369,222,774520,281615,NA,NA,NA,263031,330050,132067,197983,172254,24564,1301388,1080094,91653,6828,"342561","639052",1488,27064,"5538",78952,108252,1301388,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15565,NA,NA,NA,NA,NA,NA,NA,NA,6461,NA,NA,NA,NA,NA,NA,NA,NA,NA,3356,4226,NA,NA,NA,NA,NA,13592.7072072072,6735.671875
"MA",1905,3073103,NA,NA,NA,284414,655,NA,NA,NA,92917,190842,NA,67527,31528,35999,118124,11251,481316,341596,93003,3285,242608,2700,2023,28113,2508,63243,43833,481316,215,852923,292035,NA,NA,NA,295760,350239,129016,221223,170744,27182,1401088,1176192,95110,3285,"406213","671584",2023,28113,"3310",79618,111832,1401088,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14380,NA,NA,NA,NA,NA,NA,NA,NA,6880,NA,NA,NA,NA,NA,NA,NA,NA,NA,2685,3905,NA,NA,NA,NA,NA,14293.5023255814,6905.84943820225
"MA",1906,3129646,NA,NA,NA,275915,606,NA,NA,NA,86031,189278,NA,58603,28763,29840,112108,12216,458842,320947,85760,3918,228091,3178,1255,27220,3220,60527,45673,458842,206,879707,304445,NA,NA,NA,305254,357552,130450,227102,162065,28311,1427635,1197132,87391,3918,"401657","704166",1330,27220,"5156",78453,118344,1427635,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13887,NA,NA,NA,NA,NA,NA,NA,NA,6114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,3223,NA,NA,NA,NA,NA,15192.4563106796,7080.64705882353
"MA",1907,3187230,NA,NA,NA,289441,614,NA,NA,NA,87087,201740,NA,62653,28535,34118,118738,14372,485204,342573,87669,7168,242991,4745,1190,28937,4505,59217,48782,485204,203,901736,317420,NA,NA,NA,326097,369048,123671,245377,171347,32716,1474847,1235143,90981,7168,"417854","719140",1376,28937,"6160",76319,126912,1474847,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489,NA,NA,NA,NA,NA,NA,NA,NA,7331,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242,3964,NA,NA,NA,NA,NA,15700.6403940887,6274.07480314961
