"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MD",1896,1127487,NA,NA,NA,41297,254,NA,NA,NA,12425,28618,NA,9636,6574,3062,17118,3111,71162,41601,5932,271,34273,1125,396,4568,10,17055,7532,71162,68,61838,6665,NA,NA,NA,38016,53847,34461,19386,21721,4965,142371,103245,6294,271,44424,52256,396,4568,34,22098,12030,142371,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2799,NA,NA,NA,NA,NA,NA,NA,NA,1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,1158,NA,NA,NA,NA,NA,16580.6911764706,8808.4921875
"MD",1897,1142331,NA,NA,NA,41739,261,NA,NA,NA,12803,28675,NA,10602,6601,4001,17173,3221,72735,42893,8126,292,33279,1196,446,4370,8,17055,7963,72735,68,62632,6609,NA,NA,NA,35791,58299,37373,20926,21664,5327,147922,108338,8280,292,44522,55244,446,4370,66,21257,13445,147922,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2973,NA,NA,NA,NA,NA,NA,NA,NA,1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,1056,NA,NA,NA,NA,NA,16798.9852941176,8524.85820895522
"MD",1898,1157370,NA,NA,NA,46295,307,NA,NA,NA,15063,30925,NA,10538,6471,4067,19433,3617,79883,49738,9899,665,37807,1367,657,4081,109,17025,8273,79883,70,69964,7381,NA,NA,NA,36115,61817,37953,23864,25475,5930,163186,116010,10181,665,46892,58272,666,4081,1904,23904,16621,163186,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA,NA,NA,NA,NA,NA,NA,NA,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,1150,NA,NA,NA,NA,NA,16533.8571428571,8447.95620437956
"MD",1899,1172606,NA,NA,NA,51024,451,NA,NA,NA,22102,28471,NA,15309,10223,5086,22993,3575,92901,63317,13080,2961,45838,1438,564,4886,367,15695,8072,92901,69,82587,6702,NA,NA,NA,43380,79230,41872,37358,31231,7550,200598,149972,13725,2961,70854,62432,569,4886,440,25966,18765,200598,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3371,NA,NA,NA,NA,NA,NA,NA,NA,1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,1046,NA,NA,NA,NA,NA,16994.2898550725,8951.19083969466
"MD",1900,1188044,NA,NA,NA,52940,487,NA,NA,NA,23865,28588,NA,16629,10738,5891,24351,3567,97487,66189,17886,2607,44076,1620,860,6399,49,15033,8957,97487,69,88184,6900,NA,NA,NA,42042,84777,43498,41279,31552,11609,216122,153279,19153,2607,66712,64807,870,6399,1137,30333,24104,216122,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4024,NA,NA,NA,NA,NA,NA,NA,NA,1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,1069,NA,NA,NA,NA,NA,17218.0289855072,8425.84397163121
"MD",1901,1198362,NA,NA,NA,55266,521,NA,NA,NA,25509,29236,NA,17544,10510,7034,25186,3609,101605,70139,19262,2492,46205,2180,441,6300,52,15647,9026,101605,76,92102,6379,NA,NA,NA,41232,91632,41693,49939,39681,8430,231845,168187,19661,2492,75357,70677,468,6300,1328,29676,25886,231845,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3483,NA,NA,NA,NA,NA,NA,NA,NA,1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,1186,NA,NA,NA,NA,NA,15767.9210526316,7731.36774193548
"MD",1902,1208769,NA,NA,NA,60689,569,NA,NA,NA,27894,32226,NA,18342,10462,7880,26983,3912,109926,75083,19765,2944,49822,2552,1390,5787,69,16817,10780,109926,82,110368,6942,NA,NA,NA,48237,94573,43186,51387,37829,9992,252762,184073,20013,2944,85059,76057,1399,5787,645,32748,28110,252762,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3694,NA,NA,NA,NA,NA,NA,NA,NA,1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,1271,NA,NA,NA,NA,NA,14741.0853658537,7325.87272727273
"MD",1903,1219266,NA,NA,NA,65055,572,NA,NA,NA,28052,36431,NA,19458,10688,8770,24004,4825,113342,75680,19591,3215,49975,2899,1851,6400,646,16979,11786,113342,86,113637,5818,NA,NA,NA,50473,101697,42784,58913,32914,12901,261149,187165,20675,3215,87510,75765,1895,6400,2170,31182,32337,261149,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268,NA,NA,NA,NA,NA,NA,NA,NA,1647,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,1322,NA,NA,NA,NA,NA,14177.511627907,7047.78034682081
"MD",1904,1229855,NA,NA,NA,64307,565,NA,NA,NA,27666,36076,NA,23156,12078,11078,29712,4281,121456,83608,21707,2196,56433,3272,2061,7299,243,16390,11855,121456,88,101478,6018,NA,NA,NA,50046,107522,45998,61524,40497,9384,258881,187474,24962,2196,86186,74130,2081,7299,1173,30763,30091,258881,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097,NA,NA,NA,NA,NA,NA,NA,NA,1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,1269,NA,NA,NA,NA,NA,13975.625,6870.69832402235
"MD",1905,1240535,NA,NA,NA,69391,581,NA,NA,NA,28494,40316,NA,26232,12929,13303,29704,4831,130158,90855,25214,1309,60283,4049,1422,8761,360,16785,11975,130158,89,106171,6867,NA,NA,NA,50744,118200,47857,70343,40236,14418,279025,205796,26429,1309,96047,82011,1434,8761,1116,29869,32049,279025,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4251,NA,NA,NA,NA,NA,NA,NA,NA,1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,561,1866,NA,NA,NA,NA,NA,13938.595505618,6669.54301075269
