"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"ME",1896,680916,NA,NA,NA,22343,126,NA,NA,NA,4209,18008,NA,8434,6372,2062,6165,928,37870,16960,1319,188,14143,1310,630,4958,82,11121,4119,37870,82,40075,8402,NA,NA,NA,21842,54307,27151,27156,7995,2861,105238,78996,1368,188,15802,61638,759,4958,196,12633,7696,105238,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1626,NA,NA,NA,NA,NA,NA,NA,NA,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,747,NA,NA,NA,NA,NA,8303.85365853659,4479.71052631579
"ME",1897,684279,NA,NA,NA,22669,117,NA,NA,NA,3918,18634,NA,9305,7222,2083,6694,977,39645,18341,1940,174,14834,1393,654,5157,9,11171,4313,39645,83,40951,8686,NA,NA,NA,22887,57141,28449,28692,8708,2884,109684,83250,2009,174,16713,64354,693,5157,81,12557,7946,109684,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688,NA,NA,NA,NA,NA,NA,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,774,NA,NA,NA,NA,NA,8244.32530120482,4561.86
"ME",1898,687658,NA,NA,NA,22164,125,NA,NA,NA,4197,17842,NA,9436,7411,2025,7114,1038,39752,18417,1843,190,14792,1592,719,5360,63,11071,4122,39752,82,40856,8786,NA,NA,NA,22405,58655,28183,30472,9075,2523,111109,84482,1892,190,17046,65354,819,5360,167,12457,7824,111109,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645,NA,NA,NA,NA,NA,NA,NA,NA,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,791,NA,NA,NA,NA,NA,8386.07317073171,4615.15436241611
"ME",1899,691054,NA,NA,NA,22479,131,NA,NA,NA,4387,17961,NA,9986,6477,3509,8530,997,41992,21575,2014,355,17531,1675,258,4787,140,10971,4261,41992,82,40794,8932,NA,NA,NA,22574,62917,28328,34589,11384,2553,117648,91494,2087,355,20898,68154,433,4787,228,12569,8137,117648,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1779,NA,NA,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,762,NA,NA,NA,NA,NA,8427.48780487805,4607.02666666667
"ME",1900,694466,NA,NA,NA,24065,140,NA,NA,NA,4673,19252,NA,11204,6740,4464,7901,1157,44327,22481,1605,335,18655,1886,323,5555,103,10846,5019,44327,82,43193,9048,NA,NA,NA,24619,69380,27593,41787,10553,2620,125746,97752,1621,335,22375,73421,503,5555,162,12448,9326,125746,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2214,NA,NA,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,770,NA,NA,NA,NA,NA,8469.09756097561,4629.77333333333
"ME",1901,699114,NA,NA,NA,24832,146,NA,NA,NA,4895,19791,NA,11963,6657,5306,8488,1040,46323,24891,2172,342,19838,2539,333,5597,1,10521,4980,46323,84,44857,8864,NA,NA,NA,26341,74093,32595,41498,11664,3082,133696,105673,2216,342,26057,77058,443,5597,96,12123,9764,133696,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,822,NA,NA,NA,NA,NA,8322.78571428571,4599.43421052632
"ME",1902,703793,NA,NA,NA,26849,160,NA,NA,NA,5344,21345,NA,11623,5946,5677,7832,1046,47350,26435,1800,370,21293,2972,304,4960,107,10498,5046,47350,86,48169,9834,NA,NA,NA,27626,77692,27609,50083,10788,3041,139690,111351,1843,370,28281,80857,398,4960,252,12175,10554,139690,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,NA,NA,NA,NA,NA,NA,NA,NA,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,747,NA,NA,NA,NA,NA,8183.63953488372,4540.6
"ME",1903,708503,NA,NA,NA,28642,177,NA,NA,NA,5924,22541,NA,12810,6786,6024,6362,1169,48983,26446,1658,551,20862,3375,764,5583,274,10496,5420,48983,86,52223,10146,NA,NA,NA,29174,81578,29151,52427,9369,3140,146310,115367,2372,551,27815,84629,1147,5583,317,12268,11628,146310,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,NA,NA,NA,NA,NA,NA,NA,NA,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,729,NA,NA,NA,NA,NA,8238.40697674419,4541.6858974359
"ME",1904,713245,NA,NA,NA,29803,194,NA,NA,NA,6482,23127,NA,12698,6784,5914,7508,1270,51279,28734,1678,440,22806,3810,687,5885,243,10141,5589,51279,84,55186,10923,NA,NA,NA,31208,85046,31340,53706,10985,3328,154545,122107,1705,440,30363,89599,1167,5885,297,12213,12876,154545,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,728,NA,NA,NA,NA,NA,8491.0119047619,4514.20886075949
"ME",1905,718019,NA,NA,NA,30230,182,NA,NA,NA,6106,23942,NA,13810,6883,6927,7363,1376,52779,30042,1828,344,23155,4715,738,5904,273,10047,5775,52779,84,55502,11096,NA,NA,NA,31925,90506,32492,58014,11228,3567,160803,127481,1877,344,31643,93617,1080,5904,353,12172,13813,160803,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2064,NA,NA,NA,NA,NA,NA,NA,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,725,NA,NA,NA,NA,NA,8547.84523809524,4544.42405063291
