"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MI",1896,2284423,NA,NA,NA,43929,250,NA,NA,NA,9019,34660,NA,6819,5807,1012,13406,1980,66134,43476,7058,401,"33281",2736,552,4071,1,13159,4875,66134,92,121032,23512,NA,NA,NA,75191,13978,9163,4815,33178,5762,173950,129897,9141,401,"68438",51917,1066,4071,"117",28514,10285,173950,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3258,NA,NA,NA,NA,NA,NA,NA,NA,1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,1038,NA,NA,NA,NA,NA,24830.6847826087,4578.00200400802
"MI",1897,2317823,NA,NA,NA,39946,245,NA,NA,NA,8823,30878,NA,7007,5732,1275,17788,2013,66754,46598,10419,400,"32871",2908,73,3523,0,12195,4365,66754,85,115900,25216,NA,NA,NA,68864,15068,9509,5559,42237,6260,179465,138623,13296,400,"69234",55693,246,3523,"123",27244,9706,179465,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2975,NA,NA,NA,NA,NA,NA,NA,NA,1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,892,829,NA,NA,NA,NA,NA,27268.5058823529,4580.67786561265
"MI",1898,2351711,NA,NA,NA,43898,301,NA,NA,NA,10849,32748,NA,8272,6136,2136,17081,2331,71582,51649,9924,393,"38008",3324,50,3733,0,11895,4255,71582,82,127366,27214,NA,NA,NA,74889,18559,10946,7613,43403,6959,196287,155502,13974,393,"76739",64396,133,3733,"126",26848,9945,196287,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2955,NA,NA,NA,NA,NA,NA,NA,NA,1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,865,NA,NA,NA,NA,NA,28679.4024390244,4629.35236220472
"MI",1899,2386095,NA,NA,NA,46000,355,NA,NA,NA,12801,32844,NA,11241,8061,3180,19384,2341,78966,58706,10433,1355,"43422",3496,70,4159,0,11645,4386,78966,80,138801,33442,NA,NA,NA,76316,22638,13385,9253,48221,7456,217116,176075,14603,1355,"86463",73654,112,4159,"124",26826,9820,217116,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3042,NA,NA,NA,NA,NA,NA,NA,NA,1608,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,794,NA,NA,NA,NA,NA,29826.1875,4669.46183953033
"MI",1900,2420982,NA,NA,NA,49037,356,NA,NA,NA,12835,35846,NA,11842,8346,3496,19608,2290,82777,61281,9381,1477,"46486",3937,251,4815,12,11412,5006,82777,81,150356,34888,NA,NA,NA,84767,25109,14539,10570,48127,7494,231086,187111,13190,1477,"95350",77094,476,4815,"137",27359,11188,231086,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3711,NA,NA,NA,NA,NA,NA,NA,NA,1671,NA,NA,NA,NA,NA,NA,NA,NA,NA,836,879,NA,NA,NA,NA,NA,29888.6666666667,4646.79846449136
"MI",1901,2457343,NA,NA,NA,53602,402,NA,NA,NA,14499,38701,NA,14044,9225,4819,23285,2125,93056,71428,12099,1622,"52406",5301,70,5192,0,11585,4781,93056,85,164380,38756,NA,NA,NA,91398,30656,16970,13686,58894,7169,261099,215763,17147,1622,"107673",89321,238,5192,"123",28198,11585,261099,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432,NA,NA,NA,NA,NA,NA,NA,NA,1749,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,1030,NA,NA,NA,NA,NA,28909.9176470588,4610.39962476548
"MI",1902,2494249,NA,NA,NA,57442,422,NA,NA,NA,15202,41818,NA,14296,9296,5000,24579,1991,98308,76703,12625,1984,"55890",6204,278,4844,9,11380,5094,98308,84,180525,44333,NA,NA,NA,98944,32399,17585,14814,61447,7182,281553,235013,18439,1984,"116891",97699,453,4844,"129",28415,12699,281553,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5379,NA,NA,NA,NA,NA,NA,NA,NA,2479,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,1653,NA,NA,NA,NA,NA,29693.4404761905,4446.07664884135
"MI",1903,2531710,NA,NA,NA,64336,478,NA,NA,NA,17214,46644,NA,15882,11021,4861,21063,2222,103503,78096,11178,2200,"57671",7047,221,6597,130,12485,5974,103503,86,197242,42027,NA,NA,NA,114120,42222,22667,19555,59283,7734,306481,252122,16409,2200,"126695",106818,643,6597,"256",31336,15527,306481,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3955,NA,NA,NA,NA,NA,NA,NA,NA,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,1088,NA,NA,NA,NA,NA,29438.488372093,4254.97478991597
"MI",1904,2569734,NA,NA,NA,64617,501,NA,NA,NA,18044,46072,NA,17235,11779,5456,22395,2240,106487,79642,11128,1659,"58902",7953,223,7344,64,12730,6484,106487,88,202562,45782,NA,NA,NA,113830,44226,23723,20503,61452,8119,316359,259275,16443,1659,"127870",113303,632,7344,"238",31919,16951,316359,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4114,NA,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,1070,NA,NA,NA,NA,NA,29201.5227272727,4254.52649006623
"MI",1905,2608329,NA,NA,NA,67114,497,NA,NA,NA,17892,48725,NA,16586,11437,5149,26118,2312,112130,85572,12536,1284,"61909",9843,363,7107,9,12700,6379,112130,88,210806,47336,NA,NA,NA,119500,47654,25057,22597,67270,8489,334219,275905,18079,1284,"133362",123180,617,7107,"178",32400,18012,334219,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4218,NA,NA,NA,NA,NA,NA,NA,NA,2231,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,1164,NA,NA,NA,NA,NA,29640.1022727273,4268.95090016367
"MI",1906,2647503,NA,NA,NA,77872,694,NA,NA,NA,25004,52174,NA,18325,11978,6347,28052,2363,126612,98576,13808,1158,"72024",11586,94,7750,57,12955,7180,126612,88,244238,55128,NA,NA,NA,133675,50380,26039,24341,75822,9304,379744,317071,20670,1158,"154958",140285,264,7750,"225",34163,20271,379744,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4644,NA,NA,NA,NA,NA,NA,NA,NA,2457,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,1206,NA,NA,NA,NA,NA,30085.2613636364,4066.82488479263
"MI",1907,2687266,NA,NA,NA,84663,736,NA,NA,NA,26525,57402,NA,19350,12743,6607,30334,2630,136977,108130,15269,3348,"72217",17296,80,7184,156,13335,8092,136977,91,269513,62236,NA,NA,NA,146866,52922,27003,25919,80202,10023,412660,344796,22239,3348,"159398",159811,474,7184,"291",36263,23652,412660,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5422,NA,NA,NA,NA,NA,NA,NA,NA,2767,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,1232,NA,NA,NA,NA,NA,29530.3956043956,3872.14121037464
"MI",1908,2727626,NA,NA,NA,82623,776,NA,NA,NA,27977,53870,NA,21578,13505,8073,32709,3344,140254,107864,15186,2547,"69118",21013,132,8764,263,15010,8221,140254,96,255701,58611,NA,NA,NA,137464,58492,28918,29574,84011,11188,409392,336017,21515,2547,"150535",161420,744,8764,"369",38827,24671,409392,711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5689,NA,NA,NA,NA,NA,NA,NA,NA,3119,NA,NA,NA,NA,NA,NA,NA,NA,NA,997,1204,NA,NA,NA,NA,NA,28412.7708333333,3836.32348804501
"MI",1909,2768592,NA,NA,NA,85846,833,NA,NA,NA,30158,54855,NA,26202,15621,10581,34905,3669,150622,117176,18525,1604,"67318",29729,149,9306,287,14986,8718,150622,97,268853,70696,NA,NA,NA,134388,63351,31050,32301,89401,11919,433524,357700,25299,1604,"148299",182498,789,9306,"489",39381,25859,433524,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6094,NA,NA,NA,NA,NA,NA,NA,NA,3721,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,1306,NA,NA,NA,NA,NA,28542.1855670103,3818.7475862069
"MI",1910,2810173,NA,NA,NA,96834,1040,NA,NA,NA,32299,63495,NA,26621,16209,10412,35550,3900,162905,127372,18994,945,"67280",40153,525,10203,314,15187,9304,162905,101,311777,85678,NA,NA,NA,152559,66660,33335,33325,97047,12738,488222,407336,26814,945,"167099",212478,1168,10203,"714",41456,27345,488222,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6688,NA,NA,NA,NA,NA,NA,NA,NA,4126,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,1357,NA,NA,NA,NA,NA,27823.4950495049,3697.59605263158
"MI",1911,2886075,NA,NA,NA,97284,1126,NA,NA,NA,30712,65446,NA,29557,17111,12446,41337,4013,172191,137177,22392,977,"71975",41833,91,9930,286,14710,9997,172191,100,328737,94636,NA,NA,NA,159469,73189,36286,36903,111534,13104,526564,442453,31891,977,"179515",230070,951,9930,"791",42166,30273,526564,787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6947,NA,NA,NA,NA,NA,NA,NA,NA,4372,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,1391,NA,NA,NA,NA,NA,28860.75,3667.18551461245
"MI",1912,2964026,NA,NA,NA,105983,1219,NA,NA,NA,35913,68851,NA,33380,18182,15198,46253,4481,190097,153632,23181,1392,"84976",44083,155,10276,312,15010,10712,190097,99,363653,107891,NA,NA,NA,173812,83925,38270,45655,120671,14006,582255,491289,33001,1392,"203714",253182,1211,10276,"934",45206,33339,582255,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7491,NA,NA,NA,NA,NA,NA,NA,NA,4825,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,1360,NA,NA,NA,NA,NA,29939.6565656566,3790.31457800511
"MI",1913,3044084,NA,NA,NA,110384,1229,NA,NA,NA,36861,72294,NA,34469,17980,16489,42695,4823,192371,154084,20212,930,"82491",50451,843,10603,383,15010,11448,192371,99,388785,115706,NA,NA,NA,186629,87642,38422,49220,115130,15438,606995,508814,29083,930,"199983",278818,2498,10603,"1144",47695,36241,606995,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8481,NA,NA,NA,NA,NA,NA,NA,NA,5535,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,1445,NA,NA,NA,NA,NA,30748.3232323232,3800.35455680399
"MI",1914,3126303,NA,NA,NA,110584,2092,NA,NA,NA,40805,67687,NA,39391,20386,19005,48263,5084,203322,163628,22109,1114,"90982",49423,516,10569,363,16437,11809,203322,99,396791,111802,NA,NA,NA,207381,102017,41195,60822,133845,16214,648867,544516,32598,1114,"229868",280936,2376,10569,"1436",50948,39022,648867,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8601,NA,NA,NA,NA,NA,NA,NA,NA,5764,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,1689,NA,NA,NA,NA,NA,31578.8181818182,3903
"MI",1915,3210743,NA,NA,NA,112162,2491,NA,NA,NA,42511,67160,NA,44180,22872,21308,46468,5926,208736,166392,24997,915,"94096",46384,642,10763,316,17561,13062,208736,104,401023,118692,NA,NA,NA,197527,133702,49044,84658,141933,18744,695402,583259,37309,938,"251454",293558,2999,10763,"1482",53391,43508,695402,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9239,NA,NA,NA,NA,NA,NA,NA,NA,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,1688,NA,NA,NA,NA,NA,30872.5288461538,3978.61586121437
"MI",1916,3297464,NA,NA,NA,131295,4132,NA,NA,NA,53809,73354,NA,51023,25333,25690,54950,7138,244406,201113,28222,875,"114181",57835,981,10254,1089,17670,13299,244406,105,491208,144489,NA,NA,NA,232476,148623,54844,93779,170495,22740,833066,713546,44347,949,"306930",361320,3320,10254,"2620",57030,46296,833066,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10425,NA,NA,NA,NA,NA,NA,NA,NA,7067,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,1734,NA,NA,NA,NA,NA,31404.419047619,4026.20757020757
"MI",1917,3386527,NA,NA,NA,148340,5474,NA,NA,NA,58294,84572,NA,58846,27862,30984,53548,7834,268568,221490,26343,866,"117405",76876,3462,10048,1495,17965,14108,268568,106,577413,170112,NA,NA,NA,275685,179604,64727,114877,177969,24299,959285,827699,43914,1001,"354842",427942,7457,10048,"2733",60088,51260,959285,828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11393,NA,NA,NA,NA,NA,NA,NA,NA,7734,NA,NA,NA,NA,NA,NA,NA,NA,NA,945,1708,NA,NA,NA,NA,NA,31948.3679245283,4090.00845410628
"MI",1918,3477996,NA,NA,NA,154369,5874,NA,NA,NA,55786,92709,NA,75907,45563,30344,56883,9520,296679,231559,21723,9208,"113752",86876,17878,10368,4173,18030,14671,296679,105,613391,194931,NA,NA,NA,286468,220646,108622,112024,165336,28729,1028102,857935,37676,28633,"353633",437993,35724,10368,"7356",63587,53132,1028102,845,12114,NA,NA,NA,185,NA,12,NA,NA,602,12913,1859,"310",4594,NA,NA,NA,745,1399,8917,273,NA,NA,513,373,NA,NA,164,NA,1050,1847,NA,NA,NA,NA,NA,33123.7714285714,4115.97159763314
"MI",1919,3571935,NA,NA,NA,159481,6846,NA,NA,NA,59350,93285,NA,114186,78790,35396,67325,15077,356069,280184,25821,7392,"149130",97841,11576,10666,18088,18905,16650,356069,108,668409,220050,NA,NA,NA,297830,350277,222045,128232,197226,34332,1250244,1028627,43785,20734,"443611",520497,54648,10666,"33079",65635,57589,1250244,843,13672,NA,NA,NA,237,NA,3,NA,NA,441,14353,2209,"570",5005,NA,NA,NA,940,1564,10296,181,NA,NA,358,366,NA,NA,395,NA,1119,1905,NA,NA,NA,NA,89,33073.4722222222,4237.17081850534
"MI",1920,3668412,2947,NA,NA,234910,9173,NA,NA,NA,80670,145067,NA,96736,60433,36303,74000,18130,423776,318787,23701,3476,"169072",122538,41146,11284,10670,22115,19774,423776,112,905685,246328,NA,NA,NA,461665,350562,217745,132817,213032,40652,1509931,1238884,40937,6199,"526168",665580,85817,11284,"21826",79587,72533,1509931,851,17393,NA,NA,NA,368,NA,6,NA,NA,722,18489,2806,"1196",5966,NA,NA,NA,1238,1973,13181,305,NA,NA,276,636,NA,NA,208,NA,1120,2369,NA,NA,NA,NA,112,32753.6785714286,4310.70740305523
"MI",1921,3771687,2274,NA,NA,221605,11119,NA,NA,NA,72141,138345,NA,90241,54267,35974,56106,20010,387962,296459,20062,2934,"148170",125293,26131,12332,7835,23015,22190,387962,117,874249,272675,NA,NA,NA,415125,315056,176638,138418,161421,47304,1398030,1118587,31522,7694,"441448",637923,87812,12332,"15649",86390,77260,1398030,873,20771,NA,NA,NA,264,77,7,NA,NA,709,21828,3331,"2439",6357,NA,NA,NA,1531,2337,16006,203,NA,NA,435,1409,NA,NA,352,146,2342,2572,0,8,0,0,83,32236.641025641,4320.37457044674
"MI",1922,3877870,2270,NA,NA,217079,13062,NA,NA,NA,77028,126989,NA,99477,64059,35418,69918,17217,403691,337424,24641,1729,"178476",132578,4707,12694,2253,23075,23538,403691,119,864305,297256,NA,NA,NA,362344,312318,185982,126336,194792,48271,1419686,1205051,37411,3782,"483596",680262,23461,12694,"7563",88378,82539,1419686,888,18989,NA,NA,NA,203,151,4,NA,NA,1234,20581,3479,"732",6919,NA,NA,NA,1484,2517,15131,558,NA,NA,1082,659,NA,NA,377,42,2160,2835,0,4,0,413,88,32587.1428571429,4366.97072072072
"MI",1923,3987042,2793,NA,NA,235937,15988,NA,NA,NA,87568,132381,NA,109471,70250,39221,67676,19327,432411,365212,25756,7081,"185853",146522,3132,12985,2032,24200,24850,432411,119,953778,340107,NA,NA,NA,387990,374463,228717,145746,198804,56885,1583930,1358481,43865,13742,"520348",780526,21700,12985,"9119",92749,88896,1583930,884,19177,NA,NA,NA,201,62,4,NA,NA,1753,21197,3744,"427",7425,NA,NA,NA,1409,2867,15872,514,NA,NA,1360,279,NA,NA,277,21,1937,3002,0,3,0,914,108,33504.5546218487,4510.22850678733
