"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MN",1896,1559468,NA,NA,NA,38336,1034,NA,NA,NA,11885,25417,NA,4508,2942,1566,14213,2811,59868,38932,6108,565,28305,3954,130,1724,31,14850,4201,59868,76,87054,15631,NA,NA,NA,49027,9783,6128,3655,28588,10341,135766,92664,8121,565,"59537",24441,421,1724,1165,27226,12566,135766,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2573,NA,NA,NA,NA,NA,NA,NA,NA,1203,NA,NA,NA,NA,NA,NA,NA,NA,NA,884,674,NA,NA,NA,NA,NA,20519.3157894737,3520.24379232506
"MN",1897,1605381,NA,NA,NA,31095,816,NA,NA,NA,9383,20896,NA,5157,2825,2332,20888,2357,59497,40623,8642,571,27206,4204,88,1554,35,13165,4032,59497,71,70878,12873,NA,NA,NA,40402,10416,6294,4122,34706,9211,125211,87923,10052,571,"55077",22223,193,1554,1046,23225,11270,125211,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2812,NA,NA,NA,NA,NA,NA,NA,NA,1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,1718,506,NA,NA,NA,NA,NA,22611,3742.14685314685
"MN",1898,1652647,NA,NA,NA,35252,933,NA,NA,NA,10735,23584,NA,5698,2974,2724,21605,2634,65189,46862,10093,522,31441,4806,72,1537,124,12940,3654,65189,70,78532,13816,NA,NA,NA,45344,10899,6469,4430,36488,10217,136136,99046,11787,522,"62177",24560,242,1537,1330,23193,10788,136136,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2438,NA,NA,NA,NA,NA,NA,NA,NA,1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,944,571,NA,NA,NA,NA,NA,23609.2428571429,3713.81348314607
"MN",1899,1701304,NA,NA,NA,41265,1225,NA,NA,NA,14084,25956,NA,7913,4183,3730,22759,2520,74457,56888,13081,848,37904,5055,28,1845,63,12290,3343,74457,69,88312,14451,NA,NA,NA,50889,15175,9646,5529,39698,9926,153111,116190,16077,848,"73470",25795,117,1845,1274,22470,11215,153111,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3080,NA,NA,NA,NA,NA,NA,NA,NA,1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612,736,NA,NA,NA,NA,NA,24656.5797101449,3522.3685300207
"MN",1900,1751394,NA,NA,NA,46036,1315,NA,NA,NA,15120,29601,NA,10087,5833,4254,22010,2649,80782,60819,13794,1270,40063,5692,40,3353,373,12478,3719,80782,76,95474,15950,NA,NA,NA,55621,19410,12584,6826,38817,8073,161774,123528,16278,1270,"76730",29250,123,3353,1895,21469,11406,161774,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3011,NA,NA,NA,NA,NA,NA,NA,NA,1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,687,738,NA,NA,NA,NA,NA,23044.6578947368,3374.5549132948
"MN",1901,1781403,NA,NA,NA,49226,1174,NA,NA,NA,13495,34557,NA,10976,6499,4477,25722,2599,88523,68143,15779,1511,43189,7664,70,4011,217,12175,3907,88523,92,103322,17188,NA,NA,NA,65530,21060,14177,6883,43606,8923,176911,137710,18850,1511,"80894",36455,193,4011,1608,21111,12278,176911,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,NA,NA,NA,NA,NA,NA,NA,NA,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,884,NA,NA,NA,NA,NA,19363.0760869565,3169.75622775801
"MN",1902,1811926,NA,NA,NA,63484,1580,NA,NA,NA,18164,43740,NA,12983,7285,5698,28882,2767,108116,85974,19872,2124,55008,8970,230,4087,291,12974,4560,108116,117,125982,19995,NA,NA,NA,76785,25576,16766,8810,49133,8506,209197,167646,24194,2124,"98155",43173,375,4087,1766,22532,12791,209197,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3861,NA,NA,NA,NA,NA,NA,NA,NA,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,943,NA,NA,NA,NA,NA,15486.547008547,2931.91909385113
"MN",1903,1842971,NA,NA,NA,73068,1660,NA,NA,NA,19091,52317,NA,13697,8652,5045,28400,3508,118673,91456,20183,2507,58578,10188,415,5268,398,15445,5691,118673,171,139475,21693,NA,NA,NA,87117,27570,19155,8415,46853,8815,222713,176387,23809,2507,"103013",47058,568,5268,656,25377,14457,222713,703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4421,NA,NA,NA,NA,NA,NA,NA,NA,1772,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,1099,NA,NA,NA,NA,NA,10777.6081871345,2621.58036984353
"MN",1904,1874549,NA,NA,NA,75460,1702,NA,NA,NA,19578,54180,NA,14844,9541,5303,29789,4237,124330,91659,18472,2010,59678,11499,589,6628,443,17489,7522,124330,213,140913,22165,NA,NA,NA,87527,29367,20634,8733,48535,9935,228750,175608,22334,2010,"101274",49990,906,6628,1043,28214,16351,228750,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5208,NA,NA,NA,NA,NA,NA,NA,NA,2168,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,1396,NA,NA,NA,NA,NA,8800.69953051643,2447.19190600522
"MN",1905,1906668,NA,NA,NA,84929,1800,NA,NA,NA,20706,62423,NA,16258,10434,5824,37050,4168,142405,107722,24151,1549,67792,14230,325,7769,378,18156,8055,142405,224,155194,22582,NA,NA,NA,100210,29623,20612,9011,57182,9693,251692,196271,28783,1549,"112594",53345,768,7769,1347,29303,16234,251692,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5215,NA,NA,NA,NA,NA,NA,NA,NA,2372,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,1864,NA,NA,NA,NA,NA,8511.91071428571,2356.82076637824
