"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MO",1896,2928045,NA,NA,NA,52195,281,NA,NA,NA,21328,30586,NA,7129,4350,2779,22935,2584,84843,59282,21854,665,34423,"2340",1051,2736,37,17455,4282,84843,68,137743,14414,NA,NA,NA,33678,18563,5656,12907,55302,8696,220304,147650,26010,665,99222,"21753",1767,2736,"5143",47028,15980,220304,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896,NA,NA,NA,NA,NA,NA,NA,NA,1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,977,967,NA,NA,NA,NA,NA,43059.4852941177,4463.48323170732
"MO",1897,2971713,NA,NA,NA,52028,264,NA,NA,NA,20027,31737,NA,7634,5210,2424,30908,2434,93004,70965,31428,713,36337,"2487",132,2995,34,14815,4063,93004,63,131662,12318,NA,NA,NA,34262,18209,6307,11902,67264,7728,224863,160769,36416,713,102778,"20862",830,2995,"3335",41749,15185,224863,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3547,NA,NA,NA,NA,NA,NA,NA,NA,1716,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090,823,NA,NA,NA,NA,NA,47170.0476190476,4370.16617647059
"MO",1898,3016033,NA,NA,NA,64725,304,NA,NA,NA,23062,41359,NA,10258,5834,4424,35027,2777,112787,89382,43233,684,42622,"2843",708,3492,36,14665,4504,112787,63,156621,12144,NA,NA,NA,49067,21189,7029,14160,69082,7963,254855,189692,49933,684,115002,"24073",1645,3492,"2844",40981,16201,254855,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4438,NA,NA,NA,NA,NA,NA,NA,NA,1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271,887,NA,NA,NA,NA,NA,47873.5396825397,4611.67125382263
"MO",1899,3061014,NA,NA,NA,81338,435,NA,NA,NA,32995,47908,NA,17116,10018,7098,55865,2469,156788,130419,57480,2245,67704,"2990",13,5484,39,15615,5218,156788,63,172697,12308,NA,NA,NA,59183,29069,11440,17629,94504,7943,304213,235861,64508,2245,144102,"25006",462,5484,"3676",41978,16752,304213,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4736,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041,1053,NA,NA,NA,NA,NA,48587.5238095238,4673.30381679389
"MO",1900,3106665,NA,NA,NA,87907,504,NA,NA,NA,38263,49140,NA,24241,16729,7512,55981,2717,170846,133686,65925,3994,60400,"3367",46,10573,344,17865,8332,170846,64,193560,14466,NA,NA,NA,65861,40140,18711,21429,95721,8802,338223,252023,73457,3994,145695,"28877",376,10573,"6110",46764,22377,338223,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8426,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857,1449,NA,NA,NA,NA,NA,48541.640625,4595.65828402367
"MO",1901,3124846,NA,NA,NA,122033,720,NA,NA,NA,54683,66630,NA,33062,22081,10981,76103,2384,233582,187662,101735,3974,77420,"4533",120,14208,461,20135,10996,233582,71,250080,17434,NA,NA,NA,90235,55765,25081,30684,131669,9494,447008,339242,112571,3974,186166,"36531",225,14208,"9611",53500,30222,447008,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6190,NA,NA,NA,NA,NA,NA,NA,NA,2541,NA,NA,NA,NA,NA,NA,NA,NA,NA,811,1468,NA,NA,NA,NA,NA,44011.9154929577,4058.24155844156
"MO",1902,3143133,NA,NA,NA,132328,759,NA,NA,NA,57598,73971,NA,34447,21753,12694,75871,2356,245002,189902,88663,4416,91517,"5306",440,15054,1745,21410,16451,245002,73,295661,20516,NA,NA,NA,107011,66287,26003,40284,135596,9088,506632,378702,101225,4416,217527,"55534",2201,15054,"8407",59762,42506,506632,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8360,NA,NA,NA,NA,NA,NA,NA,NA,3321,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213,1850,NA,NA,NA,NA,NA,43056.6164383562,4092.62109375
"MO",1903,3161527,NA,NA,NA,148487,784,NA,NA,NA,59502,88201,NA,35941,22757,13184,83353,4727,272508,211276,104569,5243,95437,"6027",150,16491,1527,22870,20194,272508,81,331661,21941,NA,NA,NA,129254,71529,28202,43327,152265,12556,568011,423903,119862,5243,236728,"62070",616,16491,"3968",65863,57170,568011,772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8770,NA,NA,NA,NA,NA,NA,NA,NA,3570,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850,2343,NA,NA,NA,NA,NA,39031.1975308642,4095.24222797927
"MO",1904,3180029,NA,NA,NA,148846,770,NA,NA,NA,58471,89605,NA,40312,24809,15503,92727,5448,287333,222104,105452,4231,105619,"6802",90,18399,1923,23426,21391,287333,91,334302,23785,NA,NA,NA,142198,76891,31137,45754,164375,14148,589716,441359,124647,4231,249062,"63419",1112,18399,"3680",65545,59621,589716,828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8900,NA,NA,NA,NA,NA,NA,NA,NA,4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,2362,NA,NA,NA,NA,NA,34945.3736263736,3840.61473429952
"MO",1905,3198639,NA,NA,NA,163461,867,NA,NA,NA,65825,96769,NA,40225,23688,16537,103279,5324,312289,245353,120892,2605,113438,"8418",587,18317,1497,23583,22952,312289,98,362023,26146,NA,NA,NA,158685,85186,32365,52821,175277,15880,638366,482039,140733,2605,266314,"72387",2288,18317,"6583",67873,61266,638366,939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9767,NA,NA,NA,NA,NA,NA,NA,NA,4572,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458,2614,NA,NA,NA,NA,NA,32639.1734693878,3406.43130990415
