"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MS",1896,1440769,NA,NA,NA,2269,145,NA,NA,NA,826,1298,NA,643,453,190,854,177,3943,2249,85,0,2015,149,131,212,3,855,493,3943,10,10718,2959,NA,NA,NA,5175,1671,975,696,3315,721,16425,9169,251,0,7497,1421,1630,212,3,4274,1137,16425,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,83,NA,NA,NA,NA,NA,144076.9,16950.2235294118
"MS",1897,1467634,NA,NA,NA,2427,177,NA,NA,NA,1012,1238,NA,644,452,192,745,165,3981,2263,53,0,2052,158,148,209,3,855,503,3981,10,11740,3278,NA,NA,NA,5512,1451,941,510,3273,711,17175,10084,201,0,8527,1356,1136,209,3,4437,1306,17175,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,100,NA,NA,NA,NA,NA,146763.4,15781.0107526882
"MS",1898,1494999,NA,NA,NA,2530,185,NA,NA,NA,1057,1288,NA,686,473,213,977,174,4367,2664,99,0,2384,181,85,216,8,855,539,4367,10,12660,3568,NA,NA,NA,5928,1466,903,563,4294,732,19152,12193,348,0,10474,1371,777,216,8,4555,1403,19152,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,76,NA,NA,NA,NA,NA,149499.9,15572.90625
"MS",1899,1522875,NA,NA,NA,2825,162,NA,NA,NA,926,1737,NA,833,587,246,1141,174,4973,3130,145,0,2795,190,25,277,13,951,577,4973,12,13696,3847,NA,NA,NA,6662,1720,1119,601,4411,806,20633,13231,398,0,11130,1703,798,277,13,4734,1580,20633,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,84,NA,NA,NA,NA,NA,126906.25,14643.0288461538
"MS",1900,1551270,NA,NA,NA,3455,174,NA,NA,NA,994,2287,NA,1304,1050,254,1660,190,6609,4248,238,0,3796,214,87,569,6,980,719,6609,12,16681,4406,NA,NA,NA,8530,2243,1617,626,6021,845,25790,17038,462,0,14386,2190,1011,569,6,5260,1906,25790,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,111,NA,NA,NA,NA,NA,129272.5,13728.0530973451
"MS",1901,1574259,NA,NA,NA,4262,216,NA,NA,NA,1233,2813,NA,1407,1151,256,1363,188,7220,4095,223,0,3584,288,372,856,0,1130,767,7220,14,22642,5565,NA,NA,NA,12021,2523,1805,718,4961,891,31017,18560,1001,0,15090,2469,3329,856,0,6021,2251,31017,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,110,NA,NA,NA,NA,NA,112447.071428571,12017.2442748092
"MS",1902,1597589,NA,NA,NA,5205,268,NA,NA,NA,1533,3404,NA,1963,1657,306,2177,242,9587,6135,327,250,5221,337,116,973,49,1461,853,9587,17,24767,5589,NA,NA,NA,13576,3169,2349,820,6963,1038,35937,22813,691,250,19500,2372,2463,973,49,6930,2709,35937,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,171,NA,NA,NA,NA,NA,93975.8235294118,10942.3904109589
"MS",1903,1621264,NA,NA,NA,7338,361,NA,NA,NA,2061,4916,NA,2434,2053,381,3158,333,13263,8604,359,300,7562,383,205,1260,1,2185,1008,13263,20,31644,6510,NA,NA,NA,18017,3907,2872,1035,9485,1244,46280,30447,956,300,26363,2828,2791,1260,1,8741,3040,46280,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697,NA,NA,NA,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,282,NA,NA,NA,NA,NA,81063.2,9371.46820809248
"MS",1904,1645291,NA,NA,NA,9590,457,NA,NA,NA,2612,6521,NA,3009,2464,545,2716,445,15760,9585,433,290,8430,432,584,1398,122,2748,1323,15760,23,40730,8865,NA,NA,NA,22776,4442,3254,1188,10206,1649,57027,37648,1059,290,32422,3877,3481,1398,122,10419,3959,57027,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,283,NA,NA,NA,NA,NA,71534.3913043478,7986.84951456311
"MS",1905,1669673,NA,NA,NA,10126,537,NA,NA,NA,3068,6521,NA,2955,2439,516,3276,607,16964,9728,360,180,8653,535,955,1726,91,3020,1444,16964,26,46965,10520,NA,NA,NA,25715,4639,3346,1293,11645,2597,65846,40977,955,180,34860,4982,5665,1726,91,12337,5050,65846,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,368,NA,NA,NA,NA,NA,64218.1923076923,6573.5157480315
"MS",1906,1694417,NA,NA,NA,11132,640,NA,NA,NA,3657,6835,NA,3343,2839,504,2624,818,17917,9939,465,190,8655,629,1225,2140,104,2885,1624,17917,24,55114,12955,NA,NA,NA,29354,5145,3794,1351,11387,3382,75028,46000,1081,190,38288,6441,6548,2140,104,14278,5958,75028,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,994,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,271,NA,NA,NA,NA,NA,70600.7083333333,5782.99317406143
"MS",1907,1719528,NA,NA,NA,11590,660,NA,NA,NA,3767,7163,NA,3833,3326,507,3421,978,19822,11587,675,600,9372,940,794,2242,152,3225,1822,19822,26,56960,14090,NA,NA,NA,29666,5698,4301,1397,12976,3841,79475,49626,1253,600,39989,7784,5432,2242,152,15247,6776,79475,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,NA,NA,NA,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,391,NA,NA,NA,NA,NA,66135.6923076923,5619.37254901961
"MS",1908,1745010,NA,NA,NA,10472,598,NA,NA,NA,3413,6461,NA,4342,3766,576,3445,1167,19426,10555,385,663,8366,1141,732,2680,157,3380,1922,19426,29,51693,13047,NA,NA,NA,26659,6217,4735,1482,14543,3809,76262,46602,998,663,36861,8080,4408,2680,157,15877,6538,76262,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092,NA,NA,NA,NA,NA,NA,NA,NA,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,338,NA,NA,NA,NA,NA,60172.7586206897,5504.76340694006
