"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"MT",1896,196679,NA,NA,NA,13800,406,NA,NA,NA,3734,9660,NA,2834,1143,1691,4401,1106,22141,15384,1080,100,13506,698,343,646,10,4155,1603,22141,26,18988,1434,NA,NA,NA,12033,3487,1330,2157,7157,2274,31906,23174,1195,100,19327,2552,509,646,36,4780,2761,31906,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1371,NA,NA,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,858,271,NA,NA,NA,NA,NA,7564.57692307692,3512.125
"MT",1897,207428,NA,NA,NA,7466,259,NA,NA,NA,2384,4823,NA,1888,1008,880,4894,638,14886,10558,587,89,9140,742,142,535,10,2655,986,14886,21,12413,1230,NA,NA,NA,7059,2575,1181,1394,7763,1867,24618,18319,671,89,14666,2893,306,535,51,3260,2147,24618,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,NA,NA,NA,NA,NA,NA,NA,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,180,NA,NA,NA,NA,NA,9877.52380952381,4148.56
"MT",1898,218764,NA,NA,NA,8173,266,NA,NA,NA,2447,5460,NA,1819,1058,761,4011,613,14616,10252,620,92,8692,848,200,535,3,2555,1071,14616,21,13683,1094,NA,NA,NA,8409,2966,1418,1548,7886,1974,26509,20020,1220,92,15848,2860,367,535,4,3280,2303,26509,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,NA,NA,NA,NA,NA,NA,NA,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,127,NA,NA,NA,NA,NA,10417.3333333333,4207
"MT",1899,230720,NA,NA,NA,9011,279,NA,NA,NA,2568,6164,NA,2254,1531,723,4559,553,16377,12109,584,192,10441,892,145,536,295,2305,987,16377,21,15859,1333,NA,NA,NA,10065,3578,2149,1429,8415,1845,29697,23149,1532,192,18309,3116,318,536,313,3076,2305,29697,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276,NA,NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,322,NA,NA,NA,NA,NA,10986.6666666667,4120
"MT",1900,243329,NA,NA,NA,11003,317,NA,NA,NA,2918,7768,NA,2301,1724,577,4260,564,18128,13232,692,284,11251,1005,370,699,430,2305,1092,18128,21,19717,1391,NA,NA,NA,13255,3798,2519,1279,8482,2108,34105,26241,1408,284,20969,3580,566,699,638,3295,2666,34105,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,NA,NA,NA,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,369,NA,NA,NA,NA,NA,11587.0952380952,4345.16071428571
"MT",1901,254155,NA,NA,NA,11664,288,NA,NA,NA,2651,8725,NA,2241,1404,837,4724,487,19116,14211,647,273,11938,1353,418,898,2,2430,1157,19116,22,24000,1213,NA,NA,NA,17638,3809,2328,1481,10753,2277,40839,32420,1413,273,25128,5606,634,898,165,3620,3102,40839,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,307,NA,NA,NA,NA,NA,11552.5,4307.71186440678
"MT",1902,265464,NA,NA,NA,13184,363,NA,NA,NA,3342,9479,NA,2133,1448,685,5253,482,21052,15893,753,407,13150,1583,410,892,0,2460,1397,21052,23,27693,1947,NA,NA,NA,19093,4032,2556,1476,11765,2450,45940,36790,1876,407,27306,7201,659,892,283,3795,3521,45940,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1312,NA,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,507,345,NA,NA,NA,NA,NA,11541.9130434783,4022.18181818182
"MT",1903,277275,NA,NA,NA,13829,411,NA,NA,NA,3779,9639,NA,2117,1504,613,5599,460,22005,16534,849,386,13501,1798,458,928,0,2480,1605,22005,23,29765,1640,NA,NA,NA,21088,3796,2120,1676,12258,2504,48323,37635,1359,386,28451,7439,713,928,958,4130,3959,48323,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455,NA,NA,NA,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,407,NA,NA,NA,NA,NA,12055.4347826087,3798.28767123288
"MT",1904,289612,NA,NA,NA,13906,402,NA,NA,NA,3700,9804,NA,2285,1690,595,5540,537,22268,16505,870,388,13217,2030,390,979,1,2751,1642,22268,26,29613,1868,NA,NA,NA,20559,3878,2301,1577,12668,2862,49021,38241,1584,388,28529,7740,676,979,433,4636,4056,49021,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1467,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,517,NA,NA,NA,NA,NA,11138.9230769231,3531.85365853659
"MT",1905,302497,NA,NA,NA,14638,413,NA,NA,NA,3803,10422,NA,2671,1868,803,6273,606,24188,18014,1198,436,13868,2512,313,1188,1,2895,1777,24188,29,31342,2146,NA,NA,NA,21341,4305,2466,1839,14318,2890,52855,41457,2100,436,29027,9894,966,1188,174,4825,4245,52855,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,491,NA,NA,NA,NA,NA,10430.9310344828,3476.97701149425
