"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NC",1896,1778229,NA,NA,NA,6813,32,NA,NA,NA,1835,4946,NA,1302,1094,208,1844,472,10431,5343,397,163,4402,381,601,675,19,2751,1042,10431,28,13420,1023,NA,NA,NA,10430,1599,1203,396,3536,942,19497,10437,601,163,7840,1833,1100,675,234,5406,1645,19497,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,178,NA,NA,NA,NA,NA,63508.1785714286,19328.5760869565
"NC",1897,1806446,NA,NA,NA,6565,35,NA,NA,NA,2046,4484,NA,1316,1106,210,2154,452,10487,5712,424,203,4680,405,317,642,20,2701,1095,10487,27,13206,1031,NA,NA,NA,9996,1604,1172,432,4223,906,19939,10927,632,203,8175,1917,834,642,509,5265,1762,19939,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,180,NA,NA,NA,NA,NA,66905.4074074074,19217.5106382979
"NC",1898,1835110,NA,NA,NA,6626,31,NA,NA,NA,1811,4784,NA,1261,1066,195,2480,434,10801,6200,416,208,5113,463,165,591,4,2701,1140,10801,27,13828,1124,NA,NA,NA,10749,1662,1193,469,4806,1032,21328,12464,603,208,9330,2323,557,591,661,5226,1829,21328,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,190,NA,NA,NA,NA,NA,67967.037037037,18725.612244898
"NC",1899,1864229,NA,NA,NA,7856,38,NA,NA,NA,2209,5609,NA,1711,1531,180,3432,448,13447,8180,572,325,6796,487,165,886,4,2981,1231,13447,29,15128,1129,NA,NA,NA,11611,2334,1654,680,6085,1175,24722,15909,751,325,12005,2828,338,886,330,5288,1971,24722,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,206,NA,NA,NA,NA,NA,64283.7586206897,19623.4631578947
"NC",1900,1893810,NA,NA,NA,9462,43,NA,NA,NA,2502,6917,NA,2491,2308,183,2652,452,15057,8692,718,651,6775,548,433,1410,30,3006,1486,15057,30,18987,1472,NA,NA,NA,14632,3251,2476,775,5793,1253,29284,18795,919,651,13558,3667,703,1410,325,5614,2437,29284,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753,NA,NA,NA,NA,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,222,NA,NA,NA,NA,NA,63127,16049.2372881356
"NC",1901,1922954,NA,NA,NA,10517,44,NA,NA,NA,2554,7919,NA,2667,2505,162,3110,477,16771,9670,1135,638,7159,738,760,1700,30,3092,1519,16771,35,22403,1827,NA,NA,NA,17309,3443,2614,829,6069,1357,33272,20617,1399,638,14434,4146,1878,1700,423,6031,2623,33272,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,229,NA,NA,NA,NA,NA,54941.5428571429,13353.8472222222
"NC",1902,1952547,NA,NA,NA,11309,51,NA,NA,NA,2957,8301,NA,2840,2688,152,3426,485,18060,10529,1120,767,7778,864,760,1766,30,3280,1695,18060,38,24841,2081,NA,NA,NA,18720,3603,2782,821,7018,1388,36850,23546,1349,767,16423,5007,1540,1766,466,6586,2946,36850,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,238,NA,NA,NA,NA,NA,51382.8157894737,12678.8766233766
"NC",1903,1982595,NA,NA,NA,13420,62,NA,NA,NA,3602,9756,NA,3337,3114,223,4090,551,21398,12967,1756,888,9342,981,779,2013,56,3577,2006,21398,41,30455,2617,NA,NA,NA,22532,4296,3225,1071,9725,1907,46383,31173,2052,888,21378,6855,1215,2013,821,7820,3341,46383,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,270,NA,NA,NA,NA,NA,48355.9756097561,11662.3235294118
"NC",1904,2013106,NA,NA,NA,14869,66,NA,NA,NA,3830,10973,NA,3401,3168,233,4374,600,23244,14404,1831,723,10742,1108,726,2215,35,3625,2239,23244,43,35510,3162,NA,NA,NA,26041,4486,3208,1278,10154,1468,51618,35357,2359,723,24386,7889,1718,2215,60,8397,3871,51618,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,349,NA,NA,NA,NA,NA,46816.4186046512,9725.14975845411
"NC",1905,2044086,NA,NA,NA,16153,73,NA,NA,NA,4208,11872,NA,3852,3677,175,5226,773,26004,15709,1997,528,11814,1370,818,2920,70,4019,2468,26004,49,39664,3129,NA,NA,NA,29035,4901,3714,1187,11771,1763,58099,39592,2560,528,27275,9229,1827,2920,125,9183,4452,58099,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,357,NA,NA,NA,NA,NA,41716.0408163265,8242.28225806452
