"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"ND",1896,259891,NA,NA,NA,5200,359,NA,NA,NA,2964,1877,NA,939,564,375,1076,771,7986,4673,118,0,3490,1065,478,441,0,1810,584,7986,29,8013,637,NA,NA,NA,2789,1014,628,386,1864,1109,12000,7169,131,0,4866,2172,661,441,0,2862,867,12000,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,148,NA,NA,NA,NA,NA,8961.75862068966,2573.17821782178
"ND",1897,273584,NA,NA,NA,4483,329,NA,NA,NA,2715,1439,NA,861,535,326,984,694,7022,4082,75,0,2875,1132,362,418,1,1610,549,7022,26,7284,606,NA,NA,NA,2347,968,626,342,1864,1085,11201,6697,92,0,4314,2291,531,418,13,2678,864,11201,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,86,NA,NA,NA,NA,NA,10522.4615384615,2763.47474747475
"ND",1898,287999,NA,NA,NA,4677,334,NA,NA,NA,2757,1586,NA,747,496,251,1049,684,7157,4654,105,0,3255,1294,168,390,0,1500,445,7157,24,8590,721,NA,NA,NA,2854,860,592,268,2130,1096,12676,8424,139,0,5325,2960,444,390,0,2642,776,12676,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,115,NA,NA,NA,NA,NA,11999.9583333333,2618.17272727273
"ND",1899,303173,NA,NA,NA,4696,324,NA,NA,NA,2672,1700,NA,710,481,229,1362,673,7441,5011,183,0,3467,1361,135,366,5,1450,474,7441,23,9263,776,NA,NA,NA,3180,837,589,248,3074,1125,14299,10043,213,0,6238,3592,306,366,36,2708,840,14299,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,115,NA,NA,NA,NA,NA,13181.4347826087,2350.17829457364
"ND",1900,319146,NA,NA,NA,5387,370,NA,NA,NA,3056,1961,NA,695,530,165,1012,630,7724,4990,124,48,3286,1532,281,423,5,1475,550,7724,24,11277,953,NA,NA,NA,3869,805,624,181,2590,1144,15816,10779,172,48,6467,4092,677,423,43,2949,945,15816,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,139,NA,NA,NA,NA,NA,13297.75,2085.92156862745
"ND",1901,338620,NA,NA,NA,6152,418,NA,NA,NA,3452,2282,NA,1081,878,203,1271,699,9203,5716,166,95,3392,2063,404,719,0,1750,614,9203,35,11821,979,NA,NA,NA,4121,1152,939,213,2714,1244,16931,11014,193,95,6312,4414,957,719,0,3193,1048,16931,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,169,NA,NA,NA,NA,NA,9674.85714285714,2015.59523809524
"ND",1902,359282,NA,NA,NA,8493,562,NA,NA,NA,4644,3287,NA,1250,978,272,2636,737,13116,9337,409,100,6413,2415,190,791,13,2016,769,13116,47,16344,2022,NA,NA,NA,5296,1391,1098,293,5906,1409,25050,18713,456,100,11583,6574,454,791,13,3799,1280,25050,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,774,NA,NA,NA,NA,NA,NA,NA,NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,264,NA,NA,NA,NA,NA,7644.29787234043,1710.86666666667
"ND",1903,381204,NA,NA,NA,11380,785,NA,NA,NA,6487,4108,NA,1830,1437,393,3175,835,17220,12184,450,250,8742,2742,262,1076,39,2709,950,17220,70,20536,2691,NA,NA,NA,6666,1996,1578,418,6861,1679,31072,22978,559,250,14669,7500,532,1076,45,4857,1584,31072,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047,NA,NA,NA,NA,NA,NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,439,NA,NA,NA,NA,NA,5445.77142857143,1411.86666666667
"ND",1904,404465,NA,NA,NA,12550,843,NA,NA,NA,6963,4744,NA,1969,1550,419,3133,945,18597,13059,484,205,9275,3095,390,1191,31,2967,959,18597,80,22411,2301,NA,NA,NA,7556,2156,1709,447,5830,1959,32356,22954,562,205,14460,7727,1057,1191,31,5406,1717,32356,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,NA,NA,NA,NA,NA,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,434,NA,NA,NA,NA,NA,5055.8125,1399.53287197232
"ND",1905,429145,NA,NA,NA,14101,937,NA,NA,NA,7735,5429,NA,2120,1746,374,4418,1147,21786,15507,696,205,10775,3831,387,1394,48,3345,1105,21786,91,26040,3180,NA,NA,NA,8304,2344,1936,408,8516,2387,39287,28774,852,205,17968,9749,816,1394,48,6260,1995,39287,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344,NA,NA,NA,NA,NA,NA,NA,NA,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,427,NA,NA,NA,NA,NA,4715.87912087912,1288.72372372372
