"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NE",1896,1064841,NA,NA,NA,22034,326,NA,NA,NA,8245,13463,NA,4404,3433,971,9192,3498,39128,22887,4838,377,15716,1956,699,2275,0,11075,2192,39128,114,39834,3347,NA,NA,NA,24301,4761,3469,1292,13979,6696,65270,36121,4838,377,25245,5661,1274,2275,79,21205,4316,65270,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2039,NA,NA,NA,NA,NA,NA,NA,NA,1308,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,344,NA,NA,NA,NA,NA,9340.71052631579,1908.31720430108
"NE",1897,1065205,NA,NA,NA,21056,362,NA,NA,NA,9176,11518,NA,4062,3195,867,11171,3582,39871,25021,6822,431,15688,2080,278,2047,6,10575,1944,39871,105,35977,2992,NA,NA,NA,20527,4734,3380,1354,17727,6544,64982,38654,6822,431,25504,5897,545,2047,42,19798,3896,64982,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2151,NA,NA,NA,NA,NA,NA,NA,NA,1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,816,213,NA,NA,NA,NA,NA,10144.8095238095,2092.74066797642
"NE",1898,1065570,NA,NA,NA,24630,436,NA,NA,NA,11042,13152,NA,4289,3255,1034,17581,3859,50359,35926,11424,482,21643,2377,123,1984,0,10275,2051,50359,103,40660,3185,NA,NA,NA,22890,4964,3448,1516,26464,6906,78994,53606,11424,482,34365,7335,299,1984,25,19126,3954,78994,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2766,NA,NA,NA,NA,NA,NA,NA,NA,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,391,NA,NA,NA,NA,NA,10345.3398058252,2144.00402414487
"NE",1899,1065935,NA,NA,NA,27441,461,NA,NA,NA,11668,15312,NA,6340,4828,1512,21066,3471,58318,43800,14208,933,26159,2500,51,2571,13,9615,2268,58318,99,46125,3477,NA,NA,NA,26808,6945,5038,1907,30566,5971,89607,64833,14208,933,41277,8415,205,2571,34,17872,4092,89607,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3158,NA,NA,NA,NA,NA,NA,NA,NA,1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,513,NA,NA,NA,NA,NA,10767.0202020202,2131.87
"NE",1900,1066300,NA,NA,NA,32102,553,NA,NA,NA,13989,17560,NA,7197,5602,1595,23141,3294,65734,49591,16290,925,29560,2816,29,3700,13,9858,2543,65734,108,52750,3835,NA,NA,NA,30304,7810,5825,1985,35025,5972,101557,74879,16290,925,47793,9871,197,3700,36,17888,4857,101557,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,586,NA,NA,NA,NA,NA,9873.14814814815,2066.47286821705
"NE",1901,1078268,NA,NA,NA,38804,687,NA,NA,NA,17396,20721,NA,7593,5962,1631,24276,3078,73751,56761,18492,920,33558,3791,17,4327,14,10045,2587,73751,115,62909,4211,NA,NA,NA,35837,8100,6155,1945,38384,4869,114262,87338,18493,920,55658,12267,175,4327,14,17786,4622,114262,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3029,NA,NA,NA,NA,NA,NA,NA,NA,1529,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,668,NA,NA,NA,NA,NA,9376.24347826087,1996.79259259259
"NE",1902,1090371,NA,NA,NA,45218,837,NA,NA,NA,21184,23197,NA,7731,6003,1728,22127,2746,77822,60855,18181,1260,36977,4437,91,3952,14,10028,2882,77822,122,74178,4824,NA,NA,NA,41549,8258,6254,2004,35996,4851,123283,95938,18181,1260,62304,14193,231,3952,14,17935,5213,123283,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432,NA,NA,NA,NA,NA,NA,NA,NA,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,863,NA,NA,NA,NA,NA,8937.46721311475,1867.07363013699
"NE",1903,1102610,NA,NA,NA,45953,754,NA,NA,NA,19098,26101,NA,9078,6906,2172,22689,2412,80132,61697,16423,1416,38818,5040,174,4550,16,10165,3530,80132,132,78468,4832,NA,NA,NA,47098,10170,7417,2753,35906,4210,128754,99105,17110,1416,65269,15310,332,4550,16,18576,6175,128754,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668,NA,NA,NA,NA,NA,NA,NA,NA,1716,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,790,NA,NA,NA,NA,NA,8353.10606060606,1747.40095087163
"NE",1904,1114986,NA,NA,NA,46402,732,NA,NA,NA,18525,27145,NA,9679,7772,1907,28751,2557,87389,67557,18986,1586,41297,5688,96,5118,16,10665,3937,87389,142,79940,5078,NA,NA,NA,48671,10396,8098,2298,41696,4819,136851,105385,19639,1586,67489,16671,396,5118,16,19249,6687,136851,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3822,NA,NA,NA,NA,NA,NA,NA,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,1137,NA,NA,NA,NA,NA,7852.01408450704,1702.26870229008
"NE",1905,1127501,NA,NA,NA,54688,810,NA,NA,NA,20518,33360,NA,9493,7998,1495,30058,2874,97113,75474,21651,1237,45547,7039,109,5862,64,11206,4398,97113,157,92695,6638,NA,NA,NA,56846,10236,8339,1897,45739,5207,153877,120131,22431,1237,76279,20184,380,5862,64,20228,7212,153877,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4053,NA,NA,NA,NA,NA,NA,NA,NA,2063,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,1018,NA,NA,NA,NA,NA,7181.53503184713,1650.80673499268
