"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NH",1896,397189,NA,NA,NA,10683,106,NA,NA,NA,3099,7478,NA,7256,4666,2590,3524,651,22114,10667,1735,182,8657,93,248,3492,10,5830,1867,22114,50,41122,19656,NA,NA,NA,13148,34367,15235,19132,5057,4054,84600,66021,1778,182,9391,54670,249,3492,288,6420,8130,84600,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,382,NA,NA,NA,NA,NA,7943.78,3484.11403508772
"NH",1897,400741,NA,NA,NA,10756,106,NA,NA,NA,3110,7540,NA,7239,4712,2527,3824,668,22487,11036,1878,209,8850,99,164,3554,7,5830,1896,22487,50,38431,17303,NA,NA,NA,13080,32857,14381,18476,5649,4374,81311,62925,1893,209,9596,51227,171,3554,283,6420,7958,81311,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,366,NA,NA,NA,NA,NA,8014.82,3578.04464285714
"NH",1898,404325,NA,NA,NA,11669,119,NA,NA,NA,3498,8052,NA,6958,4635,2323,4279,802,23708,12301,2384,238,9566,113,185,3481,9,5830,1902,23708,51,38490,16251,NA,NA,NA,14124,32631,13684,18947,6126,4773,82020,63077,2410,238,10352,50077,187,3481,167,6390,8718,82020,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,NA,NA,NA,NA,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,378,NA,NA,NA,NA,NA,7927.94117647059,3642.56756756757
"NH",1899,407940,NA,NA,NA,11392,115,NA,NA,NA,3360,7917,NA,7659,4903,2756,4808,662,24521,13621,2309,489,10704,119,70,3452,17,5490,1871,24521,52,37810,15829,NA,NA,NA,14202,36127,14355,21772,7252,4818,86007,66737,2312,489,11616,52320,71,3452,137,6050,9560,86007,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,428,NA,NA,NA,NA,NA,7845,3610.08849557522
"NH",1900,411588,NA,NA,NA,12248,124,NA,NA,NA,3648,8476,NA,8337,5700,2637,4725,697,26007,14110,1928,797,11251,134,60,4078,14,5462,2283,26007,55,40438,15578,NA,NA,NA,15450,38181,14601,23580,6775,4358,89752,68936,1936,797,12095,54108,61,4078,126,6022,10529,89752,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,NA,NA,NA,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,430,NA,NA,NA,NA,NA,7483.41818181818,3548.1724137931
"NH",1901,413448,NA,NA,NA,13073,132,NA,NA,NA,3855,9086,NA,9209,5915,3294,5416,675,28373,16044,1650,949,13265,180,38,4404,8,5550,2329,28373,56,42311,15824,NA,NA,NA,16659,43366,14446,28920,7348,4063,97088,74217,1659,949,14237,57372,39,4404,120,6160,12148,97088,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1341,NA,NA,NA,NA,NA,NA,NA,NA,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,378,NA,NA,NA,NA,NA,7383,3445.4
"NH",1902,415317,NA,NA,NA,12968,134,NA,NA,NA,3925,8909,NA,9333,5812,3521,5262,657,28220,16154,2122,1118,12703,211,80,4202,16,5355,2413,28220,56,43131,16507,NA,NA,NA,16546,46684,14327,32357,7258,3692,100765,77451,2127,1118,13682,60524,81,4202,124,5965,12942,100765,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,408,NA,NA,NA,NA,NA,7416.375,3490.05882352941
"NH",1903,417194,NA,NA,NA,13425,142,NA,NA,NA,4167,9116,NA,10235,6442,3793,4984,778,29422,16862,1987,1413,13222,240,87,4446,55,5355,2617,29422,56,45051,17011,NA,NA,NA,17563,49438,15067,34371,6806,3479,104774,81742,2006,1413,14197,64126,88,4446,162,5985,12351,104774,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,390,NA,NA,NA,NA,NA,7449.89285714286,3505.83193277311
"NH",1904,419079,NA,NA,NA,13268,142,NA,NA,NA,4170,8956,NA,10799,6513,4286,4941,795,29803,16782,1911,1137,13464,270,136,4621,169,5355,2740,29803,56,45330,18161,NA,NA,NA,16075,51715,14409,37306,7060,3240,107345,84120,2086,1137,14429,66468,137,4621,276,5835,12356,107345,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1212,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,395,NA,NA,NA,NA,NA,7483.55357142857,3551.51694915254
"NH",1905,420973,NA,NA,NA,14039,133,NA,NA,NA,3896,10010,NA,10615,6160,4455,5596,754,31004,17957,2217,800,14605,335,175,4693,64,5330,2785,31004,55,48001,19715,NA,NA,NA,18009,55756,14045,41711,7699,3018,114474,89397,2261,800,15656,70680,176,4693,170,5810,14228,114474,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343,NA,NA,NA,NA,NA,NA,NA,NA,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,411,NA,NA,NA,NA,NA,7654.05454545455,3567.56779661017
"NH",1906,422876,NA,NA,NA,15566,156,NA,NA,NA,4576,10834,NA,10467,6080,4387,5367,741,32141,18660,2042,669,15555,394,296,4777,5,5310,3093,32141,57,53448,21441,NA,NA,NA,19412,57787,14564,43223,7763,2708,121706,95863,2049,669,16755,76390,297,4777,109,5790,14870,121706,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445,NA,NA,NA,NA,NA,NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,421,NA,NA,NA,NA,NA,7418.87719298246,3523.96666666667
"NH",1907,424787,NA,NA,NA,16562,175,NA,NA,NA,5125,11262,NA,10760,6186,4574,5837,796,33955,20111,2368,1083,16072,588,334,4714,82,5310,3404,33955,57,57610,22269,NA,NA,NA,21662,59651,15476,44175,8104,2495,127860,102638,2393,1083,17400,81762,347,4714,180,5740,14241,127860,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1419,NA,NA,NA,NA,NA,NA,NA,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,422,NA,NA,NA,NA,NA,7452.40350877193,3510.63636363636
"NH",1908,426706,NA,NA,NA,15758,152,NA,NA,NA,4449,11157,NA,10996,6042,4954,5771,893,33418,19060,2425,1104,14816,715,246,4932,191,5435,3554,33418,57,55451,22733,NA,NA,NA,20747,60984,15256,45728,8363,2545,127343,101902,2458,1104,15939,82401,247,4932,233,5865,14164,127343,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1485,NA,NA,NA,NA,NA,NA,NA,NA,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,439,NA,NA,NA,NA,NA,7486.0701754386,3526.49586776859
