"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NJ",1896,1694111,NA,NA,NA,51549,492,NA,NA,NA,13169,37888,NA,15371,7666,7705,18609,3910,89439,57410,4849,275,"49873",2413,689,5104,9,14445,11782,89439,102,91749,23772,NA,NA,NA,45194,40857,24017,16840,25180,7299,165085,120976,5185,275,"63587",51929,2120,5104,"377",18383,18125,165085,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3858,NA,NA,NA,NA,NA,NA,NA,NA,1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,1397,NA,NA,NA,NA,NA,16608.931372549,9965.35882352941
"NJ",1897,1739633,NA,NA,NA,50073,485,NA,NA,NA,12985,36603,NA,15957,7872,8085,20218,4086,90334,57870,4583,275,"50446",2566,504,5198,10,14445,12307,90334,103,92511,25836,NA,NA,NA,44053,44634,26726,17908,27899,7326,172370,126912,4892,275,"65116",56629,769,5198,"1488",18607,19396,172370,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3779,NA,NA,NA,NA,NA,NA,NA,NA,1507,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,1336,NA,NA,NA,NA,NA,16889.640776699,10173.2923976608
"NJ",1898,1786377,NA,NA,NA,52433,530,NA,NA,NA,14204,37699,NA,16485,7737,8748,23908,4295,97121,64188,5007,399,"55849",2933,733,5016,12,14445,12727,97121,103,98799,28326,NA,NA,NA,45753,48819,28428,20391,33187,8045,188850,141950,5410,399,"70338",65803,1026,5016,"1794",19057,20007,188850,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3978,NA,NA,NA,NA,NA,NA,NA,NA,1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,1339,NA,NA,NA,NA,NA,17343.4660194175,10325.8786127168
"NJ",1899,1834378,NA,NA,NA,58358,616,NA,NA,NA,16483,41259,NA,19469,9288,10181,24602,4385,106814,73026,4459,1033,"64449",3085,409,5414,50,14545,13370,106814,105,113228,30419,NA,NA,NA,49595,59212,32103,27109,35132,8544,216116,166492,4722,1033,"89273",71464,884,5414,"1448",19622,22256,216116,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4213,NA,NA,NA,NA,NA,NA,NA,NA,1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,1367,NA,NA,NA,NA,NA,17470.2666666667,10422.6022727273
"NJ",1900,1883669,NA,NA,NA,62039,654,NA,NA,NA,17523,43862,NA,22353,10679,11674,24861,4778,114031,76292,6023,1003,"65792",3474,545,7307,183,14988,14716,114031,114,126330,33198,NA,NA,NA,53258,68888,36144,32744,36852,9915,241985,182885,6514,1003,"94382",80986,804,7307,"1986",22503,26500,241985,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4998,NA,NA,NA,NA,NA,NA,NA,NA,1753,NA,NA,NA,NA,NA,NA,NA,NA,NA,773,1403,NA,NA,NA,NA,NA,16523.4122807018,9914.04736842105
"NJ",1901,1940613,NA,NA,NA,66520,750,NA,NA,NA,20071,45699,NA,26632,11786,14846,26445,5031,124628,84203,7532,1002,"70992",4677,890,8481,199,15359,15496,124628,122,140173,34898,NA,NA,NA,56881,82100,39457,42643,39124,11104,272501,207609,8331,1002,"105758",92518,1719,8481,"2669",23322,28701,272501,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4905,NA,NA,NA,NA,NA,NA,NA,NA,1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,727,1415,NA,NA,NA,NA,NA,15906.6639344262,9654.79104477612
"NJ",1902,1999279,NA,NA,NA,75660,1000,NA,NA,NA,26767,47893,NA,27270,11427,15843,29984,5108,138022,94130,8968,1164,"78524",5474,484,8080,253,17146,17929,138022,124,167829,37649,NA,NA,NA,60851,94122,40053,54069,47061,11905,320917,243988,12269,1164,"123708",106847,1222,8080,"2243",28561,36823,320917,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4705,NA,NA,NA,NA,NA,NA,NA,NA,1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,1889,NA,NA,NA,NA,NA,16123.2177419355,9213.26728110599
"NJ",1903,2059719,NA,NA,NA,81331,931,NA,NA,NA,24932,55468,NA,29093,12054,17039,27815,5688,143927,97216,9717,1385,"79897",6217,1086,8513,255,17402,19455,143927,129,183575,40713,NA,NA,NA,72444,122005,42025,79980,50534,13143,369257,280980,13941,1385,"146483",119171,1737,8513,"2718",31121,44188,369257,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5794,NA,NA,NA,NA,NA,NA,NA,NA,2198,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,1649,NA,NA,NA,NA,NA,15966.8139534884,8916.53246753247
"NJ",1904,2121985,NA,NA,NA,80243,893,NA,NA,NA,23902,55448,NA,31880,12494,19386,31212,6082,149417,100384,9738,1014,"82615",7017,1308,8820,261,17907,20737,149417,133,183164,44095,NA,NA,NA,73524,130251,47303,82948,54489,14259,382163,290221,16660,1014,"142603",129944,1596,8820,"2302",32078,47146,382163,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6066,NA,NA,NA,NA,NA,NA,NA,NA,2366,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,1829,NA,NA,NA,NA,NA,15954.7744360902,8953.52320675106
"NJ",1905,2186134,NA,NA,NA,85664,984,NA,NA,NA,26343,58337,NA,39383,13924,25459,32480,6382,163909,112611,10697,652,"92578",8684,1416,9358,315,18210,21999,163909,137,202233,50634,NA,NA,NA,78602,151778,51235,100543,60331,15240,429582,332749,18666,652,"167647",145784,1682,9358,"2204",32909,50680,429582,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6047,NA,NA,NA,NA,NA,NA,NA,NA,2540,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,1914,NA,NA,NA,NA,NA,15957.1824817518,9071.09543568465
