"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NM",1896,180463,NA,NA,NA,1543,43,NA,NA,NA,491,1009,NA,762,547,215,917,223,3445,2351,208,167,1736,240,36,271,0,600,187,3445,7,1862,106,NA,NA,NA,1205,763,547,216,1133,245,4003,2687,209,167,2020,291,36,271,0,800,209,4003,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,59,NA,NA,NA,NA,NA,25780.4285714286,13881.7692307692
"NM",1897,184066,NA,NA,NA,1600,35,NA,NA,NA,408,1157,NA,796,582,214,1358,201,3955,2921,170,183,2313,255,0,303,0,600,131,3955,6,2134,119,NA,NA,NA,1519,796,582,214,1837,326,5093,3741,170,183,3002,386,0,303,0,862,187,5093,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,81,NA,NA,NA,NA,NA,30677.6666666667,14158.9230769231
"NM",1898,187740,NA,NA,NA,1851,46,NA,NA,NA,533,1272,NA,794,584,210,1162,200,4007,2905,207,186,2221,291,32,306,0,600,164,4007,6,2442,109,NA,NA,NA,1713,794,584,210,1692,257,5185,3773,209,186,2941,437,32,306,0,862,212,5185,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,49,NA,NA,NA,NA,NA,31290,14441.5384615385
"NM",1899,191488,NA,NA,NA,2060,49,NA,NA,NA,569,1442,NA,898,680,218,1438,189,4585,3344,259,193,2586,306,68,373,5,600,195,4585,6,2949,120,NA,NA,NA,2150,903,680,223,1986,218,6056,4499,259,193,3537,510,68,373,5,872,239,6056,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,58,NA,NA,NA,NA,NA,31914.6666666667,14729.8461538462
"NM",1900,195310,NA,NA,NA,2617,56,NA,NA,NA,648,1913,NA,965,710,255,1804,210,5596,4182,280,193,3364,345,22,438,12,675,267,5596,8,3746,116,NA,NA,NA,2869,976,720,256,2729,270,7721,5878,287,193,4741,657,22,438,12,1020,351,7721,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,141,NA,NA,NA,NA,NA,24413.75,13950.7142857143
"NM",1901,205659,NA,NA,NA,3003,67,NA,NA,NA,771,2165,NA,965,743,222,2065,213,6246,4666,303,185,3713,465,54,477,0,762,287,6246,10,4111,129,NA,NA,NA,3085,972,743,229,2652,256,7991,6020,303,185,4806,726,54,477,0,1104,336,7991,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,110,NA,NA,NA,NA,NA,20565.9,10282.95
"NM",1902,216555,NA,NA,NA,3705,87,NA,NA,NA,1002,2616,NA,1039,805,234,2428,222,7394,5623,378,204,4497,544,19,523,2,897,330,7394,14,5062,167,NA,NA,NA,3719,1096,805,291,3217,302,9677,7436,407,204,5922,903,19,523,2,1314,383,9677,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,98,NA,NA,NA,NA,NA,15468.2142857143,8329.03846153846
"NM",1903,228030,NA,NA,NA,4485,104,NA,NA,NA,1197,3184,NA,1281,1044,237,2408,219,8393,6053,376,247,4812,618,173,689,0,1117,361,8393,18,5997,199,NA,NA,NA,4392,1318,1044,274,2986,320,10621,7884,386,247,6251,1000,173,689,0,1456,419,10621,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,109,NA,NA,NA,NA,NA,12668.3333333333,7601
"NM",1904,240112,NA,NA,NA,4671,102,NA,NA,NA,1173,3396,NA,1363,1118,245,2252,284,8570,5895,372,239,4587,697,113,787,0,1317,458,8570,22,6189,210,NA,NA,NA,4577,1396,1118,278,2900,389,10874,7749,373,239,6036,1101,113,787,0,1659,566,10874,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,114,NA,NA,NA,NA,NA,10914.1818181818,7062.11764705882
"NM",1905,252834,NA,NA,NA,5007,118,NA,NA,NA,1359,3530,NA,1346,1163,183,3460,335,10148,7258,658,164,5573,863,91,893,0,1342,564,10148,23,6723,229,NA,NA,NA,4855,1380,1164,216,4386,631,13120,9493,663,164,7299,1367,91,893,232,1778,633,13120,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,107,NA,NA,NA,NA,NA,10992.7826086957,6482.92307692308
"NM",1906,266231,NA,NA,NA,6851,158,NA,NA,NA,1822,4871,NA,1553,1251,302,3932,375,12711,9434,927,164,7327,1016,25,1000,17,1537,698,12711,27,8840,296,NA,NA,NA,6362,1577,1264,313,4925,516,15858,11881,936,164,9195,1586,25,1000,128,2048,776,15858,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,113,NA,NA,NA,NA,NA,9860.40740740741,5787.63043478261
"NM",1907,280337,NA,NA,NA,9056,215,NA,NA,NA,2475,6366,NA,2106,1683,423,4444,465,16071,12151,1133,351,9151,1516,36,1189,48,1840,807,16071,36,11670,437,NA,NA,NA,8423,2151,1693,458,5459,712,19992,15103,1156,351,11371,2225,36,1189,108,2556,1000,19992,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,270,NA,NA,NA,NA,NA,7787.13888888889,4751.47457627119
