"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NV",1896,44276,NA,NA,NA,201,2,NA,NA,NA,47,152,NA,22,22,0,23,40,286,146,0,0,40,106,30,18,0,82,10,286,1,1570,303,NA,NA,NA,726,178,178,0,338,394,2480,1453,0,0,1161,292,30,18,0,682,297,2480,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,12,NA,NA,NA,NA,NA,44276,3689.66666666667
"NV",1897,43782,NA,NA,NA,214,1,NA,NA,NA,30,183,NA,57,32,25,44,9,324,213,0,0,100,113,0,19,0,82,10,324,1,1623,331,NA,NA,NA,907,202,157,45,384,236,2445,1543,44,0,1187,312,0,19,0,692,191,2445,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,43782,3980.18181818182
"NV",1898,43295,NA,NA,NA,264,1,NA,NA,NA,20,243,NA,90,42,48,63,17,434,330,1,0,200,129,0,18,0,82,4,434,1,1779,230,NA,NA,NA,899,396,108,288,555,269,2999,2047,37,0,1597,413,0,18,16,692,226,2999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,43295,3935.90909090909
"NV",1899,42812,NA,NA,NA,300,1,NA,NA,NA,16,283,NA,112,48,64,114,13,539,431,0,0,295,136,0,18,0,82,8,539,1,1908,271,NA,NA,NA,1325,622,176,446,731,207,3468,2554,0,0,2032,522,0,18,0,672,224,3468,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,42812,4756.88888888889
"NV",1900,42335,NA,NA,NA,368,1,NA,NA,NA,11,356,NA,62,33,29,109,14,553,441,0,0,288,153,0,18,0,82,12,553,1,2403,182,NA,NA,NA,1937,530,122,408,699,334,3966,2935,7,0,2288,640,0,18,36,697,280,3966,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA,NA,42335,4233.5
"NV",1901,45221,NA,NA,NA,503,4,NA,NA,NA,81,418,NA,43,27,16,71,14,631,411,5,0,200,206,111,21,0,82,6,631,1,3060,216,NA,NA,NA,2293,439,119,320,840,156,4495,3311,80,0,2435,796,111,21,0,747,305,4495,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,10,NA,NA,NA,NA,NA,45221,4522.1
"NV",1902,48305,NA,NA,NA,438,5,NA,NA,NA,94,339,NA,43,27,16,105,15,601,481,4,0,236,241,0,20,0,82,18,601,1,3184,170,NA,NA,NA,2508,562,184,378,1184,568,5498,3921,107,0,2829,985,0,20,0,1197,360,5498,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA,NA,NA,48305,4830.5
"NV",1903,51598,NA,NA,NA,577,6,NA,NA,NA,126,445,NA,43,27,16,95,16,731,572,4,0,294,274,30,21,0,82,26,731,1,5225,206,NA,NA,NA,4405,420,109,311,1362,268,7275,5241,209,0,3704,1328,30,21,1,1737,245,7275,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,NA,NA,NA,NA,NA,51598,4299.83333333333
"NV",1904,55116,NA,NA,NA,981,13,NA,NA,NA,253,715,NA,299,269,30,224,21,1525,931,46,0,576,309,50,221,0,282,41,1525,2,5755,557,NA,NA,NA,3962,865,503,362,1721,764,9105,6275,174,0,4488,1613,50,221,91,1977,491,9105,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,27558,4593
"NV",1905,58874,NA,NA,NA,1239,18,NA,NA,NA,364,857,NA,305,278,27,523,52,2119,1350,66,0,901,383,70,225,0,407,67,2119,4,8270,918,NA,NA,NA,4879,1383,688,695,3506,516,13675,10104,705,0,6874,2525,70,225,0,2638,638,13675,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,28,NA,NA,NA,NA,NA,14718.5,2803.52380952381
