"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"NY",1896,6733384,NA,NA,NA,450272,783,NA,NA,NA,195085,254404,NA,97643,48931,48712,240393,23572,811880,611410,200373,1883,"405219","3935",1641,31011,"357",85796,81665,811880,"330",1252811,308032,NA,NA,NA,423751,646196,526143,"120053",448133,80984,2428124,1946755,275327,"1883","888417","781128",4310,"31011","12417   1",77396,256235,2428124,909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27292,NA,NA,NA,NA,NA,NA,NA,NA,12471,NA,NA,NA,NA,NA,NA,NA,NA,NA,6139,72700,NA,NA,NA,NA,NA,NA,7407.46314631463
"NY",1897,6863444,NA,NA,NA,491350,943,NA,NA,NA,234905,255502,NA,104123,50987,53136,294192,25584,915249,718561,264336,1878,"448164","4183",1167,29952,"530",83271,81768,915249,"326",1298402,399354,NA,NA,NA,400148,692244,544231,"148013",524748,84791,2600185,2103198,348181,"1878","938323","814816",7466,"29952","16728   1",77749,265092,2600185,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26683,NA,NA,NA,NA,NA,NA,NA,NA,13099,NA,NA,NA,NA,NA,NA,NA,NA,NA,5918,7124,NA,NA,NA,NA,NA,NA,7592.30530973451
"NY",1898,6996017,NA,NA,NA,565448,1169,NA,NA,NA,291168,273111,NA,148523,77833,70690,339707,27493,1081171,867747,320370,32783,"509812","4782",1287,30470,"16176",82895,82596,1081171,"323",1468576,413722,NA,NA,NA,426328,766831,589493,"177338",578293,90860,2904560,2374724,417393,"32783","1054660","869888",3152,"30470","34799   1",86038,275377,2904560,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27922,NA,NA,NA,NA,NA,NA,NA,NA,13869,NA,NA,NA,NA,NA,NA,NA,NA,NA,4590,7589,NA,NA,NA,NA,NA,NA,7756.11640798226
"NY",1899,7131150,NA,NA,NA,710465,1736,NA,NA,NA,432358,276371,NA,148930,74167,74763,430401,26932,1316728,1107661,393956,26926,"681750","5029",1066,30354,"10952",81995,84700,1316728,"327",1807274,446435,NA,NA,NA,439379,855551,599200,"256351",745195,96350,3504370,2943673,527685,"26926","1418326","970736",5407,"30354","39246   1",88725,296965,3504370,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30656,NA,NA,NA,NA,NA,NA,NA,NA,15347,NA,NA,NA,NA,NA,NA,NA,NA,NA,5544,7625,NA,NA,NA,NA,NA,NA,7905.93126385809
"NY",1900,7268894,NA,NA,NA,678197,1625,NA,NA,NA,404615,271957,NA,198337,99148,99189,399513,28003,1304050,1049561,454928,37768,"551201","5664",903,42125,"19364",95017,97080,1304050,"335",1834905,476047,NA,NA,NA,453909,984961,599981,"384980",742356,84367,3646589,2999905,589784,"37768","1330534  1","41819",9421,"42125","41152   2",18678,335308,3646589,907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41704,NA,NA,NA,NA,NA,NA,NA,NA,15894,NA,NA,NA,NA,NA,NA,NA,NA,NA,5810,8150,NA,NA,NA,NA,NA,NA,8014.21609702315
"NY",1901,7435164,NA,NA,NA,739330,1736,NA,NA,NA,432251,305343,NA,206511,100037,106474,548399,28368,1522608,1252194,467489,35982,"741098","7625",1273,51564,"16684",97056,103837,1522608,"341",2125313,507106,NA,NA,NA,488980,1098401,580383,"518018",994537,87743,4305994,3618118,616064,"35982","1823810  1","142262",5879,"51564","50510   2",26937,352986,4305994,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37398,NA,NA,NA,NA,NA,NA,NA,NA,16515,NA,NA,NA,NA,NA,NA,NA,NA,NA,6022,8593,NA,NA,NA,NA,NA,NA,8233.84717607973
"NY",1902,7605238,NA,NA,NA,777986,1820,NA,NA,NA,453302,322864,NA,234461,110630,123831,507317,30528,1550292,1233387,479115,43096,"702251","8925",1134,52955,"11153   1",25606,126057,1550292,"348",2269016,542817,NA,NA,NA,507207,1158126,591084,"567042",859111,106087,4392340,3628700,638775,"43096","1724996  1","221833",6872,"52955","36862   2",78329,388622,4392340,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53528,NA,NA,NA,NA,NA,NA,NA,NA,17860,NA,NA,NA,NA,NA,NA,NA,NA,NA,6572,19965,NA,NA,NA,NA,NA,NA,8357.4043956044
"NY",1903,7779202,NA,NA,NA,774712,1738,NA,NA,NA,432875,340099,NA,248761,99467,149294,468696,54863,1547032,1180067,446733,43029,"680168","10137",2511,65430,"21824   1",36080,141120,1547032,"360",2310104,587166,NA,NA,NA,525631,1185692,596146,"589546",810217,131785,4437798,3596017,601303,"43029","1673521  1","278164",6547,"65430","47646   2",93839,428319,4437798,923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50262,NA,NA,NA,NA,NA,NA,NA,NA,19571,NA,NA,NA,NA,NA,NA,NA,NA,NA,5938,12586,NA,NA,NA,NA,NA,NA,8428.17118093174
"NY",1904,7957145,NA,NA,NA,908549,2199,NA,NA,NA,547473,358877,NA,258992,94531,164461,485316,54151,1707008,1333959,587602,26698,"708218","11441",1989,62039,"18304   1",43429,147288,1707008,"365",2416171,630802,NA,NA,NA,591236,1262637,587750,"674887",999940,134233,4812981,3950104,802604,"26698","1776923  1","343879",5423,"62039","47658   3",12258,435499,4812981,932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55727,NA,NA,NA,NA,NA,NA,NA,NA,20907,NA,NA,NA,NA,NA,NA,NA,NA,NA,5252,20022,NA,NA,NA,NA,NA,NA,8537.70922746781
"NY",1905,8139158,NA,NA,NA,953744,2300,NA,NA,NA,572808,378636,NA,296987,93050,203937,580020,55859,1886610,1497875,593376,15006,"875334","14159",885,71514,"19295   1",43695,153346,1886610,"373",2844936,716243,NA,NA,NA,633538,1410651,596327,"814324",1029044,137008,5421639,4475189,813529,"15006","2172984  1","473670",2599,"71514","105927   3",3006,463404,5421639,948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48418,NA,NA,NA,NA,NA,NA,NA,NA,23038,NA,NA,NA,NA,NA,NA,NA,NA,NA,4666,14971,NA,NA,NA,NA,NA,NA,8585.60970464135
