"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"OH",1896,3956205,NA,NA,NA,121050,1729,NA,NA,NA,29139,90182,NA,31415,25959,5456,39212,5408,197085,114185,15401,1429,"93204",4151,2660,16074,"1684",45578,16904,197085,249,207764,36994,NA,NA,NA,116702,50859,33277,17582,64295,10300,333218,223115,16619,1429,"129299","75768",3214,16074,"1997",63568,25250,333218,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8560,NA,NA,NA,NA,NA,NA,NA,NA,3861,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191,3035,NA,NA,NA,NA,NA,15888.3734939759,6143.17546583851
"OH",1897,4005607,NA,NA,NA,115002,1752,NA,NA,NA,29529,83721,NA,33546,27543,6003,52479,5386,206413,125959,21418,1910,"98219",4412,660,16208,"1812",45011,16763,206413,248,211665,36712,NA,NA,NA,112110,56874,35436,21438,85084,10900,364523,253524,22397,1910,"139755","89462",1210,16208,"2005",65047,26529,364523,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8200,NA,NA,NA,NA,NA,NA,NA,NA,4005,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,2808,NA,NA,NA,NA,NA,16151.6411290323,6059.91981845688
"OH",1898,4055626,NA,NA,NA,123998,1868,NA,NA,NA,31487,90643,NA,37026,30048,6978,58892,6308,226224,145900,26109,2616,"112131",5044,275,16238,"1904",45040,16867,226224,253,224189,37663,NA,NA,NA,126879,64800,40159,24641,92886,11773,393648,284243,27218,2616,"156036","98373",784,16238,"2118",64346,25919,393648,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8582,NA,NA,NA,NA,NA,NA,NA,NA,4044,NA,NA,NA,NA,NA,NA,NA,NA,NA,1422,2932,NA,NA,NA,NA,NA,16030.1422924901,6017.24925816024
"OH",1899,4106269,NA,NA,NA,136605,2456,NA,NA,NA,41394,92755,NA,46624,35756,10868,74366,5625,263220,181515,36907,4309,"134995",5304,226,16834,"2067",45026,17552,263220,253,240951,39906,NA,NA,NA,128631,77290,46680,30610,115420,11703,445364,333098,38196,4309,"182893","107700",542,16834,"2161",65841,26888,445364,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9076,NA,NA,NA,NA,NA,NA,NA,NA,4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820,2888,NA,NA,NA,NA,NA,16230.3122529644,5916.81412103746
"OH",1900,4157545,NA,NA,NA,158123,2674,NA,NA,NA,45079,110370,NA,51428,38744,12684,78101,5829,293481,203637,42990,6426,"148247",5974,416,19723,"4106",45936,19663,293481,266,276112,41741,NA,NA,NA,151909,89136,50087,39049,118113,12446,495807,374777,44419,6426,"201989","121943",933,19723,"4212",66847,29315,495807,721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11118,NA,NA,NA,NA,NA,NA,NA,NA,4360,NA,NA,NA,NA,NA,NA,NA,NA,NA,1710,3153,NA,NA,NA,NA,NA,15629.8684210526,5766.35922330097
"OH",1901,4214819,NA,NA,NA,182041,3486,NA,NA,NA,58772,119783,NA,60749,44003,16746,79608,6172,328570,226609,49054,6111,"163402",8042,925,24047,"4567",50371,22051,328570,296,321379,47114,NA,NA,NA,169974,106342,57749,48593,126329,14332,568382,430837,50965,6111,"226724","147037",1607,24047,"4632",74154,33105,568382,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10934,NA,NA,NA,NA,NA,NA,NA,NA,4840,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266,3263,NA,NA,NA,NA,NA,14239.2533783784,5438.47612903226
"OH",1902,4272881,NA,NA,NA,195026,3648,NA,NA,NA,61491,129887,NA,63171,45689,17482,84390,6417,349004,244536,53887,7384,"173852",9413,1043,24365,"4773",50443,23844,349004,307,354675,51953,NA,NA,NA,188730,118936,61073,57863,136906,15283,625800,475940,55606,7384,"245423","167527",1458,24365,"5854",80245,37938,625800,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11622,NA,NA,NA,NA,NA,NA,NA,NA,5134,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355,3518,NA,NA,NA,NA,NA,13918.1791530945,5249.23955773956
"OH",1903,4331743,NA,NA,NA,214048,3884,NA,NA,NA,65468,144696,NA,64113,44861,19252,80324,13674,372159,255910,51637,9471,"184110",10692,2382,27629,"6567",53279,26392,372159,321,401826,57559,NA,NA,NA,214564,137064,62486,74578,135941,25356,700187,532280,53650,9471,"270761","198398",3773,27629,"7463",85686,43356,700187,862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12887,NA,NA,NA,NA,NA,NA,NA,NA,5363,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,3772,NA,NA,NA,NA,NA,13494.5264797508,5025.22389791183
"OH",1904,4391417,NA,NA,NA,214888,4091,NA,NA,NA,68971,141826,NA,64290,45545,18745,82735,14829,376742,259574,53659,6846,"187002",12067,2005,29336,"6129",52623,27075,376742,335,416323,68793,NA,NA,NA,208537,138797,63175,75622,142728,24990,722838,552094,55778,6846,"280299","209171",2945,29336,"7607",85847,45009,722838,906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13719,NA,NA,NA,NA,NA,NA,NA,NA,6143,NA,NA,NA,NA,NA,NA,NA,NA,NA,2162,3905,NA,NA,NA,NA,NA,13108.7074626866,4847.03863134658
"OH",1905,4451912,NA,NA,NA,224836,4319,NA,NA,NA,72800,147717,NA,66454,45478,20976,87611,16008,394909,274933,59034,4317,"196649",14933,1004,31179,"6261",53747,27785,394909,342,433757,69658,NA,NA,NA,220471,153933,65920,88013,151352,28045,767087,590632,62174,4317,"297497","226644",2087,31179,"7579",87810,47800,767087,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13943,NA,NA,NA,NA,NA,NA,NA,NA,6450,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135,3822,NA,NA,NA,NA,NA,13017.2865497076,4865.47759562842
