"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"OK",1896,505586,NA,NA,NA,1134,23,NA,NA,NA,302,809,NA,274,204,70,683,108,2199,1132,26,0,827,279,7,160,0,710,190,2199,13,2793,171,NA,NA,NA,1775,391,295,96,1428,401,5013,2869,242,0,2313,314,7,160,35,1564,378,5013,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,NA,NA,NA,NA,NA,38891.2307692308,6399.82278481013
"OK",1897,565336,NA,NA,NA,1384,37,NA,NA,NA,489,858,NA,267,213,54,791,107,2549,1352,33,0,1023,296,32,170,0,760,235,2549,14,3173,186,NA,NA,NA,1906,349,275,74,1642,403,5567,3370,192,0,2819,359,32,170,41,1527,427,5567,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,NA,40381.1428571429,7438.63157894737
"OK",1898,632148,NA,NA,NA,2259,67,NA,NA,NA,882,1310,NA,363,306,57,1143,160,3925,2395,79,0,1977,339,10,217,0,1050,253,3925,20,4726,258,NA,NA,NA,2763,413,343,70,2801,507,8447,5782,236,0,5063,483,10,217,46,1919,473,8447,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,34,NA,NA,NA,NA,NA,31607.4,7102.78651685393
"OK",1899,706855,NA,NA,NA,2951,95,NA,NA,NA,1239,1617,NA,418,365,53,1530,145,5044,3117,91,0,2670,356,45,284,0,1207,391,5044,22,5706,314,NA,NA,NA,3209,512,437,75,3679,507,10404,7142,275,0,6345,522,45,284,33,2149,751,10404,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,37,NA,NA,NA,NA,NA,32129.7727272727,5700.4435483871
"OK",1900,790391,NA,NA,NA,4628,159,NA,NA,NA,2081,2388,NA,1155,1022,133,1858,253,7894,4759,199,120,4039,401,128,554,14,1860,579,7894,44,8134,430,NA,NA,NA,4371,1228,1078,150,4200,515,14077,9471,448,120,8294,609,208,554,42,2850,952,14077,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,86,NA,NA,NA,NA,NA,17963.4318181818,5066.60897435897
"OK",1901,851126,NA,NA,NA,9433,319,NA,NA,NA,4171,4943,NA,2175,1903,272,7282,528,19418,13623,1137,225,11721,540,209,1431,1,3253,901,19418,85,13928,669,NA,NA,NA,7422,2288,1991,297,11152,829,28197,20740,1446,225,18143,926,214,1431,32,4437,1343,28197,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,178,NA,NA,NA,NA,NA,10013.2470588235,3324.7109375
"OK",1902,916529,NA,NA,NA,15419,544,NA,NA,NA,7119,7756,NA,2991,2442,549,6352,890,25652,16722,1437,230,14423,632,750,1867,92,4719,1502,25652,132,21232,996,NA,NA,NA,10881,3169,2582,587,10878,1300,36579,25476,1812,230,22233,1201,797,1867,126,6314,1999,36579,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,314,NA,NA,NA,NA,NA,6943.40151515152,2497.35422343324
"OK",1903,986957,NA,NA,NA,19011,702,NA,NA,NA,9184,9125,NA,3818,3339,479,7774,1181,31784,20023,1927,231,17147,718,687,2619,194,6246,2015,31784,161,27313,1250,NA,NA,NA,13680,4122,3581,541,12569,1829,45833,30141,2378,231,26163,1369,821,2619,283,9188,2781,45833,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1277,NA,NA,NA,NA,NA,NA,NA,NA,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,415,NA,NA,NA,NA,NA,6130.16770186335,2207.95749440716
"OK",1904,1062797,NA,NA,NA,19465,720,NA,NA,NA,9421,9324,NA,4666,4032,634,8426,1672,34229,19841,1678,194,17159,810,748,3320,4,8063,2253,34229,197,27798,1297,NA,NA,NA,13695,5145,4419,726,12661,2551,48155,29261,1963,194,25452,1652,807,3320,101,11570,3096,48155,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364,NA,NA,NA,NA,NA,NA,NA,NA,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,979,NA,NA,NA,NA,NA,5394.90862944162,2100.38932806324
"OK",1905,1144465,NA,NA,NA,23700,900,NA,NA,NA,11780,11020,NA,6335,5431,904,12424,1982,44441,27311,2627,299,23382,1003,586,4538,22,9086,2898,44441,222,32892,1561,NA,NA,NA,15667,6950,5929,1021,18221,2921,60984,38339,2961,299,33071,2008,691,4538,188,13314,3914,60984,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,NA,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,425,NA,NA,NA,NA,NA,5155.24774774775,2032.79751332149
