"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"OR",1896,372149,NA,NA,NA,6843,195,NA,NA,NA,2268,4380,NA,3939,2342,1597,2969,671,14422,8810,1059,357,7176,218,120,946,3,3170,1373,14422,33,10154,562,NA,NA,NA,7072,4482,2588,1894,3645,1259,19540,11809,1059,357,9167,1226,120,946,95,5000,1570,19540,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,458,221,NA,NA,NA,NA,NA,11277.2424242424,4771.14102564103
"OR",1897,382090,NA,NA,NA,6136,183,NA,NA,NA,2130,3823,NA,3909,2444,1465,4646,697,15388,10130,1799,384,7716,231,11,847,2,3020,1378,15388,30,8023,377,NA,NA,NA,4718,4152,2595,1557,5240,1404,18819,11640,1801,384,8713,742,11,847,69,4678,1574,18819,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,170,NA,NA,NA,NA,NA,12736.3333333333,5234.1095890411
"OR",1898,392297,NA,NA,NA,6037,158,NA,NA,NA,1840,4039,NA,5299,2821,2478,4165,685,16186,11666,2001,400,9001,264,10,734,1,2520,1255,16186,29,11335,677,NA,NA,NA,5125,8097,4592,3505,6164,1694,27290,19861,2004,400,14391,3066,10,734,60,4318,2307,27290,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,275,NA,NA,NA,NA,NA,13527.4827586207,5373.93150684932
"OR",1899,402777,NA,NA,NA,6475,160,NA,NA,NA,1867,4448,NA,5182,2948,2234,6578,704,18939,14329,2443,473,11135,278,40,859,0,2420,1291,18939,28,11252,685,NA,NA,NA,5628,6669,3316,3353,8435,1597,27953,21085,2511,473,15516,2585,40,859,9,4415,1545,27953,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,280,NA,NA,NA,NA,NA,14384.8928571429,5163.80769230769
"OR",1900,413536,NA,NA,NA,7766,183,NA,NA,NA,2139,5444,NA,5025,2661,2364,5142,746,18679,13842,1647,450,11432,313,31,957,3,2370,1476,18679,27,19015,892,NA,NA,NA,8651,6270,3267,3003,10237,2029,37551,29550,2762,450,20947,5391,31,957,229,4920,1864,37551,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,284,NA,NA,NA,NA,NA,15316.1481481481,5301.74358974359
"OR",1901,434159,NA,NA,NA,7956,187,NA,NA,NA,2176,5593,NA,5467,2767,2700,6517,741,20681,15711,2109,490,12690,422,27,1041,3,2394,1505,20681,29,14383,714,NA,NA,NA,10876,6747,3321,3426,10396,2086,33612,26151,2307,490,19337,4017,27,1041,57,4495,1841,33612,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,383,NA,NA,NA,NA,NA,14971,5294.62195121951
"OR",1902,455809,NA,NA,NA,9307,208,NA,NA,NA,2426,6673,NA,6318,3270,3048,9002,765,25392,20256,2898,975,15889,494,0,1057,4,2420,1655,25392,30,19283,1675,NA,NA,NA,9815,10208,3994,6214,14000,2055,45546,37379,3001,975,26901,6502,0,1057,371,4683,2056,45546,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,326,NA,NA,NA,NA,NA,15193.6333333333,4954.44565217391
"OR",1903,478540,NA,NA,NA,13065,280,NA,NA,NA,3261,9524,NA,6570,3725,2845,9015,847,29497,23421,3537,1080,18243,561,10,1532,0,2545,1989,29497,33,23916,1170,NA,NA,NA,18281,9802,4161,5641,13862,1864,49444,40877,3659,1080,29406,6732,10,1532,162,4427,2436,49444,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246,NA,NA,NA,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,397,NA,NA,NA,NA,NA,14501.2121212121,4933.40206185567
"OR",1904,502404,NA,NA,NA,14212,299,NA,NA,NA,3481,10432,NA,6360,3793,2567,9656,748,30976,24399,3780,1172,18814,633,108,1599,20,2670,2180,30976,38,31434,1832,NA,NA,NA,22711,10696,6141,4555,17098,2500,61728,50477,5594,1172,34367,9344,108,1599,205,6334,3005,61728,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1323,NA,NA,NA,NA,NA,NA,NA,NA,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,356,NA,NA,NA,NA,NA,13221.1578947368,4651.88888888889
"OR",1905,527459,NA,NA,NA,15457,343,NA,NA,NA,4000,11114,NA,6502,3844,2658,11640,875,34474,27198,5019,1074,20322,783,103,1724,13,2935,2501,34474,42,31260,986,NA,NA,NA,24695,9909,4798,5111,18797,3136,63102,50413,5692,1074,34704,8943,103,1724,109,7275,3478,63102,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,419,NA,NA,NA,NA,NA,12558.5476190476,3907.1037037037
