"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"PA",1896,5861702,NA,NA,NA,247394,1600,NA,NA,NA,74597,171197,NA,70132,38358,31774,95309,18083,430918,274494,36423,706,"224283","13082",1815,27472,"54",74608,52475,430918,419,444077,68630,NA,NA,NA,220166,171444,74349,97095,140981,41353,797855,534830,39364,706,"333470","161290",3968,27472,"11468   1",19720,100397,797855,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17936,NA,NA,NA,NA,NA,NA,NA,NA,6754,NA,NA,NA,NA,NA,NA,NA,NA,NA,3501,5485,NA,NA,NA,NA,NA,13989.7422434368,7743.33157199472
"PA",1897,5968833,NA,NA,NA,251051,1756,NA,NA,NA,81844,167451,NA,74982,41672,33310,111772,18756,456561,297572,43773,815,"239078","13906",720,29107,"57",75088,54017,456561,425,449659,65605,NA,NA,NA,218135,191930,80122,111808,167889,43078,852556,580856,47242,815,"358344","174455",2778,29107,"11196   1",21779,106840,852556,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16994,NA,NA,NA,NA,NA,NA,NA,NA,7046,NA,NA,NA,NA,NA,NA,NA,NA,NA,2887,5474,NA,NA,NA,NA,NA,14044.3129411765,7812.60863874346
"PA",1898,6077921,NA,NA,NA,260948,1874,NA,NA,NA,87370,171704,NA,82924,40969,41955,129666,19490,493028,337036,51005,2280,"267854","15897",522,27749,"144",72630,54947,493028,423,465563,65442,NA,NA,NA,224209,208950,80919,128031,191104,52254,917871,649132,54768,2280,"400285","191799",2571,27749,"13647   1",18389,106383,917871,761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15845,NA,NA,NA,NA,NA,NA,NA,NA,6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,2857,4767,NA,NA,NA,NA,NA,14368.6075650118,7986.7555847569
"PA",1899,6189003,NA,NA,NA,306916,2720,NA,NA,NA,126799,177397,NA,103633,47764,55869,168221,18854,597624,439052,88525,6987,"326821","16719",158,27819,"332",72779,57484,597624,431,531525,61074,NA,NA,NA,230275,248145,89813,158332,236222,44046,1059938,797859,91380,6987,"479770","219722",2064,27819,"3967   1",18775,109454,1059938,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19816,NA,NA,NA,NA,NA,NA,NA,NA,8146,NA,NA,NA,NA,NA,NA,NA,NA,NA,4389,5433,NA,NA,NA,NA,NA,14359.6357308585,8079.63838120104
"PA",1900,6302115,NA,NA,NA,342313,2897,NA,NA,NA,135055,204361,NA,126378,57621,68757,189207,19685,677583,497924,110110,8770,"360215","18829",601,38245,"408",74784,65621,677583,452,579559,66508,NA,NA,NA,259204,281766,92884,188882,257649,46473,1165447,875956,114348,8770,"516949","235889",2950,38245,"1237   1",23126,123933,1165447,795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25502,NA,NA,NA,NA,NA,NA,NA,NA,9190,NA,NA,NA,NA,NA,NA,NA,NA,NA,3528,5820,NA,NA,NA,NA,NA,13942.732300885,7927.18867924528
"PA",1901,6426722,NA,NA,NA,384029,3436,NA,NA,NA,160160,220433,NA,156627,62475,94152,194494,21839,756989,560933,136908,8792,"389884","25349",679,43583,"104",79073,72617,756989,502,652855,70220,NA,NA,NA,276272,343420,98640,244780,272272,49443,1317990,997670,141921,8792,"574898","272059",3034,43583,"1448   1",35854,136401,1317990,855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25255,NA,NA,NA,NA,NA,NA,NA,NA,10269,NA,NA,NA,NA,NA,NA,NA,NA,NA,3111,5891,NA,NA,NA,NA,NA,12802.235059761,7516.63391812865
"PA",1902,6553793,NA,NA,NA,438001,3937,NA,NA,NA,183527,250537,NA,158496,61036,97460,205546,23458,825501,604405,145879,11268,"417589","29669",1367,40559,"944",89263,88963,825501,550,780209,80360,NA,NA,NA,321630,371225,91106,280119,288759,63326,1503519,1122189,150254,11268,"644725","315942",4461,40559,"1836   1",61531,172943,1503519,948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27985,NA,NA,NA,NA,NA,NA,NA,NA,11110,NA,NA,NA,NA,NA,NA,NA,NA,NA,2972,6719,NA,NA,NA,NA,NA,11915.9872727273,6913.28375527426
"PA",1903,6683377,NA,NA,NA,473477,3977,NA,NA,NA,185414,284086,NA,179570,71072,108498,208538,28330,889915,641337,153913,14551,"439175","33698",1981,47894,"7759",92770,98174,889915,598,880370,94823,NA,NA,NA,379636,424771,103333,321438,301890,72537,1679568,1214547,161727,14551,"690213","348056",7052,47894,"8647   1",84869,216559,1679568,1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32230,NA,NA,NA,NA,NA,NA,NA,NA,12975,NA,NA,NA,NA,NA,NA,NA,NA,NA,2928,7247,NA,NA,NA,NA,NA,11176.2157190635,6444.91513982642
"PA",1904,6815523,NA,NA,NA,478386,4028,NA,NA,NA,187805,286553,NA,188233,76324,111909,211937,31366,909922,642898,167223,9936,"427705","38034",3363,56000,"1927",94731,111003,909922,630,882759,100580,NA,NA,NA,385070,476520,109673,366847,319865,79633,1758777,1243155,175833,9936,"687612","369774",10287,56000,"2626   1",99955,246754,1758777,1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34383,NA,NA,NA,NA,NA,NA,NA,NA,14583,NA,NA,NA,NA,NA,NA,NA,NA,NA,4049,8013,NA,NA,NA,NA,NA,10818.2904761905,6179.07796917498
"PA",1905,6950281,NA,NA,NA,534072,4352,NA,NA,NA,202868,326852,NA,207559,80156,127403,250134,35648,1027413,740016,196082,5611,"491255","47068",1946,62800,"2066   1",511,120074,1027413,663,960595,103226,NA,NA,NA,427036,535104,114222,420882,368989,86533,1951221,1405573,201792,5611,"788301","409869",8483,62800,"2637   2",5289,266439,1951221,1179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34816,NA,NA,NA,NA,NA,NA,NA,NA,15527,NA,NA,NA,NA,NA,NA,NA,NA,NA,2823,8719,NA,NA,NA,NA,NA,10483.0784313725,5895.06446140797
