"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"RI",1896,393176,NA,NA,NA,35821,101,NA,NA,NA,9069,26651,NA,11805,8813,2992,7296,1546,56468,23398,3235,98,19812,253,175,7034,97,19337,6427,56468,57,83262,29153,NA,NA,NA,38046,52362,26020,26342,12338,5854,153816,112167,3507,98,30754,77808,175,7034,158,22658,11624,153816,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2279,NA,NA,NA,NA,NA,NA,NA,NA,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,1381,NA,NA,NA,NA,NA,6897.82456140351,3971.47474747475
"RI",1897,401737,NA,NA,NA,34687,91,NA,NA,NA,8165,26431,NA,12158,8748,3410,6947,1615,55407,22857,3348,99,19142,268,135,6958,11,19337,6109,55407,57,83858,28792,NA,NA,NA,39183,52692,25728,26964,11842,5905,154297,113393,3781,99,30848,78665,148,6958,700,22372,10726,154297,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307,NA,NA,NA,NA,NA,NA,NA,NA,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,984,1010,NA,NA,NA,NA,NA,7048.01754385965,4141.61855670103
"RI",1898,410485,NA,NA,NA,34053,86,NA,NA,NA,7746,26221,NA,11922,8584,3338,8206,1837,56018,23732,3706,98,19621,307,70,6936,13,19337,5930,56018,57,83071,28596,NA,NA,NA,39776,54124,24884,29240,14920,6319,158434,117990,4235,98,32793,80864,71,6936,32,22384,11021,158434,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2189,NA,NA,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,733,976,NA,NA,NA,NA,NA,7201.49122807018,4231.80412371134
"RI",1899,419423,NA,NA,NA,35839,91,NA,NA,NA,8224,27524,NA,12345,8312,4033,8605,1749,58538,27099,3441,101,23234,323,0,6670,9,18900,5860,58538,57,89845,28012,NA,NA,NA,43394,57821,25302,32519,15487,6535,169688,129411,4191,101,39101,86018,0,6670,873,21916,10818,169688,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,887,743,NA,NA,NA,NA,NA,7358.29824561404,4323.94845360825
"RI",1900,428556,NA,NA,NA,29565,64,NA,NA,NA,5760,23741,NA,9413,5818,3595,6522,1229,46729,21002,3282,146,17211,363,65,5332,3,14980,5347,46729,47,93132,28601,NA,NA,NA,45846,61602,23065,38537,16144,5842,176720,139614,3449,146,45591,90428,65,5332,653,18916,12140,176720,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,735,NA,NA,NA,NA,NA,9118.21276595745,4761.73333333333
"RI",1901,438789,NA,NA,NA,28185,63,NA,NA,NA,5687,22435,NA,9866,5288,4578,7309,1145,46505,21842,3482,140,17731,489,165,4920,2,14455,5121,46505,42,93342,28402,NA,NA,NA,44066,65702,22463,43239,17616,5498,182158,145139,6738,140,45363,92898,165,4920,184,18711,13039,182158,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1859,NA,NA,NA,NA,NA,NA,NA,NA,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,703,NA,NA,NA,NA,NA,10447.3571428571,5484.8625
"RI",1902,449266,NA,NA,NA,27693,66,NA,NA,NA,5971,21656,NA,9238,4202,5036,6053,1018,44002,21994,3050,162,18209,573,155,3901,4,12305,5643,44002,36,98864,29180,NA,NA,NA,44190,67223,20656,46567,19325,5666,191078,154845,5291,162,48374,101018,155,3901,268,17211,14698,191078,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743,NA,NA,NA,NA,NA,NA,NA,NA,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,643,NA,NA,NA,NA,NA,12479.6111111111,6071.16216216216
"RI",1903,459993,NA,NA,NA,26821,73,NA,NA,NA,6605,20143,NA,9556,4583,4973,5845,998,43220,21533,2524,211,18147,651,495,4093,1,11305,5793,43220,35,103335,29295,NA,NA,NA,45087,70183,20241,49942,17281,5008,195807,158677,5915,211,47403,105148,495,4093,343,16562,15637,195807,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1604,NA,NA,NA,NA,NA,NA,NA,NA,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,634,NA,NA,NA,NA,NA,13142.6571428571,6478.77464788732
"RI",1904,470977,NA,NA,NA,25525,65,NA,NA,NA,5806,19654,NA,11473,5159,6314,6615,1115,44728,22527,3353,230,18210,734,245,4738,48,11155,6015,44728,34,109978,30029,NA,NA,NA,49517,75794,20223,55571,27103,5208,218083,178995,9764,230,54589,114412,245,4738,751,16732,16622,218083,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,NA,NA,NA,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,602,NA,NA,NA,NA,NA,13852.2647058824,6279.69333333333
"RI",1905,482223,NA,NA,NA,25015,67,NA,NA,NA,6037,18911,NA,11103,4741,6362,6060,949,43127,24375,2777,148,20541,909,430,4321,0,8820,5181,43127,26,112582,29015,NA,NA,NA,47741,80225,19495,60730,26619,4653,224079,183436,6413,148,63185,113690,430,4321,546,15841,19505,224079,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,506,NA,NA,NA,NA,NA,18547.0384615385,7534.734375
