"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"SC",1896,1261180,NA,NA,NA,5823,44,NA,NA,NA,2384,3395,NA,1620,1089,531,1218,186,8847,4408,711,151,3061,485,851,486,0,1848,1254,8847,15,18413,2512,NA,NA,NA,10391,7200,3430,3770,3529,919,30061,18667,1082,151,10922,6512,851,486,1008,5818,3231,30061,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,215,NA,NA,NA,NA,NA,84078.6666666667,11062.9824561404
"SC",1897,1280515,NA,NA,NA,5900,41,NA,NA,NA,2236,3623,NA,1573,1048,525,1257,203,8933,4377,770,153,2938,516,967,443,0,1890,1256,8933,16,19282,2664,NA,NA,NA,12194,8079,6533,1546,3487,980,31828,20464,1188,153,11744,7379,967,443,801,5889,3264,31828,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,164,NA,NA,NA,NA,NA,80032.1875,10944.5726495727
"SC",1898,1300146,NA,NA,NA,5807,41,NA,NA,NA,2259,3507,NA,1594,1055,539,1420,508,9329,4905,802,31,3482,590,845,438,0,1898,1243,9329,16,21923,3200,NA,NA,NA,15051,7028,4735,2293,3992,1455,34398,20720,1213,31,12077,7399,845,438,2179,7023,3193,34398,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,NA,NA,NA,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,167,NA,NA,NA,NA,NA,81259.125,10834.55
"SC",1899,1320078,NA,NA,NA,5642,39,NA,NA,NA,2133,3470,NA,1976,1419,557,2177,213,10008,6082,837,254,4371,620,174,616,0,1923,1213,10008,16,23123,3465,NA,NA,NA,14699,11169,8580,2589,7125,927,42344,30845,1481,254,17709,11401,174,616,352,6771,3586,42344,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,168,NA,NA,NA,NA,NA,82504.875,10732.3414634146
"SC",1900,1340316,NA,NA,NA,6938,47,NA,NA,NA,2541,4350,NA,2631,2113,518,1686,337,11592,6601,837,324,4741,699,352,1289,2,2023,1325,11592,16,29008,4373,NA,NA,NA,18856,10125,7960,2165,6249,1694,47076,32849,1520,324,18776,12229,352,1289,1486,7630,3470,47076,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,169,NA,NA,NA,NA,NA,83769.75,9783.32846715328
"SC",1901,1356873,NA,NA,NA,8536,55,NA,NA,NA,3018,5463,NA,2735,2214,521,1755,257,13283,6906,1108,364,4493,941,1493,1439,0,2098,1347,13283,17,32387,4730,NA,NA,NA,20588,9649,7151,2498,6083,1677,49796,32495,1773,364,18077,12281,1493,1439,2787,7734,3848,49796,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,172,NA,NA,NA,NA,NA,79816.0588235294,9357.74482758621
"SC",1902,1373635,NA,NA,NA,8201,46,NA,NA,NA,2529,5626,NA,2674,2195,479,1862,230,12967,7229,1011,435,4682,1101,958,1395,1,2023,1361,12967,17,32478,4804,NA,NA,NA,20188,9027,5550,3477,7194,1384,50083,34058,1709,435,18793,13121,958,1395,1716,7866,4090,50083,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,171,NA,NA,NA,NA,NA,80802.0588235294,9281.31756756757
"SC",1903,1390603,NA,NA,NA,9366,60,NA,NA,NA,3274,6032,NA,2759,2335,424,2123,262,14510,8342,1092,483,5517,1250,932,1496,5,2273,1462,14510,19,37647,5603,NA,NA,NA,23018,6179,3213,2966,6997,1877,52700,34897,1783,483,19380,13251,932,1496,2169,9106,4100,52700,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,244,NA,NA,NA,NA,NA,73189.6315789474,8132.18128654971
"SC",1904,1407781,NA,NA,NA,10462,66,NA,NA,NA,3585,6811,NA,3874,2993,881,2700,518,17554,9747,1250,425,6661,1411,1350,1856,39,2935,1627,17554,23,42657,6376,NA,NA,NA,26160,7716,4120,3596,7543,1752,59668,35614,1923,425,20064,13202,1350,1856,5266,10654,4928,59668,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,NA,NA,NA,NA,NA,NA,NA,NA,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,220,NA,NA,NA,NA,NA,61207.8695652174,7146.09644670051
"SC",1905,1425172,NA,NA,NA,11453,77,NA,NA,NA,4206,7170,NA,3983,3166,817,3339,562,19337,11558,1583,324,7905,1746,874,2169,26,2973,1737,19337,23,39604,5595,NA,NA,NA,24010,6885,4148,2737,9419,2329,58237,39012,2297,324,21997,14394,874,2169,121,10828,5233,58237,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1171,NA,NA,NA,NA,NA,NA,NA,NA,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,234,NA,NA,NA,NA,NA,61964,7055.30693069307
"SC",1906,1442777,NA,NA,NA,14217,94,NA,NA,NA,5124,8999,NA,4308,3329,979,3693,753,22971,13703,2034,353,9260,2056,1678,2317,128,3298,1847,22971,26,51476,7397,NA,NA,NA,26324,7900,4706,3194,9371,1808,70555,44307,2821,353,25215,15918,2470,2317,5237,10765,5459,70555,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,278,NA,NA,NA,NA,NA,55491.4230769231,6588.02283105023
"SC",1907,1460600,NA,NA,NA,14599,93,NA,NA,NA,5060,9446,NA,4896,3920,976,3839,749,24083,14426,2252,591,8514,3069,1598,2616,99,3310,2034,24083,25,54800,7972,NA,NA,NA,27830,8728,5562,3166,8966,2024,74518,45549,2969,591,23791,18198,2429,2616,5629,11887,6408,74518,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1357,NA,NA,NA,NA,NA,NA,NA,NA,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,290,NA,NA,NA,NA,NA,58424,6085.83333333333
"SC",1908,1478643,NA,NA,NA,15369,100,NA,NA,NA,5464,9805,NA,5619,4518,1101,3661,828,25477,14363,2174,792,7669,3728,1487,3117,115,4230,2165,25477,29,53515,7585,NA,NA,NA,27304,9171,6200,2971,9203,2283,74172,42984,2709,792,22451,17032,2589,3117,5481,13423,6578,74172,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,423,NA,NA,NA,NA,NA,50987.6896551724,5643.67557251908
"SC",1909,1496909,NA,NA,NA,16457,106,NA,NA,NA,5709,10642,NA,6180,5324,856,4675,914,28226,16779,2317,428,8759,5275,915,3548,45,4510,2429,28226,32,56059,7882,NA,NA,NA,28635,9919,7348,2571,11860,2479,80317,49853,3061,428,25592,20772,5165,3548,394,14132,7225,80317,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442,NA,NA,NA,NA,NA,NA,NA,NA,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,381,NA,NA,NA,NA,NA,46778.40625,5503.34191176471
"SC",1910,1515400,NA,NA,NA,22311,122,NA,NA,NA,7983,14206,NA,6056,5178,878,4296,1019,33682,19208,2576,210,9060,7362,2755,4024,35,4985,2675,33682,39,71576,10212,NA,NA,NA,35714,9799,6932,2867,10560,2742,94677,56018,3284,210,27590,24934,11624,4024,39,14934,8038,94677,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736,NA,NA,NA,NA,NA,NA,NA,NA,862,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,392,NA,NA,NA,NA,NA,38856.4102564103,5189.72602739726
"SC",1911,1531446,NA,NA,NA,23534,112,NA,NA,NA,8601,14821,NA,6637,5693,944,5589,1058,36818,22132,3186,206,10458,8282,1745,4409,55,5410,3067,36818,43,78530,11597,NA,NA,NA,38166,10502,7636,2866,12999,3029,105060,63774,4013,206,30286,29269,10756,4409,239,16573,9309,105060,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2097,NA,NA,NA,NA,NA,NA,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,452,NA,NA,NA,NA,NA,35615.023255814,4683.32110091743
"SC",1912,1547662,NA,NA,NA,25350,227,NA,NA,NA,9211,15912,NA,6818,5911,907,5479,1180,38827,22544,3206,216,10181,8941,2259,4720,47,5735,3522,38827,46,81823,12248,NA,NA,NA,40332,10576,7766,2810,12601,3375,108375,64423,4107,216,29925,30175,10800,4720,190,17780,10462,108375,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2292,NA,NA,NA,NA,NA,NA,NA,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,502,NA,NA,NA,NA,NA,33644.8260869565,4473.01156069364
"SC",1913,1564049,NA,NA,NA,28914,230,NA,NA,NA,10592,18092,NA,7033,6014,1019,5735,1344,43026,23176,2930,240,10136,9870,4814,4928,49,6365,3694,43026,48,88777,12794,NA,NA,NA,44301,10565,6795,3770,13428,4176,116946,64760,3621,240,28319,32580,16751,4928,441,19066,11000,116946,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2562,NA,NA,NA,NA,NA,NA,NA,NA,1509,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,796,NA,NA,NA,NA,NA,32584.3541666667,4083.67885117493
"SC",1914,1580610,NA,NA,NA,30736,617,NA,NA,NA,11126,18993,NA,7681,6439,1242,5806,2102,46325,25159,2875,435,14049,7800,4452,5432,122,7210,3950,46325,51,95045,12333,NA,NA,NA,52937,11182,8201,2981,14147,5161,125535,70422,4081,435,35414,30492,16848,5432,1081,20166,11586,125535,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2838,NA,NA,NA,NA,NA,NA,NA,NA,1552,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,614,NA,NA,NA,NA,NA,30992.3529411765,4159.5
"SC",1915,1597346,NA,NA,NA,37077,995,NA,NA,NA,15388,20694,NA,8593,7211,1382,6248,2668,54586,28535,2743,390,15266,10136,5749,5701,41,9167,5393,54586,71,90497,11757,NA,NA,NA,47049,12254,8617,3637,13641,5898,122290,67459,4082,390,32269,30718,14687,5701,1024,20806,12613,122290,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3562,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,777,NA,NA,NA,NA,NA,22497.8309859155,4159.75520833333
"SC",1916,1614260,NA,NA,NA,39700,1703,NA,NA,NA,16614,21383,NA,9158,6990,2168,9312,2826,60996,37009,3716,261,18518,14514,3658,5970,27,9141,5191,60996,74,97865,13394,NA,NA,NA,49884,12888,7614,5274,18547,6558,135858,83098,4823,261,38393,39621,12125,5970,1471,20802,12392,135858,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3652,NA,NA,NA,NA,NA,NA,NA,NA,2235,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,894,NA,NA,NA,NA,NA,21814.3243243243,4128.54219948849
"SC",1917,1631353,NA,NA,NA,46546,2081,NA,NA,NA,20702,23763,NA,10472,7647,2825,11025,4279,72322,45283,5187,249,21705,18142,4371,6231,1494,9280,5663,72322,77,113485,15603,NA,NA,NA,56228,14899,9035,5864,22986,8484,159854,103647,6610,249,47885,48903,12193,6231,3111,20979,13693,159854,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3984,NA,NA,NA,NA,NA,NA,NA,NA,2415,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,865,NA,NA,NA,NA,NA,21186.4025974026,4048.0223325062
"SC",1919,1666083,NA,NA,NA,71194,1549,NA,NA,NA,38091,31554,NA,31829,29107,2722,19903,7012,129938,79360,7293,3701,38132,30234,23730,6991,4189,9555,6113,129938,79,177880,23100,NA,NA,NA,82443,46412,40118,6294,40039,13808,278139,183518,9839,3786,94709,75184,40459,6991,8299,22841,16031,278139,421,5743,NA,NA,NA,264,NA,1,NA,NA,263,6271,934,1131,1243,NA,NA,NA,479,652,4445,178,NA,NA,166,54,NA,NA,59,NA,279,929,NA,NA,NA,NA,130,21089.6582278481,3957.44180522565
