"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"SD",1896,379479,NA,NA,NA,3445,170,NA,NA,NA,1656,1619,NA,1388,937,451,1756,649,7238,4247,175,151,2775,1146,93,484,0,1935,479,7238,31,7243,937,NA,NA,NA,2512,1662,1147,515,3001,1657,13563,7940,215,151,4865,2709,93,484,0,4122,924,13563,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,71,NA,NA,NA,NA,NA,12241.2580645161,2096.56906077348
"SD",1897,384885,NA,NA,NA,2981,151,NA,NA,NA,1468,1362,NA,1307,873,434,1746,624,6658,4054,214,158,2464,1218,39,429,6,1695,435,6658,27,6676,897,NA,NA,NA,2231,1616,1182,434,3693,1598,13583,8363,351,158,4850,3004,217,429,6,3780,788,13583,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,43,NA,NA,NA,NA,NA,14255,2091.76630434783
"SD",1898,390368,NA,NA,NA,3637,218,NA,NA,NA,2121,1298,NA,1226,820,406,1495,590,6948,4414,205,148,2669,1392,90,415,0,1585,444,6948,26,8463,1193,NA,NA,NA,2432,1521,1115,406,3583,1666,15233,9882,325,148,5460,3949,372,415,0,3663,901,15233,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,NA,NA,NA,NA,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,73,NA,NA,NA,NA,NA,15014.1538461538,2054.56842105263
"SD",1899,395930,NA,NA,NA,3745,207,NA,NA,NA,2014,1524,NA,1420,994,426,2535,538,8238,5779,454,199,3662,1464,31,495,1,1460,472,8238,25,9875,1445,NA,NA,NA,2965,1755,1329,426,5680,1708,19018,13575,585,199,7662,5129,303,495,1,3613,1031,19018,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,81,NA,NA,NA,NA,NA,15837.2,2030.41025641026
"SD",1900,401570,NA,NA,NA,4388,242,NA,NA,NA,2364,1782,NA,1304,913,391,2648,513,8853,6342,352,187,4154,1649,20,486,0,1460,545,8853,26,11859,1729,NA,NA,NA,3717,1618,1227,391,5844,1683,21004,15301,660,187,8510,5944,359,486,0,3650,1208,21004,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,88,NA,NA,NA,NA,NA,15445,1958.87804878049
"SD",1901,416887,NA,NA,NA,5493,287,NA,NA,NA,2795,2411,NA,1557,1065,492,3344,502,10896,8210,588,225,5177,2220,36,579,0,1535,536,10896,30,14827,2116,NA,NA,NA,5053,1903,1411,492,7442,1660,25832,19680,713,225,10995,7747,341,579,0,3877,1355,25832,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,126,NA,NA,NA,NA,NA,13896.2333333333,1939.00930232558
"SD",1902,432788,NA,NA,NA,7593,357,NA,NA,NA,3477,3759,NA,1845,1287,558,4472,562,14472,11268,1038,331,7301,2598,38,667,2,1820,677,14472,42,20505,2849,NA,NA,NA,7723,2214,1519,695,11231,1920,35870,28742,1369,331,16638,10404,290,667,2,4400,1769,35870,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,159,NA,NA,NA,NA,NA,10304.4761904762,1591.13235294118
"SD",1903,449295,NA,NA,NA,9771,446,NA,NA,NA,4352,4973,NA,2309,1624,685,3697,638,16415,12210,702,352,8205,2951,93,920,1,2270,921,16415,57,23937,3138,NA,NA,NA,9661,2692,1858,834,8948,2020,37597,29097,920,352,15970,11855,448,920,1,5023,2108,37597,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,188,NA,NA,NA,NA,NA,7882.36842105263,1482.82178217822
"SD",1904,466432,NA,NA,NA,10083,468,NA,NA,NA,4563,5052,NA,2209,1718,491,4058,731,17081,12355,821,311,7892,3331,64,1149,10,2420,1083,17081,62,24489,3162,NA,NA,NA,10152,2621,1982,639,10184,2310,39604,30054,1067,311,15940,12736,393,1149,10,5602,2396,39604,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914,NA,NA,NA,NA,NA,NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,312,NA,NA,NA,NA,NA,7523.09677419355,1430.77300613497
"SD",1905,484223,NA,NA,NA,11967,572,NA,NA,NA,5579,5816,NA,2417,1908,509,4806,794,19984,14586,1107,268,9089,4122,101,1313,3,2735,1246,19984,71,28394,3595,NA,NA,NA,12025,2829,2201,628,11379,2516,45118,34678,1427,268,18244,14739,369,1313,3,6102,2653,45118,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026,NA,NA,NA,NA,NA,NA,NA,NA,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,359,NA,NA,NA,NA,NA,6820.04225352113,1403.54492753623
"SD",1906,502692,NA,NA,NA,14741,599,NA,NA,NA,5843,8299,NA,2803,2190,613,5771,935,24250,18296,1506,317,11621,4852,66,1658,0,2895,1335,24250,76,34832,4235,NA,NA,NA,16376,3294,2484,810,14783,3042,55951,44277,1977,317,23699,18284,224,1658,0,6822,2970,55951,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159,NA,NA,NA,NA,NA,NA,NA,NA,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,264,NA,NA,NA,NA,NA,6614.36842105263,1272.63797468354
"SD",1907,521866,NA,NA,NA,17617,608,NA,NA,NA,5928,11081,NA,3739,2732,1007,6616,1219,29191,22545,2194,793,12315,7243,90,1793,80,3150,1533,29191,83,44370,5397,NA,NA,NA,22451,4255,3054,1201,17710,3591,69926,56626,2998,793,28180,24655,330,1793,80,7793,3304,69926,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351,NA,NA,NA,NA,NA,NA,NA,NA,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,349,NA,NA,NA,NA,NA,6287.5421686747,1136.96296296296
"SD",1908,541771,NA,NA,NA,18394,642,NA,NA,NA,6256,11496,NA,3906,2977,929,6744,1324,30368,23310,2383,711,11416,8800,115,2012,1,3417,1513,30368,89,46380,5568,NA,NA,NA,24061,4565,3330,1235,17748,3913,72606,58499,3241,711,27584,26963,457,2012,1,8521,3116,72606,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1516,NA,NA,NA,NA,NA,NA,NA,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,421,NA,NA,NA,NA,NA,6087.31460674157,1081.37924151697
"SD",1909,562435,NA,NA,NA,21325,774,NA,NA,NA,7568,12983,NA,5218,4418,800,11670,1418,39631,32034,4830,753,14001,12450,123,2274,24,3630,1546,39631,93,55515,6723,NA,NA,NA,29112,5764,4735,1029,27333,4410,93022,77110,6770,753,37076,32511,689,2274,97,9180,3672,93022,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760,NA,NA,NA,NA,NA,NA,NA,NA,1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,471,NA,NA,NA,NA,NA,6047.68817204301,1028.21755027422
"SD",1910,583888,NA,NA,NA,26350,796,NA,NA,NA,8792,16762,NA,5165,3849,1316,9270,1576,42361,33406,4087,569,14879,13871,416,2775,39,3865,1860,42361,98,70528,7678,NA,NA,NA,30112,5406,3913,1493,25199,4555,105688,86869,6660,569,40539,39101,1205,2775,104,10811,3924,105688,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2435,NA,NA,NA,NA,NA,NA,NA,NA,1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,527,NA,NA,NA,NA,NA,5958.04081632653,974.771285475793
"SD",1911,588952,NA,NA,NA,25771,752,NA,NA,NA,9297,15722,NA,5428,4080,1348,8828,1652,41679,32060,3575,547,12970,14968,297,3042,40,4205,2035,41679,102,69687,7525,NA,NA,NA,29470,5732,4145,1587,22569,4949,102937,81575,5866,547,34543,40619,1863,3042,95,11856,4506,102937,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2632,NA,NA,NA,NA,NA,NA,NA,NA,1738,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,556,NA,NA,NA,NA,NA,5774.03921568627,934.844444444444
