"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"TN",1896,1915296,NA,NA,NA,18894,266,NA,NA,NA,5912,12716,NA,3349,2733,616,6854,1721,30818,18110,2799,280,14235,796,289,1478,0,8325,2616,30818,48,32708,1894,NA,NA,NA,21439,4222,3055,1167,12979,3047,52956,31624,3103,280,25411,2830,384,1478,121,15407,3942,52956,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576,NA,NA,NA,NA,NA,NA,NA,NA,707,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,490,NA,NA,NA,NA,NA,39902,11333.1124260355
"TN",1897,1941100,NA,NA,NA,19850,285,NA,NA,NA,6345,13220,NA,3730,2852,878,8539,1833,33952,20030,3138,292,15754,846,413,1549,530,8760,2670,33952,49,31079,764,NA,NA,NA,21347,4977,3686,1291,14156,2978,53190,32788,3293,292,26504,2699,479,1549,614,13860,3900,53190,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534,NA,NA,NA,NA,NA,NA,NA,NA,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,542,NA,NA,NA,NA,NA,39614.2857142857,11418.2352941176
"TN",1898,1967251,NA,NA,NA,20151,287,NA,NA,NA,6383,13481,NA,3959,2991,968,9941,1740,35791,22426,3239,332,17888,967,712,1553,41,8435,2624,35791,49,33316,909,NA,NA,NA,22817,5368,3936,1432,15944,3236,57864,37629,3661,332,30334,3302,792,1553,143,13959,3788,57864,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,NA,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,527,NA,NA,NA,NA,NA,40147.9795918367,11504.3918128655
"TN",1899,1993755,NA,NA,NA,21541,283,NA,NA,NA,6287,14971,NA,4463,3701,762,10554,1500,38058,25825,4646,364,19798,1017,175,1988,31,7360,2679,38058,47,37666,1320,NA,NA,NA,25356,6403,5117,1286,18478,2723,65270,45792,5085,364,36202,4141,243,1988,119,13170,3958,65270,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,798,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,570,NA,NA,NA,NA,NA,42420.3191489362,11392.8857142857
"TN",1900,2020616,NA,NA,NA,23571,304,NA,NA,NA,6767,16500,NA,6025,5061,964,10860,1520,41976,28200,5372,510,21172,1146,545,2916,15,7310,2990,41976,48,41927,2481,NA,NA,NA,26249,8394,6999,1395,17764,2769,70854,49435,5991,510,38325,4609,669,2916,173,13287,4374,70854,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045,NA,NA,NA,NA,NA,NA,NA,NA,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,503,NA,NA,NA,NA,NA,42096.1666666667,11041.6174863388
"TN",1901,2036462,NA,NA,NA,24594,352,NA,NA,NA,7838,16404,NA,6652,5637,1015,10438,1554,43238,29050,4975,642,21891,1542,388,3629,19,7265,2887,43238,55,45106,2602,NA,NA,NA,28117,10605,8574,2031,16173,3539,75423,52462,5629,642,40780,5411,739,3629,470,13851,4272,75423,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,NA,NA,NA,NA,NA,NA,NA,NA,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,597,NA,NA,NA,NA,NA,37026.5818181818,10131.6517412935
"TN",1902,2052433,NA,NA,NA,25650,326,NA,NA,NA,7266,18058,NA,6802,5659,1143,13085,1419,46956,33288,5993,831,24659,1805,86,3489,41,7070,2982,46956,59,45600,2337,NA,NA,NA,30245,11332,8684,2648,20835,2173,79940,58002,6879,831,43126,7166,196,3489,182,13534,4537,79940,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,569,NA,NA,NA,NA,NA,34787,9681.28773584906
"TN",1903,2068528,NA,NA,NA,31062,403,NA,NA,NA,8978,21681,NA,7643,6228,1415,16974,1452,57131,42171,9219,1597,29305,2050,453,3646,71,7345,3445,57131,60,56702,2759,NA,NA,NA,38368,12488,9100,3388,27396,2289,98875,74181,10390,1597,53113,9081,654,3646,330,14658,5406,98875,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254,NA,NA,NA,NA,NA,NA,NA,NA,991,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,607,NA,NA,NA,NA,NA,34475.4666666667,9275.91031390135
"TN",1904,2084750,NA,NA,NA,32902,410,NA,NA,NA,9132,23360,NA,8004,6668,1336,17021,1672,59599,43835,8707,1498,31316,2314,224,4179,55,7370,3936,59599,60,60946,2738,NA,NA,NA,42730,11816,8641,3175,28338,6244,107344,78922,10088,1498,57202,10134,1360,4179,1512,15278,6093,107344,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2432,NA,NA,NA,NA,NA,NA,NA,NA,1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,633,NA,NA,NA,NA,NA,34745.8333333333,8372.48995983936
"TN",1905,2101100,NA,NA,NA,37092,512,NA,NA,NA,11395,25185,NA,8975,7616,1359,15958,1621,63646,45473,9083,1094,32432,2864,455,5339,69,7875,4435,63646,65,72585,3142,NA,NA,NA,51116,12120,9008,3112,30640,7372,122717,88506,10636,1094,63583,13193,2147,5339,2240,17364,7121,122717,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643,NA,NA,NA,NA,NA,NA,NA,NA,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1073,NA,NA,NA,NA,NA,32324.6153846154,7050.6711409396
