"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"UT",1896,248189,NA,NA,NA,3062,61,NA,NA,NA,1547,1454,NA,1363,1132,231,1403,536,6364,3164,254,116,2423,371,25,446,0,1900,829,6364,11,8134,2207,NA,NA,NA,3021,1813,1328,485,3220,2018,15185,8510,802,116,5403,2189,25,446,246,4509,1449,15185,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,128,NA,NA,NA,NA,NA,22562.6363636364,6707.81081081081
"UT",1897,255040,NA,NA,NA,2524,46,NA,NA,NA,1163,1315,NA,1429,1212,217,2016,478,6447,3659,349,105,2810,395,3,434,0,1750,601,6447,11,6310,1046,NA,NA,NA,3397,1931,1412,519,5026,1686,14953,9665,682,105,6282,2596,3,434,154,3691,1006,14953,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,115,NA,NA,NA,NA,NA,23185.4545454545,7286.85714285714
"UT",1898,262080,NA,NA,NA,2943,51,NA,NA,NA,1279,1613,NA,1579,1294,285,2184,480,7186,4354,443,160,3300,451,2,492,0,1750,588,7186,11,8813,1178,NA,NA,NA,5305,2226,1501,725,6507,2198,19744,14415,1451,160,8759,4045,2,492,122,3863,850,19744,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,105,NA,NA,NA,NA,NA,23825.4545454545,7083.24324324324
"UT",1899,269315,NA,NA,NA,2874,47,NA,NA,NA,1189,1638,NA,1874,1476,398,2729,499,7976,5304,514,565,3750,475,2,432,5,1650,583,7976,11,10522,1217,NA,NA,NA,6931,2763,1737,1026,8430,1487,23202,18091,1856,565,10560,5110,2,432,121,3610,946,23202,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,159,NA,NA,NA,NA,NA,24483.1818181818,7278.78378378378
"UT",1900,276749,NA,NA,NA,3514,50,NA,NA,NA,1261,2203,NA,2370,1710,660,2847,462,9193,6050,573,651,4291,535,0,807,0,1650,686,9193,11,14731,1934,NA,NA,NA,9551,4759,2374,2385,6596,2067,28153,22308,1472,651,13291,6894,0,807,175,3957,906,28153,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,127,NA,NA,NA,NA,NA,25159,7096.12820512821
"UT",1901,285160,NA,NA,NA,4180,55,NA,NA,NA,1404,2721,NA,2748,2121,627,4144,432,11504,7850,744,632,5754,720,0,1254,129,1600,671,11504,10,12477,1573,NA,NA,NA,7849,5591,2869,2722,13005,2268,33341,25345,2013,632,15116,7584,0,1254,538,3889,2315,33341,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,160,NA,NA,NA,NA,NA,28516,7707.02702702703
"UT",1902,293827,NA,NA,NA,4810,49,NA,NA,NA,1240,3521,NA,2883,2162,721,5234,429,13356,9548,1185,701,6820,842,5,1251,18,1680,854,13356,12,17632,2588,NA,NA,NA,10970,5814,2889,2925,10202,1913,35561,27513,2664,701,16184,7964,5,1251,291,3960,2541,35561,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,160,NA,NA,NA,NA,NA,24485.5833333333,7345.675
"UT",1903,302758,NA,NA,NA,6129,85,NA,NA,NA,2140,3904,NA,2828,2231,597,3647,397,13001,9104,1033,696,6418,957,0,1261,9,1703,924,13001,13,19305,2891,NA,NA,NA,11072,5586,2874,2712,7214,1571,33676,25487,2145,696,14970,7676,0,1261,410,4007,2511,33676,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,173,NA,NA,NA,NA,NA,23289.0769230769,7384.34146341463
"UT",1904,311960,NA,NA,NA,6473,77,NA,NA,NA,1962,4434,NA,2674,2110,564,4075,405,13627,9525,1367,474,6604,1080,25,1326,27,1730,994,13627,14,20288,3227,NA,NA,NA,11438,5095,2641,2454,8083,1410,34876,26176,2690,474,15050,7962,25,1326,407,4074,2868,34876,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,171,NA,NA,NA,NA,NA,22282.8571428571,7254.88372093023
"UT",1905,321441,NA,NA,NA,8118,98,NA,NA,NA,2492,5528,NA,2772,2150,622,6078,424,17392,12899,2408,311,8844,1336,40,1438,26,1930,1059,17392,17,23316,3791,NA,NA,NA,12671,5299,2666,2633,13339,1637,43591,34647,4156,311,19684,10496,40,1438,959,4713,1794,43591,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,NA,NA,NA,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,208,NA,NA,NA,NA,NA,18908.2941176471,6181.55769230769
