"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"VA",1896,1772204,NA,NA,NA,15229,118,NA,NA,NA,4085,11026,NA,4151,3325,826,5147,1135,25662,15435,1156,620,12492,1167,237,1802,16,4796,3376,25662,37,34268,2867,NA,NA,NA,23986,6297,3923,2374,9175,2348,52088,31649,1537,620,24216,5276,605,1802,434,11037,6561,52088,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1232,NA,NA,NA,NA,NA,NA,NA,NA,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,408,NA,NA,NA,NA,NA,47897.4054054054,12480.3098591549
"VA",1897,1792353,NA,NA,NA,14834,123,NA,NA,NA,4283,10428,NA,4552,3564,988,5688,1214,26288,16193,1331,554,13068,1240,119,1984,0,4646,3346,26288,35,33165,2776,NA,NA,NA,22905,6832,4203,2629,10334,2386,52717,33211,1762,554,24937,5958,488,1984,121,10463,6450,52717,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,NA,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,360,NA,NA,NA,NA,NA,51210.0857142857,12802.5214285714
"VA",1898,1812731,NA,NA,NA,15340,119,NA,NA,NA,4146,11075,NA,4564,3582,982,6910,1524,28338,18504,1773,732,14581,1418,165,1717,13,4546,3393,28338,35,33901,2808,NA,NA,NA,23708,7010,4271,2739,12910,2723,56544,37677,2417,732,28132,6396,465,1717,165,10033,6487,56544,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237,NA,NA,NA,NA,NA,NA,NA,NA,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,353,NA,NA,NA,NA,NA,51792.3142857143,12084.8733333333
"VA",1899,1833340,NA,NA,NA,17238,151,NA,NA,NA,5227,11860,NA,7199,5738,1461,7652,1210,33299,22643,2227,2043,16882,1491,217,2194,118,4591,3536,33299,36,40409,3457,NA,NA,NA,27637,10703,7091,3612,13531,2688,67331,46964,3134,2043,34217,7570,585,2194,249,10431,6908,67331,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1357,NA,NA,NA,NA,NA,NA,NA,NA,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,345,NA,NA,NA,NA,NA,50926.1111111111,12304.2953020134
"VA",1900,1854184,NA,NA,NA,21354,203,NA,NA,NA,7036,14115,NA,8641,7289,1352,7678,1194,38867,25025,2960,2695,17691,1679,902,3298,454,5094,4094,38867,40,46721,3838,NA,NA,NA,31385,11806,8411,3395,13705,2897,75129,50620,3770,2695,35973,8182,1402,3298,821,11061,7927,75129,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716,NA,NA,NA,NA,NA,NA,NA,NA,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,364,NA,NA,NA,NA,NA,46354.6,11661.534591195
"VA",1901,1873951,NA,NA,NA,23642,208,NA,NA,NA,7216,16218,NA,9378,7525,1853,9526,1208,43754,29374,3094,2607,21413,2260,473,3866,313,5335,4393,43754,47,51255,4182,NA,NA,NA,35015,13435,8848,4587,16015,3077,83782,57999,4086,2607,41517,9789,1032,3866,631,11740,8514,83782,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,NA,NA,NA,NA,NA,NA,NA,NA,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,438,NA,NA,NA,NA,NA,39871.2978723404,10240.1693989071
"VA",1902,1893929,NA,NA,NA,29768,240,NA,NA,NA,8333,21195,NA,10814,8623,2191,10899,1349,52830,35670,4237,3281,25507,2645,592,4334,520,6477,5237,52830,58,59101,4462,NA,NA,NA,41163,14741,9669,5072,18648,3081,95571,66366,5074,3281,46933,11078,1189,4334,978,13065,9639,95571,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,843,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,446,NA,NA,NA,NA,NA,32653.9482758621,9469.645
"VA",1903,1914120,NA,NA,NA,34242,280,NA,NA,NA,9719,24243,NA,11010,8088,2922,11058,2692,59002,38975,4911,3769,27290,3005,1274,4822,1229,6817,5885,59002,67,67857,5115,NA,NA,NA,47126,15468,9282,6186,18475,4823,106623,72467,6036,3769,49958,12704,1938,4822,1968,14144,11284,106623,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2314,NA,NA,NA,NA,NA,NA,NA,NA,980,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,664,NA,NA,NA,NA,NA,28568.9552238806,8358.60262008734
"VA",1904,1934526,NA,NA,NA,38887,299,NA,NA,NA,10395,28193,NA,11652,7915,3737,13297,3465,67301,45750,5795,3153,33410,3392,697,5173,1769,7594,6318,67301,78,75099,5546,NA,NA,NA,52700,16219,9332,6887,22565,5504,119387,83332,6968,3153,58335,14876,1435,5173,2026,15758,11663,119387,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2519,NA,NA,NA,NA,NA,NA,NA,NA,1189,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,514,NA,NA,NA,NA,NA,24801.6153846154,7738.104
"VA",1905,1955149,NA,NA,NA,43847,330,NA,NA,NA,11465,32052,NA,12959,9443,3516,14653,3102,74561,51142,7755,2298,36892,4197,422,6389,1405,8204,6999,74561,84,86234,6903,NA,NA,NA,59694,18402,11081,7321,24021,5141,133798,93692,9289,2298,64374,17731,1247,6389,1887,17467,13116,133798,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2810,NA,NA,NA,NA,NA,NA,NA,NA,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,634,NA,NA,NA,NA,NA,23275.5833333333,7214.57195571956
