"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"VT",1896,339109,NA,NA,NA,12457,140,NA,NA,NA,2501,9816,NA,6039,4783,1256,3049,592,22137,9145,662,50,7882,551,229,3376,4,6985,2398,22137,49,34307,18291,NA,NA,NA,12762,16852,15183,1669,4570,1399,57128,41372,662,50,7882,32778,309,3376,16,7892,4163,57128,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004,NA,NA,NA,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,438,NA,NA,NA,NA,NA,6920.59183673469,3810.21348314607
"VT",1897,340236,NA,NA,NA,12010,140,NA,NA,NA,2502,9368,NA,6573,5241,1332,3416,650,22649,9493,561,50,8296,586,108,3633,4,6985,2426,22649,49,33644,18283,NA,NA,NA,12163,17622,15808,1814,5280,1628,58174,42197,581,50,8296,33270,161,3633,19,7908,4256,58174,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,422,NA,NA,NA,NA,NA,6943.59183673469,3738.85714285714
"VT",1898,341367,NA,NA,NA,11938,124,NA,NA,NA,2216,9598,NA,6719,5370,1349,3756,689,23102,10052,431,124,8827,670,90,3683,4,6885,2388,23102,49,33959,18596,NA,NA,NA,12451,18327,16498,1829,6079,1665,60030,44192,445,124,8827,34796,139,3683,29,7784,4203,60030,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038,NA,NA,NA,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,430,NA,NA,NA,NA,NA,6966.67346938776,3792.96666666667
"VT",1899,342502,NA,NA,NA,12098,132,NA,NA,NA,2360,9606,NA,7535,5765,1770,3979,680,24292,11235,534,349,9647,705,58,3746,3,6860,2390,24292,49,35841,20286,NA,NA,NA,12409,19316,16937,2379,6691,1812,63660,47816,564,349,9647,37256,121,3746,8,7735,4234,63660,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,400,NA,NA,NA,NA,NA,6989.83673469388,3848.33707865169
"VT",1900,343641,NA,NA,NA,12560,146,NA,NA,NA,2605,9809,NA,7003,5053,1950,4021,643,24227,10949,604,271,9280,794,77,3794,2,6760,2645,24227,48,38597,22425,NA,NA,NA,12900,18377,15941,2436,6799,1807,65580,49344,659,271,9280,39134,140,3794,9,7680,4613,65580,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395,NA,NA,NA,NA,NA,NA,NA,NA,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,421,NA,NA,NA,NA,NA,7159.1875,3861.13483146067
"VT",1901,344853,NA,NA,NA,12558,152,NA,NA,NA,2724,9682,NA,8041,5436,2605,4418,630,25647,12471,822,256,10324,1069,75,4150,5,6435,2511,25647,47,40017,24047,NA,NA,NA,12659,19765,16687,3078,7531,1717,69030,52731,857,256,10324,41294,157,4150,17,7380,4595,69030,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1151,NA,NA,NA,NA,NA,NA,NA,NA,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,473,NA,NA,NA,NA,NA,7337.29787234043,3918.78409090909
"VT",1902,346069,NA,NA,NA,12913,167,NA,NA,NA,2984,9762,NA,8687,5661,3026,4209,629,26438,13168,671,391,10855,1251,40,4142,2,6460,2626,26438,48,42344,25872,NA,NA,NA,12899,21151,17681,3470,6737,1601,71833,55233,698,391,10855,43289,102,4142,8,7423,4925,71833,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,408,NA,NA,NA,NA,NA,7209.77083333333,3888.41573033708
"VT",1903,347290,NA,NA,NA,13077,171,NA,NA,NA,3046,9860,NA,10285,6797,3488,3318,678,27358,13410,670,975,10345,1420,96,4480,41,6460,2871,27358,48,45181,27892,NA,NA,NA,13439,22940,19002,3938,6045,1568,75734,58113,706,975,10345,46087,165,4480,48,7510,5418,75734,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133,NA,NA,NA,NA,NA,NA,NA,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,452,NA,NA,NA,NA,NA,7235.20833333333,3858.77777777778
"VT",1904,348515,NA,NA,NA,12341,175,NA,NA,NA,3120,9046,NA,10250,6532,3718,3691,720,27002,13021,857,722,9839,1603,216,4611,93,6275,2786,27002,50,46164,29398,NA,NA,NA,12933,23765,19630,4135,6711,1445,78085,60096,943,722,9839,48592,334,4611,99,7375,5570,78085,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136,NA,NA,NA,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,550,NA,NA,NA,NA,NA,6970.3,3747.47311827957
"VT",1905,349744,NA,NA,NA,12438,159,NA,NA,NA,2839,9440,NA,9580,6074,3506,3881,723,26622,13093,757,393,9959,1984,45,4405,71,6180,2828,26622,50,48773,31495,NA,NA,NA,13853,23440,19468,3972,6906,1433,80552,62561,835,393,9959,51374,184,4405,82,7393,5927,80552,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275,NA,NA,NA,NA,NA,NA,NA,NA,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,599,NA,NA,NA,NA,NA,6994.88,3681.51578947368
"VT",1906,350978,NA,NA,NA,13752,194,NA,NA,NA,3464,10094,NA,9679,6146,3533,3845,729,28005,14463,969,335,10824,2335,124,4555,53,5735,3075,28005,50,53333,33878,NA,NA,NA,15190,23679,19752,3927,6659,1376,85047,66683,999,335,12730,52619,286,4555,61,6948,6514,85047,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202,NA,NA,NA,NA,NA,NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,410,NA,NA,NA,NA,NA,7019.56,3694.50526315789
"VT",1907,352216,NA,NA,NA,15252,211,NA,NA,NA,3770,11271,NA,9795,6303,3492,3778,714,29539,15777,897,603,10791,3486,161,4591,67,5685,3258,29539,50,59053,36523,NA,NA,NA,17537,24945,21137,3808,7169,1640,92807,73324,905,603,13374,58442,452,4591,79,7073,7288,92807,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,464,NA,NA,NA,NA,NA,7044.32,3594.04081632653
