"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"WA",1896,446509,NA,NA,NA,7717,259,NA,NA,NA,3491,3967,NA,2429,1406,1023,3250,1483,14879,7907,481,53,6243,1130,248,908,7,4600,1209,14879,41,13226,1501,NA,NA,NA,6180,3923,2644,1279,5203,3847,26199,14193,569,53,10163,3408,248,908,1139,8068,1643,26199,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1181,NA,NA,NA,NA,NA,NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,115,NA,NA,NA,NA,NA,10890.4634146341,4096.4128440367
"WA",1897,463422,NA,NA,NA,6785,232,NA,NA,NA,3127,3426,NA,2424,1258,1166,4877,1551,15637,9200,650,77,7271,1202,87,832,0,4388,1130,15637,35,12081,1527,NA,NA,NA,5741,3240,1754,1486,6640,4217,26178,15280,892,77,10941,3370,283,832,144,8081,1558,26178,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,NA,NA,NA,NA,NA,NA,NA,NA,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,24,NA,NA,NA,NA,NA,13240.6285714286,4455.98076923077
"WA",1898,480976,NA,NA,NA,7388,262,NA,NA,NA,3535,3591,NA,2617,1380,1237,8491,1555,20051,14567,1199,159,11835,1374,0,752,8,3888,836,20051,33,13317,1014,NA,NA,NA,7372,3529,1931,1598,12395,4512,33753,24119,1599,159,18113,4248,49,752,158,7362,1313,33753,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,249,NA,NA,NA,NA,NA,14575.0303030303,4762.13861386139
"WA",1899,499194,NA,NA,NA,9269,328,NA,NA,NA,4427,4514,NA,3539,2148,1391,10507,1470,24785,19674,1641,549,16039,1445,0,798,9,3360,944,24785,31,16242,1236,NA,NA,NA,8797,4608,2687,1921,15209,4280,40339,31407,2124,549,23422,5312,0,798,471,6316,1347,40339,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1363,NA,NA,NA,NA,NA,NA,NA,NA,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,665,178,NA,NA,NA,NA,NA,16103.0322580645,4799.94230769231
"WA",1900,518103,NA,NA,NA,12566,399,NA,NA,NA,5381,6786,NA,4081,2819,1262,9595,1456,27698,22283,1652,1071,17933,1627,15,936,3,3223,1238,27698,30,21329,1234,NA,NA,NA,12665,5847,3605,2242,15620,4494,47290,37793,2302,1071,27629,6791,15,936,714,6073,1759,47290,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1348,NA,NA,NA,NA,NA,NA,NA,NA,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,312,NA,NA,NA,NA,NA,17270.1,4842.08411214953
"WA",1901,560713,NA,NA,NA,14542,444,NA,NA,NA,5998,8100,NA,4594,2918,1676,10777,1367,31280,25450,2071,942,20247,2190,5,1118,2,3205,1500,31280,31,24069,1559,NA,NA,NA,15533,6707,3740,2967,17252,3759,51787,42492,2316,942,31177,8057,5,1118,272,5963,1937,51787,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415,NA,NA,NA,NA,NA,NA,NA,NA,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,288,NA,NA,NA,NA,NA,18087.5161290323,5097.39090909091
"WA",1902,606828,NA,NA,NA,18378,529,NA,NA,NA,7135,10714,NA,6487,3312,3175,14538,972,40375,33772,3021,1225,26962,2564,25,1285,0,3420,1873,40375,34,31773,2412,NA,NA,NA,20138,10055,4213,5842,23069,3528,68425,58123,4483,1225,41628,10787,25,1285,346,6289,2357,68425,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1672,NA,NA,NA,NA,NA,NA,NA,NA,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,383,NA,NA,NA,NA,NA,17847.8823529412,5015.10743801653
"WA",1903,656735,NA,NA,NA,23819,669,NA,NA,NA,9025,14125,NA,7766,3932,3834,13006,1103,45694,38349,2926,1793,30718,2912,15,1398,100,3475,2357,45694,35,44009,3464,NA,NA,NA,28371,12034,5197,6837,24254,3631,83928,71162,4189,1793,50693,14487,171,1398,598,7155,3444,83928,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135,NA,NA,NA,NA,NA,NA,NA,NA,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,477,NA,NA,NA,NA,NA,18763.8571428571,4690.96428571429
"WA",1904,710746,NA,NA,NA,24529,650,NA,NA,NA,8769,15110,NA,7291,3970,3321,11031,963,43814,35771,3224,1865,27395,3287,76,1653,1,3605,2708,43814,34,49628,3819,NA,NA,NA,29516,12877,5774,7103,28075,4603,95183,78868,4919,1865,56518,15566,198,1653,583,9576,4305,95183,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2286,NA,NA,NA,NA,NA,NA,NA,NA,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,557,NA,NA,NA,NA,NA,20904.2941176471,4132.24418604651
"WA",1905,769200,NA,NA,NA,27121,683,NA,NA,NA,9216,17222,NA,7796,4049,3747,14380,925,50222,41192,4232,1664,31228,4068,18,1742,34,4030,3206,50222,37,53246,4161,NA,NA,NA,34434,13212,6263,6949,27868,3802,98128,80993,6198,1664,54152,18979,319,1742,548,9287,5239,98128,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2436,NA,NA,NA,NA,NA,NA,NA,NA,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,538,NA,NA,NA,NA,NA,20789.1891891892,4027.22513089005
