"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"WI",1896,1909670,NA,NA,NA,36182,391,NA,NA,NA,8293,27498,NA,6029,4353,1676,13034,1495,56740,40191,2833,663,32650,4045,152,2713,0,10445,3239,56740,81,67385,8155,NA,NA,NA,45614,8672,4835,3837,21798,4814,102669,73554,3440,663,"52122",17329,255,2713,831,19121,6195,102669,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2453,NA,NA,NA,NA,NA,NA,NA,NA,1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,778,NA,NA,NA,NA,NA,23576.1728395062,5986.4263322884
"WI",1897,1948323,NA,NA,NA,34462,395,NA,NA,NA,8393,25674,NA,6323,4406,1917,18686,1440,60911,44843,5287,535,34722,4299,33,2603,8,10160,3264,60911,79,62853,7827,NA,NA,NA,41782,9036,4893,4143,29821,5223,106933,78476,6374,535,"53749",17818,82,2603,479,19252,6041,106933,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2515,NA,NA,NA,NA,NA,NA,NA,NA,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,701,NA,NA,NA,NA,NA,24662.3164556962,6031.95975232198
"WI",1898,1987759,NA,NA,NA,39091,438,NA,NA,NA,9296,29357,NA,7336,4760,2576,22259,1566,70252,54528,6443,572,42598,4915,10,2756,0,9960,2998,70252,78,72048,9114,NA,NA,NA,48009,10950,5440,5510,36759,4738,124495,96390,7676,572,"64733",23409,10,2756,532,19021,5786,124495,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2407,NA,NA,NA,NA,NA,NA,NA,NA,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,811,NA,NA,NA,NA,NA,25484.0897435897,6005.31419939577
"WI",1899,2027993,NA,NA,NA,47076,508,NA,NA,NA,10790,35778,NA,10108,5680,4428,24232,1461,82877,67519,8967,1289,52094,5169,0,2571,34,9660,3093,82877,78,85473,10169,NA,NA,NA,57969,14873,6634,8239,41661,4565,146572,120082,9253,1289,"72095",37445,0,2571,153,18080,5686,146572,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2547,NA,NA,NA,NA,NA,NA,NA,NA,1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,800,NA,NA,NA,NA,NA,25999.9102564103,6108.41265060241
"WI",1900,2069042,NA,NA,NA,51969,533,NA,NA,NA,11316,40120,NA,10382,6208,4174,20499,1471,84321,67102,7835,1220,52226,5821,0,3642,4,9760,3813,84321,80,95959,11611,NA,NA,NA,65534,15610,7320,8290,37883,3990,153442,124892,9161,1220,"71448",43063,0,3642,555,17823,6530,153442,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3258,NA,NA,NA,NA,NA,NA,NA,NA,1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,800,NA,NA,NA,NA,NA,25863.025,5928.48710601719
"WI",1901,2094112,NA,NA,NA,58412,657,NA,NA,NA,13946,43809,NA,13765,7745,6020,25235,1584,98996,80083,8766,1718,61762,7837,25,4285,42,10465,4096,98996,92,107711,13202,NA,NA,NA,72157,19544,8959,10585,44171,4087,175513,144557,10301,1718,"83232",49306,25,4285,593,19054,6999,175513,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA,NA,NA,NA,NA,NA,NA,NA,1439,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,840,NA,NA,NA,NA,NA,22762.0869565217,5411.14211886305
"WI",1902,2119485,NA,NA,NA,64810,677,NA,NA,NA,14359,49774,NA,14580,7856,6724,25008,1707,106105,86104,8634,2126,66172,9172,70,3937,44,11425,4525,106105,99,121946,15390,NA,NA,NA,82452,21547,9290,12257,44040,4166,191699,158825,10005,2126,"90683",56011,70,3937,677,20773,7417,191699,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3615,NA,NA,NA,NA,NA,NA,NA,NA,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,1137,NA,NA,NA,NA,NA,21408.9393939394,5094.91586538462
"WI",1903,2145166,NA,NA,NA,71330,783,NA,NA,NA,16622,53925,NA,16791,9187,7604,25198,1944,115263,91582,9914,2251,68999,10418,55,5438,285,12311,5592,115263,104,134684,17361,NA,NA,NA,89893,24685,10802,13883,45420,4200,208989,171922,11485,2251,"104677",53509,55,5438,691,21650,9233,208989,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3826,NA,NA,NA,NA,NA,NA,NA,NA,1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1209,NA,NA,NA,NA,NA,20626.5961538462,4683.76855895197
"WI",1904,2171158,NA,NA,NA,71309,793,NA,NA,NA,16820,53696,NA,18225,10155,8070,24734,2466,116734,90733,8846,1972,68156,11759,183,6251,159,13095,6313,116734,113,136797,17984,NA,NA,NA,90859,26675,11715,14960,43780,4887,212139,171051,10275,1972,"103707",55097,183,6251,760,23867,10027,212139,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4363,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,1348,NA,NA,NA,NA,NA,19213.7876106195,4523.24583333333
"WI",1905,2197465,NA,NA,NA,74495,774,NA,NA,NA,16434,57287,NA,19934,11010,8924,28203,2635,125267,95815,9500,1414,70349,14552,2105,7218,806,13510,5813,125267,114,141680,19224,NA,NA,NA,94638,29469,12688,16781,49112,5189,225450,180196,10506,1414,"107439",60837,2105,7218,902,25134,9895,225450,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3887,NA,NA,NA,NA,NA,NA,NA,NA,1783,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,1184,NA,NA,NA,NA,NA,19276.0087719298,4351.41584158416
"WI",1906,2224091,NA,NA,NA,81546,793,NA,NA,NA,16821,63932,NA,23159,12962,10197,30978,3011,138694,107373,11623,1304,77317,17129,68,9125,303,14865,6960,138694,118,157790,21162,NA,NA,NA,106393,35642,15177,20465,54475,6329,254236,204649,12990,1304,"118766",71589,68,9125,1062,27617,11715,254236,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4852,NA,NA,NA,NA,NA,NA,NA,NA,2056,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,1175,NA,NA,NA,NA,NA,18848.2288135593,4228.30988593156
"WI",1907,2251040,NA,NA,NA,93555,960,NA,NA,NA,20371,72224,NA,27203,14624,12579,33891,3376,158025,123778,13956,2672,81578,25572,66,10234,490,15490,7967,158025,125,183178,26620,NA,NA,NA,120314,41226,17082,24144,60375,8133,292912,239141,15535,2672,"129499",91435,144,10234,685,29042,13666,292912,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3919,NA,NA,NA,NA,NA,NA,NA,NA,1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,987,NA,NA,NA,NA,NA,18008.32,4100.25500910747
"WI",1908,2278315,NA,NA,NA,84427,950,NA,NA,NA,20157,63320,NA,31745,16506,15239,33856,3817,153845,116503,12523,2164,70750,31066,117,12056,303,16015,8851,153845,130,171818,27600,NA,NA,NA,108917,46424,19002,27422,59219,9458,286919,227812,13903,2164,"117405",94340,302,12056,1122,30451,15176,286919,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5446,NA,NA,NA,NA,NA,NA,NA,NA,2574,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,1400,NA,NA,NA,NA,NA,17525.5,3881.28620102215
"WI",1909,2305920,NA,NA,NA,89367,1013,NA,NA,NA,21722,66632,NA,33673,19068,14605,33336,3706,160082,122050,14792,1275,62030,43953,160,12322,203,15975,9372,160082,129,184123,32668,NA,NA,NA,114153,50623,21907,28716,61353,7259,303358,242380,16448,1275,"110078",114579,786,12322,552,31688,15630,303358,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4674,NA,NA,NA,NA,NA,NA,NA,NA,2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,1126,NA,NA,NA,NA,NA,17875.3488372093,3856.05351170569
"WI",1910,2333860,NA,NA,NA,100989,1249,NA,NA,NA,25703,74037,NA,33204,17552,15652,37739,4012,175944,136845,17100,858,64335,54552,99,12540,383,16435,9642,175944,130,204887,34959,NA,NA,NA,127157,49278,23497,25781,68018,8445,330628,268766,18929,858,"121413",127566,584,12540,1169,31325,16244,330628,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7125,NA,NA,NA,NA,NA,NA,NA,NA,4233,NA,NA,NA,NA,NA,NA,NA,NA,NA,877,1756,NA,NA,NA,NA,NA,17952.7692307692,3704.53968253968
"WI",1911,2362093,NA,NA,NA,102860,1286,NA,NA,NA,25569,76005,NA,35890,18809,17081,38234,3967,180951,140678,15443,942,67245,57048,273,12291,409,17080,10220,180951,128,223027,40293,NA,NA,NA,137797,56319,25701,30618,70373,8517,358236,290846,17594,942,"109869",162441,1389,12291,532,35050,18128,358236,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8381,NA,NA,NA,NA,NA,NA,NA,NA,5070,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,2288,NA,NA,NA,NA,NA,18453.8515625,3515.0193452381
