"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"WV",1896,874983,NA,NA,NA,8637,32,NA,NA,NA,1065,7540,NA,1893,1474,419,2231,652,13413,7680,425,96,6002,1157,91,1124,0,3451,1067,13413,33,19272,1099,NA,NA,NA,15202,2882,1716,1166,5271,1749,29174,18835,968,96,12399,5372,227,1124,0,6717,2271,29174,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,237,NA,NA,NA,NA,NA,26514.6363636364,9408.41935483871
"WV",1897,895224,NA,NA,NA,8494,33,NA,NA,NA,1097,7364,NA,2067,1594,473,2854,720,14135,8306,416,100,6560,1230,61,1227,0,3451,1090,14135,33,19421,1136,NA,NA,NA,15239,3001,1860,1141,6362,1977,30761,20076,985,100,12528,6463,171,1227,1,6903,2383,30761,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,224,NA,NA,NA,NA,NA,27128,8863.60396039604
"WV",1898,915933,NA,NA,NA,8760,34,NA,NA,NA,1149,7577,NA,2239,1641,598,3141,784,14924,9064,448,100,7110,1406,174,1207,0,3351,1128,14924,33,21187,1284,NA,NA,NA,16530,3413,1931,1482,6967,2168,33735,22832,1124,100,15211,6397,270,1207,0,6895,2531,33735,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,223,NA,NA,NA,NA,NA,27755.5454545455,8560.1214953271
"WV",1899,937122,NA,NA,NA,9916,40,NA,NA,NA,1348,8528,NA,3297,2514,783,4970,992,19175,12847,837,483,10048,1479,59,1433,47,3551,1238,19175,34,22582,1311,NA,NA,NA,17662,4731,2980,1751,11485,2036,40834,29794,1488,483,20988,6835,186,1433,59,6802,2560,40834,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,241,NA,NA,NA,NA,NA,27562.4117647059,8519.29090909091
"WV",1900,958800,NA,NA,NA,12453,63,NA,NA,NA,2116,10274,NA,4314,3304,1010,6633,1114,24514,17078,1419,799,13194,1666,3,1986,100,3758,1589,24514,38,29248,1716,NA,NA,NA,22401,6291,4149,2142,14076,2286,51901,39220,2228,799,27775,8418,136,1986,101,7207,3251,51901,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,262,NA,NA,NA,NA,NA,25231.5789473684,7549.6062992126
"WV",1901,982270,NA,NA,NA,15080,76,NA,NA,NA,2533,12471,NA,5405,3827,1578,8220,1166,29871,21236,1644,789,16561,2242,35,2727,51,4083,1739,29871,46,35235,1996,NA,NA,NA,27093,8222,4901,3321,17820,3111,64388,49283,2903,789,34525,11066,258,2727,110,8248,3762,64388,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,303,NA,NA,NA,NA,NA,21353.6956521739,6636.95945945946
"WV",1902,1006315,NA,NA,NA,17933,99,NA,NA,NA,3326,14508,NA,6310,4331,1979,7893,1190,33326,23687,1938,1089,18035,2625,94,2935,74,4315,2221,33326,51,43503,2560,NA,NA,NA,33039,9918,5544,4374,17188,3123,73732,55974,3177,1089,38472,13236,275,2935,133,9435,4980,73732,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1245,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,307,NA,NA,NA,NA,NA,19731.6666666667,6173.71165644172
"WV",1903,1030949,NA,NA,NA,21629,131,NA,NA,NA,4389,17109,NA,6862,4661,2201,7346,1565,37402,25889,1716,1289,19903,2981,107,3134,198,5283,2791,37402,65,55761,3404,NA,NA,NA,41855,11026,5823,5203,17380,3833,88000,64982,3287,1289,43182,17224,396,3134,271,12250,6967,88000,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444,NA,NA,NA,NA,NA,NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,434,NA,NA,NA,NA,NA,15860.7538461538,5180.64824120603
"WV",1904,1056185,NA,NA,NA,22554,133,NA,NA,NA,4468,17953,NA,7726,4912,2814,6974,2014,39268,25376,1414,954,19643,3365,482,3862,387,6024,3137,39268,72,58923,3728,NA,NA,NA,44230,12483,6067,6416,16659,4793,92858,65095,3079,954,42419,18643,860,3862,809,14244,7988,92858,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1640,NA,NA,NA,NA,NA,NA,NA,NA,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,460,NA,NA,NA,NA,NA,14669.2361111111,4715.11160714286
"WV",1905,1082039,NA,NA,NA,24138,157,NA,NA,NA,5250,18731,NA,8097,5614,2483,7245,2085,41565,26288,1749,583,19792,4164,222,4613,443,6544,3455,41565,78,63213,4009,NA,NA,NA,46975,13235,6619,6616,17088,5214,98750,68688,3396,583,43340,21369,546,4613,1018,15305,8580,98750,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1623,NA,NA,NA,NA,NA,NA,NA,NA,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,444,NA,NA,NA,NA,NA,13872.2948717949,4584.91101694915
