"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"WY",1896,79118,NA,NA,NA,1883,40,NA,NA,NA,721,1122,NA,456,313,143,554,322,3215,1924,62,0,1498,364,42,213,0,860,176,3215,11,2670,132,NA,NA,NA,1551,481,324,157,792,388,4331,2720,63,0,2081,576,42,213,24,1096,236,4331,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,48,NA,NA,NA,NA,NA,7192.54545454545,3296.58333333333
"WY",1897,82277,NA,NA,NA,1815,35,NA,NA,NA,647,1133,NA,440,288,152,840,323,3418,2177,77,0,1713,387,10,192,0,860,179,3418,11,2576,127,NA,NA,NA,1545,464,298,166,1143,383,4566,3020,82,0,2322,616,10,192,11,1101,232,4566,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,36,NA,NA,NA,NA,NA,7479.72727272727,3428.20833333333
"WY",1898,85562,NA,NA,NA,2137,49,NA,NA,NA,900,1188,NA,458,294,164,825,336,3756,2472,100,0,1930,442,64,191,0,860,169,3756,11,3081,162,NA,NA,NA,1700,490,311,179,1165,389,5125,3552,104,0,2706,742,64,191,6,1106,206,5125,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,51,NA,NA,NA,NA,NA,7778.36363636364,3290.84615384615
"WY",1899,88978,NA,NA,NA,2259,55,NA,NA,NA,1011,1193,NA,472,324,148,1245,327,4303,3033,158,0,2410,465,19,190,0,860,201,4303,11,3592,224,NA,NA,NA,1906,500,340,160,1776,373,6241,4553,178,0,3482,893,19,190,23,1201,255,6241,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,216,NA,NA,NA,NA,NA,8088.90909090909,2965.93333333333
"WY",1900,92531,NA,NA,NA,3328,79,NA,NA,NA,1449,1800,NA,571,423,148,1260,288,5447,4058,168,35,3332,523,4,252,25,870,238,5447,13,4915,288,NA,NA,NA,2642,600,442,158,1729,345,7589,5794,186,35,4552,1021,4,252,47,1169,323,7589,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,59,NA,NA,NA,NA,NA,7117.76923076923,2803.9696969697
"WY",1901,96846,NA,NA,NA,3917,88,NA,NA,NA,1604,2225,NA,699,565,134,1411,251,6278,4627,255,47,3620,705,55,446,0,860,290,6278,13,5708,329,NA,NA,NA,3170,734,583,151,1896,319,8657,6484,259,47,4925,1253,55,446,60,1182,430,8657,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,74,NA,NA,NA,NA,NA,7449.69230769231,3026.4375
"WY",1902,101363,NA,NA,NA,4356,106,NA,NA,NA,1933,2317,NA,718,599,119,1817,258,7149,5304,314,98,4067,825,63,435,0,935,412,7149,15,6774,456,NA,NA,NA,3568,763,629,134,2464,331,10332,7758,330,98,5769,1561,63,435,163,1349,564,10332,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,91,NA,NA,NA,NA,NA,6757.53333333333,2815.63888888889
"WY",1903,106090,NA,NA,NA,4958,115,NA,NA,NA,2106,2737,NA,745,604,141,1820,179,7702,5756,336,103,4380,937,46,435,1,935,529,7702,15,7553,507,NA,NA,NA,4063,811,632,179,2464,272,11100,8289,365,103,6113,1708,46,435,229,1358,743,11100,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,203,NA,NA,NA,NA,NA,7072.66666666667,2867.2972972973
"WY",1904,111038,NA,NA,NA,4859,131,NA,NA,NA,2391,2337,NA,884,758,126,2025,152,7920,5705,267,118,4263,1057,95,490,0,1055,575,7920,18,7021,468,NA,NA,NA,3431,944,816,128,2659,225,10849,7959,296,118,5792,1753,95,490,66,1552,687,10849,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,134,NA,NA,NA,NA,NA,6168.77777777778,2775.95
"WY",1905,116217,NA,NA,NA,5753,153,NA,NA,NA,2795,2805,NA,986,784,202,2458,182,9379,7075,510,122,5134,1309,25,531,15,1085,648,9379,19,8279,549,NA,NA,NA,4078,1057,848,209,3422,299,13057,9921,640,122,6984,2175,25,531,55,1647,878,13057,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,139,NA,NA,NA,NA,NA,6116.68421052632,2472.70212765957
