"state","name","totpop","totpop80","urban90","urban80","negtot","multot","quadtot","octopop","chitot","japtot","cindtot","pbnwnpme","pbnwnpnh","pbnwnpvt","pbnwnpma","pbnwnpri","pbnwnpct","pbnwnpny","pbnwnpnj","pbnwnppa","pbnwnpde","pbnwnpmd","pbnwnpdc","pbnwnpva","pbnwnpwv","pbnwnpnc","pbnwnpsc","pbnwnpga","pbnwnpfl","pbnwnpoh","pbnwnpin","pbnwnpil","pbnwnpmi","pbnwnpwi","pbnwnpmn","pbnwnpia","pbnwnpmo","pbnwnpnd","pbnwnpsd","pbnwnpne","pbnwnpks","pbnwnpky","pbnwnptn","pbnwnpal","pbnwnpms","pbnwnpla","pbnwnptx","pbnwnpit","pbnwnpok","pbnwnpar","pbnwnpmt","pbnwnpwy","pbnwnpco","pbnwnpnm","pbnwnpaz","pbnwnput","pbnwnpnv","pbnwnpid","pbnwnpwa","pbnwnpor","pbnwnpca","pbnwnpak","pbnwnpun","pbnwnpse","pbnwnpab","pbnwfpme","pbnwfpnh","pbnwfpvt","pbnwfpma","pbnwfpri","pbnwfpct","pbnwfpny","pbnwfpnj","pbnwfppa","pbnwfpde","pbnwfpmd","pbnwfpdc","pbnwfpva","pbnwfpwv","pbnwfpnc","pbnwfpsc","pbnwfpga","pbnwfpfl","pbnwfpoh","pbnwfpin","pbnwfpil","pbnwfpmi","pbnwfpwi","pbnwfpmn","pbnwfpia","pbnwfpmo","pbnwfpnd","pbnwfpsd","pbnwfpne","pbnwfpks","pbnwfpky","pbnwfptn","pbnwfpal","pbnwfpms","pbnwfpla","pbnwfptx","pbnwfpit","pbnwfpok","pbnwfpar","pbnwfpmt","pbnwfpwy","pbnwfpco","pbnwfpnm","pbnwfpaz","pbnwfput","pbnwfpnv","pbnwfpid","pbnwfpwa","pbnwfpor","pbnwfpca","pbnwfpak","pbnwfpun","pbnwfpse","pbnwfpab","pbncolme","pbncolnh","pbncolvt","pbncolma","pbncolri","pbncolct","pbncolny","pbncolnj","pbncolpa","pbncolde","pbncolmd","pbncoldc","pbncolva","pbncolwv","pbncolnc","pbncolsc","pbncolga","pbncolfl","pbncoloh","pbncolin","pbncolil","pbncolmi","pbncolwi","pbncolmn","pbncolia","pbncolmo","pbncolnd","pbncolsd","pbncolne","pbncolks","pbncolky","pbncoltn","pbncolal","pbncolms","pbncolla","pbncoltx","pbncolit","pbncolok","pbncolar","pbncolmt","pbncolwy","pbncolco","pbncolnm","pbncolaz","pbncolut","pbncolnv","pbncolid","pbncolwa","pbncolor","pbncolca","pbncolak","pbncolun","pbncolse","pbncolab","pbcanada","pbmexico","pbcentam","pbsoamer","pbcubawi","pbenglan","pbscot","pbwales","pbgrbrit","pbirelan","pbgerman","pbaustri","pbhollan","pbbelg","pbluxemb","pbswitz","pbnorway","pbsweden","pbdenmar","pbrussia","pbhungar","pbbohem","pbpoland","pbfrance","pbitaly","pbspain","pbportug","pbgreece","pbasia","pbchina","pbjapan","pbindia","pbafrica","pbatlisl","pbaustra","pbeurns","pbpacifi","pbhawaii","pbturkey","pbsea","pbothfor","dwell1","dwell2","dwell3","dwell4","dwell5","dwell6","dwell7","dwell8","dwell9","dwell10","dwel1115","dwel1620","dwell21","family1","family2","family3","family4","family5","family6","family7","family8","family9","family10","fam1115","fam1620","family21","cerealac","cereals","msingle","mmarried","mwidowed","mdivorce","munkms","fsingle","fmarried","fwidowed","fdivorce","funkms","order","fips","region1","region2","level"
1,"CONNECTICUT",746258,622700,385287,266100,9221,2453,367,261,272,18,228,2566,1973,3105,17517,5827,280694,31340,3264,2553,135,414,144,605,49,208,111,206,94,1220,228,794,436,287,124,219,189,14,3,62,86,142,63,79,35,95,68,4,1,14,3,3,38,5,3,3,5,0,8,19,168,3,1952,12,45,456,471,1058,7898,1659,161052,13895,2113,1526,37,149,58,123,11,24,45,55,17,358,59,299,175,142,46,66,79,11,3,22,34,40,32,12,13,55,23,0,0,4,3,0,11,10,0,2,6,0,13,6,106,0,726,21,24,15,5,31,395,103,7058,1064,233,152,57,316,158,1608,51,448,107,97,33,13,5,2,1,2,0,2,10,0,0,2,0,23,19,27,8,42,101,2,0,3,0,0,0,2,0,0,0,0,7,0,4,0,167,1,0,21231,12,10,65,200,20572,5992,629,3,77880,28176,1187,121,165,2,998,523,10021,1474,3027,1146,177,1504,2048,5285,45,230,5,33,298,22,48,21,183,86,39,15,13,49,60,6,3969,15762,19378,20133,18204,14406,11086,7948,5573,4245,7044,1835,1196,6712,28346,32263,29924,23990,16787,11082,7160,4175,2915,1975,306,255,85695,2339938,212478,144054,11542,846,618,197019,143263,34889,1298,251,6,9,1,1,2
2,"MAINE",661086,648936,130346,87100,507,462,107,114,73,1,559,483660,6837,1293,8353,472,439,1622,216,433,17,87,51,112,13,38,28,47,31,195,58,189,95,199,124,103,40,4,5,26,49,32,24,15,22,24,18,1,0,14,7,0,19,6,2,4,17,5,13,13,222,1,1312,21,75,69014,794,282,2009,184,100,660,70,192,5,13,10,19,3,6,4,12,7,48,9,44,58,32,26,11,15,0,0,8,1,6,9,0,2,8,3,0,0,3,4,1,3,2,1,2,7,0,3,1,49,0,72,16,37,1288,9,0,24,3,1,25,1,6,1,15,6,92,1,18,10,7,6,0,0,2,0,0,0,3,0,0,0,0,0,4,2,2,0,10,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0,52076,8,15,22,92,7276,2285,215,10,11444,1104,58,16,21,0,29,311,1704,696,420,16,3,54,441,253,53,70,2,9,76,4,22,11,17,25,28,10,2,3,60,0,4301,19169,24737,24446,20135,14842,9850,6418,4111,2931,3145,663,507,5759,25506,30995,28674,21935,14765,9205,5688,3411,2424,1541,233,219,171777,4888734,181365,137419,12100,1094,612,159967,137184,29938,1337,70,1,23,1,1,2
3,"MASSACHUSETTS",2238943,1783085,1564931,1042039,14108,6815,728,493,984,18,424,77752,51665,27447,707512,13858,18247,28833,2625,4358,206,1014,371,1102,84,369,292,377,167,2415,597,2091,1007,749,434,668,502,34,15,151,297,357,249,166,95,265,158,9,1,45,36,23,145,27,5,19,47,17,36,51,679,5,7473,36,247,8993,5976,6849,539441,6923,6772,18887,1803,3011,73,414,136,368,40,55,103,109,55,884,173,909,640,469,208,218,205,28,9,51,74,173,60,47,24,154,77,3,0,32,5,8,28,4,2,13,23,7,5,88,350,0,1315,63,83,243,104,97,9455,263,384,663,169,416,81,731,362,4305,32,1206,362,293,102,48,10,13,16,5,5,2,14,6,2,0,2,65,40,48,29,63,14,4,0,7,1,0,3,1,0,0,1,0,37,0,9,1,212,5,5,207601,94,61,252,1103,76400,21909,1527,113,259902,28034,1148,609,295,6,1052,2519,18624,1512,7325,389,581,3341,3273,8066,304,3051,59,319,1124,65,206,153,4973,212,106,123,104,310,280,12,8674,37559,48291,51383,48320,39097,30785,22653,16613,13270,25077,7592,5966,17384,78149,91857,85250,70000,49203,33592,21335,13133,9717,7610,1470,1090,63376,1907839,626862,421946,35513,1394,1994,619690,421259,107273,2484,528,4,25,1,1,2
4,"NEW HAMPSHIRE",376530,346991,103058,76200,248,183,70,113,58,2,16,13509,201720,12818,16692,540,770,3754,244,431,16,64,39,88,9,32,20,39,17,277,35,282,142,146,107,126,73,14,9,23,43,35,25,19,15,24,14,5,1,5,3,2,17,1,0,3,7,3,4,4,103,0,1153,2,105,1353,38175,2589,4573,308,250,1851,89,181,3,23,7,18,3,1,2,4,4,67,6,82,96,54,35,22,15,14,5,15,7,12,3,9,5,4,1,0,1,1,1,0,6,2,1,0,2,0,0,0,21,0,58,3,33,14,279,12,46,2,3,15,4,1,1,17,5,71,5,19,5,14,5,0,2,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,46321,9,4,12,19,4759,1906,79,4,14890,1631,96,10,7,0,62,251,1210,64,188,19,3,30,222,312,8,25,0,14,74,8,17,6,11,13,1,6,2,22,21,4,3145,12763,14716,13264,10520,7246,4840,3130,2018,1463,2229,678,653,4529,16896,18405,15596,11542,7600,4833,2976,1834,1336,1327,255,219,61498,2115629,99233,78658,7684,800,191,91333,78526,18943,1084,78,2,33,1,1,2
5,"RHODE ISLAND",345506,276531,272571,175500,5396,1679,226,92,69,5,180,3006,1482,1085,15281,102826,6148,3822,515,812,27,183,63,184,18,61,43,72,41,256,53,173,74,93,34,69,38,2,2,13,33,45,22,18,9,26,15,1,0,3,0,1,11,0,3,2,1,2,5,3,61,1,781,4,27,690,567,981,9973,72759,2879,3725,557,721,10,87,39,47,29,10,14,34,13,161,36,137,100,120,53,23,30,9,1,6,12,20,11,6,4,14,14,0,0,4,0,0,11,48,0,4,1,0,1,2,43,0,243,15,18,20,7,7,320,3523,254,317,92,175,61,698,183,1226,5,158,93,44,37,11,1,9,0,0,0,2,4,0,1,0,0,9,9,13,4,10,8,0,0,0,0,0,1,0,0,0,0,0,14,0,3,0,47,2,1,27934,8,9,32,119,20901,4984,194,12,38920,3200,177,44,147,0,133,285,3392,154,682,19,14,182,460,2468,17,833,16,59,75,8,29,25,547,23,38,33,5,63,28,36,1328,5211,6393,6722,6449,5571,4602,3785,2862,2281,4775,1424,847,2977,12549,14337,13071,10610,7532,5226,3540,2137,1554,1226,144,107,12661,372396,97152,64852,5488,391,142,96256,64838,15556,759,72,5,44,1,1,2
6,"VERMONT",332422,332286,26350,21500,521,328,51,37,32,1,34,1439,8543,194531,5866,249,840,10635,153,279,9,36,19,42,10,19,8,24,13,297,54,342,191,204,69,162,49,7,7,35,56,24,16,15,9,12,27,4,0,6,1,4,20,2,1,1,5,1,5,4,60,0,692,2,146,225,943,54437,1313,91,155,4233,72,145,4,9,5,21,7,1,3,7,3,69,6,54,65,57,24,17,15,0,2,4,11,2,1,1,3,7,4,1,0,2,0,1,3,0,0,2,2,0,0,1,19,1,61,7,33,3,17,622,65,1,4,96,3,6,0,4,4,70,0,5,4,11,2,1,1,0,0,0,0,0,1,0,0,0,0,3,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,25004,10,1,7,14,3518,1730,959,1,9810,877,59,17,12,0,70,38,870,58,153,35,10,59,175,445,13,30,1,2,39,1,7,11,5,6,1,3,1,11,22,3,2186,10335,12891,12685,10474,7671,5152,3274,1987,1329,1407,255,171,2948,13093,15359,14171,11107,7676,4938,2936,1670,1069,669,120,113,185004,5916782,91690,70140,6808,584,105,77986,69956,14438,677,38,3,50,1,1,2
11,"DELAWARE",168493,146608,61431,42478,24837,3213,197,139,37,0,4,195,245,76,179,68,155,1103,1903,9527,84639,9412,88,592,27,117,81,24,10,214,68,78,41,16,13,18,45,2,2,6,8,38,10,2,6,7,4,0,0,1,0,0,1,2,2,1,0,1,7,0,17,0,298,2,4,24,72,14,73,22,48,521,304,2657,12852,656,36,60,9,7,8,8,2,61,12,36,24,13,5,2,14,1,2,0,9,8,4,1,0,7,3,0,0,0,2,0,2,0,0,0,0,0,1,0,11,0,17,6,1,3,30,0,6,3,9,48,140,659,22426,3967,27,733,13,47,46,12,2,7,1,3,1,0,1,0,4,0,0,0,0,5,9,3,3,4,1,4,0,1,0,0,0,0,0,0,0,0,2,0,2,0,140,0,0,309,3,2,5,30,1901,432,63,16,6121,2469,49,12,5,0,52,14,246,41,197,114,3,337,183,459,4,1,1,0,38,0,0,14,1,18,8,1,0,5,7,0,785,3912,5701,5879,5654,4190,3073,1995,1208,859,539,58,29,857,4293,6018,6025,5681,4188,3027,1944,1174,824,459,65,23,289650,4991025,52028,31159,2306,40,40,45484,31192,6154,70,20,10,10,5,3,2
12,"NEW JERSEY",1444933,1131116,780912,495650,40436,6123,701,378,608,22,84,1819,1066,1077,5231,740,4576,65135,548587,45598,3112,3321,468,2003,135,360,304,325,119,2196,520,1125,578,323,114,301,336,16,10,66,138,359,136,120,78,209,129,7,1,33,9,4,55,14,4,17,10,4,17,22,211,11,5491,5,73,255,136,293,2567,463,1792,55620,282086,18760,361,899,191,385,48,84,144,127,143,975,188,642,322,268,78,125,278,10,4,33,70,187,83,41,23,190,66,2,4,14,9,4,25,20,3,4,20,3,8,10,219,0,3536,41,19,12,8,6,101,142,115,1823,26874,2945,2099,2694,304,7625,49,1043,246,223,103,51,12,12,11,7,1,2,15,1,1,2,1,73,49,53,33,43,14,13,0,5,5,2,0,7,3,0,1,0,6,1,7,0,510,1,8,4698,66,43,211,576,43778,13163,1069,7,101059,106181,4641,7924,645,8,4158,1317,4159,2991,5320,3417,306,3615,4714,12989,145,20,27,59,657,31,100,159,71,112,266,31,6,71,144,21,5248,26591,36793,39234,36891,28928,21878,15093,10240,7808,11853,3517,3268,8469,44411,57077,56587,49394,35056,24019,14790,8494,5732,3533,468,309,601357,14287404,420454,278957,20119,363,926,389141,276345,57763,565,300,8,34,2,1,2
13,"NEW YORK",5997853,5082871,3599877,2591267,54852,12469,1622,1149,2935,148,726,6558,5245,20210,27554,3975,24605,2252562,34769,50109,924,4362,1371,4818,381,1083,1214,1171,444,10360,2112,5285,7362,2688,990,1829,1451,152,90,358,889,1543,718,536,348,1048,496,18,6,118,43,53,284,76,17,50,50,16,98,75,1253,9,38373,32,626,1235,691,4460,11315,1505,7253,1698294,18913,21553,244,2141,697,1279,128,294,761,648,216,5412,908,3327,3127,1450,431,727,1194,58,42,127,278,719,354,278,177,1099,395,11,1,59,28,20,101,92,7,39,29,11,69,62,1067,1,43777,115,234,44,19,131,462,130,613,40177,1799,1540,359,2440,1017,12237,129,2244,1126,866,249,194,26,52,68,19,0,8,66,2,0,1,16,326,224,135,77,183,40,10,1,31,3,0,4,4,4,0,1,0,79,3,31,0,1315,7,31,93193,330,237,921,4065,144060,35332,8108,362,483375,498602,33145,8366,1342,65,11557,8602,28430,6238,58466,15598,9129,22718,20443,64141,1603,284,413,358,3135,209,349,299,496,683,5147,112,45,427,585,80,22840,107033,137729,140440,124525,94618,69125,48423,33091,25174,42948,16565,33082,45082,213344,252096,239106,199160,137480,90840,56081,32706,23143,14108,2751,2118,3239466,78272587,1723617,1155661,91009,2219,4387,1600156,1149995,265456,3395,1958,7,36,2,1,2
14,"PENNSYLVANIA",5258014,4282891,2152051,1498740,81886,20980,2368,2362,1146,32,983,2608,1234,2243,6162,964,3694,68829,32824,3007666,11988,25882,1285,9969,7456,842,519,431,137,23357,2412,3195,2007,1030,445,1615,1187,68,23,296,850,1387,851,225,210,351,280,29,3,135,39,18,185,36,7,28,30,5,116,47,361,7,12320,13,187,631,213,466,3249,565,1312,27345,8825,985051,2552,6931,600,1852,1675,264,222,182,62,10142,881,1698,963,624,277,507,704,26,5,74,277,808,273,80,63,239,159,11,5,49,15,14,91,31,5,11,25,3,59,18,315,3,5978,89,61,13,5,23,197,52,128,891,1786,58681,4851,12202,1131,19873,838,1362,553,321,93,741,43,45,114,88,35,12,168,31,96,93,18,255,232,111,71,116,31,137,5,34,137,1,4,55,49,2,1,1,53,2,20,2,1804,6,13,12171,114,57,271,1047,125089,32081,38301,56,243836,230516,21038,652,3149,19,6149,2238,19346,2010,17315,24901,2031,25191,9033,24662,216,131,81,195,1208,45,140,117,78,440,1079,66,8,166,396,81,20306,108355,157582,168951,157424,125401,92667,65038,41681,28892,27026,3943,2098,26201,134146,182799,186132,166234,127265,91112,61734,38157,26204,18231,2181,1230,4448517,107416961,1620111,970642,69614,2316,3648,1451746,952563,182225,3583,1566,9,42,2,1,2
