"state","name","m10tot","f10tot","m10lf","f10lf","m10ag","f10ag","m10prof","f10prof","m10domp","f10domp","m10trade","f10trade","m10mfg","f10mfg","fips","region1","region2","level"
1,"CONNECTICUT",365130,365324,296971,88639,43247,1549,10327,6642,45022,30295,61656,10058,136719,40095,9,1,1,2
2,"MAINE",286114,279326,224847,51930,73791,3132,7262,6659,36543,18241,38508,4709,68743,19189,23,1,1,2
3,"MASSACHUSETTS",1097581,1169467,879374,329033,64669,1882,37300,23303,124812,106191,238530,44944,414063,152713,25,1,1,2
4,"NEW HAMPSHIRE",168483,169410,136961,41758,37224,1558,4248,3517,18436,12140,23020,2631,54033,21912,33,1,1,2
5,"RHODE ISLAND",168704,176120,139829,52094,10673,284,4924,2937,21342,13558,31512,5531,71378,29784,44,1,1,2
6,"VERMONT",142528,136415,112181,22752,48352,1468,3645,3371,12842,10186,17238,1651,30104,6076,50,1,1,2
11,"DELAWARE",74395,71105,60024,12972,18494,508,1878,911,10587,6425,10172,1315,18893,3813,10,5,3,2
12,"NEW JERSEY",739224,741274,603237,154522,67035,1846,24185,10555,107400,60516,160332,19479,244285,62126,34,2,1,2
13,"NEW YORK",2877822,2923860,2324429,672045,363619,12371,107689,51704,407834,265540,656970,96190,788317,246240,36,2,1,2
14,"PENNSYLVANIA",2491007,2394372,2017052,431537,331119,10593,70674,32337,391121,175050,402016,52830,822122,160727,42,2,1,2
21,"ILLINOIS",1922803,1804942,1509394,294646,450614,12167,63812,32509,243505,122837,346144,50902,405319,76231,17,3,2,2
22,"INDIANA",1006755,961460,782237,116716,332840,9893,29492,12981,118113,50478,125081,13464,176711,29900,18,3,2,2
23,"MICHIGAN",983089,913176,772299,133691,303559,8903,24269,16473,125146,56885,126328,17147,192997,34283,26,3,2,2
24,"OHIO",1663595,1626326,1299881,246071,399909,14753,52113,25007,207041,99392,249936,33996,390882,72923,39,3,2,2
25,"WISCONSIN",811123,750033,616391,116147,261450,8557,17931,14335,97314,51177,92869,12391,146827,29687,55,3,2,2
31,"IOWA",893912,817877,682521,106883,363472,8132,23529,23285,73827,43350,118186,10820,103507,21296,19,4,2,2
32,"KANSAS",593965,532068,452169,55571,264618,6634,16146,10614,44837,22126,64702,6169,61866,10028,20,4,2,2
33,"MINNESOTA",706401,599256,548946,96928,252129,6815,17112,13104,77074,47830,102273,10645,100358,18534,27,4,2,2
34,"MISSOURI",1223168,1148697,966866,154526,447315,15978,35627,15629,121032,68720,180383,18354,182509,35845,29,4,2,2
35,"NEBRASKA",429465,370290,327354,46616,182338,4249,11872,9367,35812,19336,56385,5506,40947,8158,31,4,2,2
36,"NORTH DAKOTA",131893,97268,103548,14092,69849,1777,2850,2102,9234,8049,13359,701,8256,1463,38,4,2,2
37,"SOUTH DAKOTA",161746,132558,121512,15644,80696,2161,4322,3555,9743,7078,14322,952,12429,1898,46,4,2,2
40,"VIRGINIA",679440,685061,536883,125532,277594,22674,13632,7732,82188,74408,69761,4205,93708,16513,51,5,3,2
41,"ALABAMA",651523,653180,563179,200009,386735,129002,10759,4187,47676,54895,49091,2227,68918,9698,1,6,4,2
42,"ARKANSAS",484601,449731,407942,77853,298141,47338,9958,3078,33343,23032,33949,1421,32551,2984,5,7,4,2
43,"FLORIDA",203190,182300,163989,37581,75608,13080,5007,2108,32413,17919,22288,902,28673,3572,12,5,3,2
44,"GEORGIA",782629,794705,645932,218539,422530,100318,15499,6662,73709,89445,67296,3627,66898,18487,13,5,3,2
45,"LOUISIANA",496879,493485,405182,130911,227614,67831,8936,4065,68920,46698,54259,3354,45453,8963,22,7,4,2
46,"MISSISSIPPI",552676,546215,466766,178357,362551,128031,8121,4813,36088,39124,34127,1514,25879,4875,28,6,4,2
47,"NORTH CAROLINA",661731,685003,556581,160161,385187,74119,10270,4742,52794,55439,41321,1936,67009,23925,37,5,3,2
